Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Thumbnail,viewingHint,Text direction,Visibility,IIIF Range,Type.typeOfResource,Rights.copyrightStatus,Rights.publicationStatus,Language,Type.genre,Subject,Author,Name.repository,Title,Alt ID.local,Alt ID.oclc,Date.normalized,Format.dimensions,Description.note,Publisher.placeOfOrigin,Date.creation,Format.extent,Publisher.publisherName,Alt ID.callNo,AltTitle.uniform,IIIF Manifest URL
Science and Engineering Library Books,ark:/21198/zz002jh50v,,10,Completed with minimal metadata,Collection,,,,,,,,private,,,,,,,,,,Science and Engineering Library Books,,,,,,,,,,,,https://iiif.library.ucla.edu/collections/ark%3A%2F21198%2Fzz002jh50v
Science and Engineering Library Books,ark:/21198/zz002jj87c,ark:/21198/zz002jh50v,10,Completed with minimal metadata,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jh57g,paged,,private,,text,copyrighted,published,eng,Books,Power electronics,"Middlebrook, R. D. $q (Robert David)|~|Ćuk, Slobodan.","University of California, Los Angeles Library. Science and Engineering Library",Advances in Switched-Mode Power Conversion. Volume 1-2,TK7881.15 .M53 1983,904823483,1983,28 cm.,Includes bibliographical references.,"Pasadena, CA (490 S. Rosemead Blvd., Suite 6, Pasadena 91107)",c1983,3 v. in 2 : ill.,TESLAco,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002jj87c/manifest
Science and Engineering Library Books,ark:/21198/zz002jj91r,ark:/21198/zz002jh50v,10,Completed with minimal metadata,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jht64,paged,,private,,text,copyrighted,published,eng,Books,Power electronics,"Middlebrook, R. D. $q (Robert David)|~|Ćuk, Slobodan.","University of California, Los Angeles Library. Science and Engineering Library",Advances in Switched-Mode Power Conversion. Volume 3,TK7881.15 .M53 1983,904823483,1983,28 cm.,Includes bibliographical references.,"Pasadena, CA. (490 S. Rosemead Blvd., Suite 6, Pasadena 91107)",c1983,3 v. in 2 : ill.,TESLAco,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002jj91r/manifest
Science and Engineering Library Books,ark:/21198/zz002jj928,ark:/21198/zz002jh50v,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jj9k1,paged,,private,,text,copyrighted,published,eng,,"Electric networks|~|Electronic circuits|~|Electric circuits|~|Electric circuits, Linear|~|Electric circuits, Nonlinear|~|Signal theory (Telecommunication)","Baskakov, S. I.",,Signals and circuits,TK5102.5 .B33 1986,16856119,1986,22 cm.,"Translation of: Radiotekhnicheski tsepi i signaly.|~|""Revised from the 1983 Russian edition""--Title page verso.|~|Includes bibliographical references.",Moscow,1986,520 pages : illustrations (some color),Mir Publishers,,Radiotekhnicheski tsepi i signaly. English,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002jj928/manifest
