Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,viewingHint,Visibility,Duplicate,Delete in Title,Thumbnail,Type.typeOfResource,Type.genre,Rights.copyrightStatus,Name.artist,Name.photographer,Relation.isPartOf,Title,Date,Format.dimensions,Format.medium,Description,Description.note,Description.abstract
Art Department Digital Image Collection,ark:/21198/zz000975bs,ark:/21198/zz0002wfnx,2,Completed,Work,,,individuals,private,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000975bs%2Fs226p19w,,,copyrighted,"Acconci, Vito",,Painting and Drawing Collection,Convertible Clam Shelter,1990,96' x 120' x 36',Mixed Media,,,
Art Department Digital Image Collection,ark:/21198/zz0009778q,ark:/21198/zz0002wfnx,2,Completed,Work,,,individuals,private,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009778q%2Fz309ts3p,,,copyrighted,"Africano, Nicholas",,Painting and Drawing Collection,Innocence and Experience,1991,,,Installation View,,
Art Department Digital Image Collection,ark:/21198/zz00097dcp,ark:/21198/zz0002wfnx,2,Completed,Work,,,individuals,private,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00097dcp%2Fk128pc9t,,,copyrighted,"Andre, Carl",,Painting and Drawing Collection,Cedar Piece,1959,,,(Reconstructed 1964),,
Art Department Digital Image Collection,ark:/21198/zz00097fc5,ark:/21198/zz0002wfnx,2,Completed,Work,,,individuals,private,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00097fc5%2Fpm44pq8f,,,copyrighted,,,Painting and Drawing Collection,Ice,1998,Varies: 20' x 30',Synthetic Velvet and Dye,"Whitney Museum of American Art, NY",,
Art Department Digital Image Collection,ark:/21198/zz00097ff6,ark:/21198/zz0002wfnx,2,Completed,Work,,,individuals,private,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00097ff6%2Fhw37bb51,,,copyrighted,"Andre, Carl",,Painting and Drawing Collection,Stone-Field Sculpture,1977,290' x 53',,,,
Art Department Digital Image Collection,ark:/21198/zz00097fjr,ark:/21198/zz0002wfnx,2,Completed,Work,,,individuals,private,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00097fjr%2Fhc70n81d,,,copyrighted,"Apfelbaum, Polly",,Painting and Drawing Collection,Blossom,2000,Approx: 18' in Diameter,Velvet +Dye,,,
Art Department Digital Image Collection,ark:/21198/zz00097fk8,ark:/21198/zz0002wfnx,2,Completed,Work,,,individuals,private,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00097fk8%2Fzw63f36p,,,copyrighted,"Antoni, Janine",,Painting and Drawing Collection,Mom and Dad,1994,"24"" x 20""",mother/father/makeup,,,
Art Department Digital Image Collection,ark:/21198/zz00097fwx,ark:/21198/zz0002wfnx,2,Completed,Work,,,individuals,private,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00097fwx%2Fvb87rm1k,,,copyrighted,"Apfelbaum, Polly",,Painting and Drawing Collection,Eclipse,1996,Dimensions Vary Approx: 30' x 20',"Velvet, Dye",,,
Art Department Digital Image Collection,ark:/21198/zz00097g41,ark:/21198/zz0002wfnx,2,Completed,Work,,,individuals,private,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00097g41%2Fxv44221m,,,copyrighted,"Apfelbaum, Polly",,Painting and Drawing Collection,Power Puff,2000,,installation,"D'Amelio Terras, NY",,
Art Department Digital Image Collection,ark:/21198/zz00097hsb,ark:/21198/zz0002wfnx,2,Completed,Work,,,individuals,private,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00097hsb%2Fbv71gv7d,,,copyrighted,,"Applebroog, Ida",Painting and Drawing Collection,Emetic Fields,1989,"108"" x 202""",Oil on Canvas,,,
Art Department Digital Image Collection,ark:/21198/zz00097hvc,ark:/21198/zz0002wfnx,2,Completed,Work,,,individuals,private,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00097hvc%2Fs7751f0k,,,copyrighted,"Applebroog, Ida",,Painting and Drawing Collection,Comp Compazine,1988,"86"" x 140"" x 18""",Oil on Canvas,,,
Art Department Digital Image Collection,ark:/21198/zz00097rm4,ark:/21198/zz0002wfnx,2,Completed,Work,,,individuals,private,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00097rm4%2Fw452050d,,,copyrighted,"Bamber, Judie",,Painting and Drawing Collection,What Do You Say? Chrome Egg Butt Plug,1989,,Oil on Canvas,,,
Art Department Digital Image Collection,ark:/21198/zz00097rw8,ark:/21198/zz0002wfnx,2,Completed,Work,,,individuals,private,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00097rw8%2F6n81331k,,,copyrighted,"Bamber, Judie",,Painting and Drawing Collection,Well It Didn't Just Get Up and Walk Away,1989,"12"" x 12""",Oil on Canvas,,,
Art Department Digital Image Collection,ark:/21198/zz00097s8f,ark:/21198/zz0002wfnx,2,Completed,Work,,,individuals,private,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00097s8f%2Fsz92s01x,,,copyrighted,"Barney, Matthew",,Painting and Drawing Collection,CREMASTER 4: Faerie Field,1994,"Various Dimensions, edition 1/3",4 C-Prints in self-lubricating plastic frames,,,
Art Department Digital Image Collection,ark:/21198/zz00097sf1,ark:/21198/zz0002wfnx,2,Completed,Work,,,individuals,private,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00097sf1%2F8b55p10r,,,copyrighted,"Barney, Matthew",,Painting and Drawing Collection,CREMASTER 4 - Production photograph,1994-95,,,production stills of the Faeries picnicking,,
Art Department Digital Image Collection,ark:/21198/zz00097szs,ark:/21198/zz0002wfnx,2,Completed,Work,,,individuals,private,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00097szs%2Fbz17gk5r,,,copyrighted,"Basquiat, Jean-Michel",,Painting and Drawing Collection,"Circusvomit, Mostly Pink",1982,5' x 5',Acrylic on Canvas,,,
