Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,viewingHint,Visibility,Duplicate,Delete in Title,Thumbnail,Type.typeOfResource,Type.genre,Rights.copyrightStatus,Name.artist,Name.photographer,Relation.isPartOf,Title,Date,Format.dimensions,Format.medium,Description,Description.note,Description.abstract
Art Department Digital Image Collection,ark:/21198/zz000975bs/0g32sg8c,ark:/21198/zz000975bs,,,Page,art/image/21198-zz000975bs-2-master.tif,2,,private,,,,,,,,,,Page 2,,,,,,
Art Department Digital Image Collection,ark:/21198/zz000975bs/j7029m6b,ark:/21198/zz000975bs,,,Page,art/image/21198-zz000975bs-3-master.tif,3,,private,,,,,,,,,,Page 3,,,,,,
Art Department Digital Image Collection,ark:/21198/zz000975bs/s226p19w,ark:/21198/zz000975bs,,,Page,art/image/21198-zz000975bs-1-master.tif,1,,private,,,,,,,,,,Page 1,,,,,,
Art Department Digital Image Collection,ark:/21198/zz0009778q/62263w6h,ark:/21198/zz0009778q,,,Page,art/image/21198-zz0009778q-3-master.tif,3,,private,,,,,,,,,,Page 3,,,,,,
Art Department Digital Image Collection,ark:/21198/zz0009778q/d994j24w,ark:/21198/zz0009778q,,,Page,art/image/21198-zz0009778q-2-master.tif,2,,private,,,,,,,,,,Page 2,,,,,,
Art Department Digital Image Collection,ark:/21198/zz0009778q/z309ts3p,ark:/21198/zz0009778q,,,Page,art/image/21198-zz0009778q-1-master.tif,1,,private,,,,,,,,,,Page 1,,,,,,
Art Department Digital Image Collection,ark:/21198/zz00097dcp/gd532086,ark:/21198/zz00097dcp,,,Page,art/image/21198-zz00097dcp-2-master.tif,2,,private,,,,,,,,,,Page 2,,,,,,
Art Department Digital Image Collection,ark:/21198/zz00097dcp/k128pc9t,ark:/21198/zz00097dcp,,,Page,art/image/21198-zz00097dcp-1-master.tif,1,,private,,,,,,,,,,Page 1,,,,,,
Art Department Digital Image Collection,ark:/21198/zz00097fc5/b743kk04,ark:/21198/zz00097fc5,,,Page,art/image/21198-zz00097fc5-2-master.tif,2,,private,,,,,,,,,,Page 2,,,,,,
Art Department Digital Image Collection,ark:/21198/zz00097fc5/pm44pq8f,ark:/21198/zz00097fc5,,,Page,art/image/21198-zz00097fc5-1-master.tif,1,,private,,,,,,,,,,Page 1,,,,,,
Art Department Digital Image Collection,ark:/21198/zz00097ff6/3134j130,ark:/21198/zz00097ff6,,,Page,art/image/21198-zz00097ff6-2-master.tif,2,,private,,,,,,,,,,Page 2,,,,,,
Art Department Digital Image Collection,ark:/21198/zz00097ff6/hw37bb51,ark:/21198/zz00097ff6,,,Page,art/image/21198-zz00097ff6-1-master.tif,1,,private,,,,,,,,,,Page 1,,,,,,
Art Department Digital Image Collection,ark:/21198/zz00097fjr/4g879q4r,ark:/21198/zz00097fjr,,,Page,art/image/21198-zz00097fjr-2-master.tif,2,,private,,,,,,,,,,Page 2,,,,,,
Art Department Digital Image Collection,ark:/21198/zz00097fjr/hc70n81d,ark:/21198/zz00097fjr,,,Page,art/image/21198-zz00097fjr-1-master.tif,1,,private,,,,,,,,,,Page 1,,,,,,
Art Department Digital Image Collection,ark:/21198/zz00097fk8/rf40641m,ark:/21198/zz00097fk8,,,Page,art/image/21198-zz00097fk8-2-master.tif,2,,private,,,,,,,,,,Page 2,,,,,,
Art Department Digital Image Collection,ark:/21198/zz00097fk8/zw63f36p,ark:/21198/zz00097fk8,,,Page,art/image/21198-zz00097fk8-1-master.tif,1,,private,,,,,,,,,,Page 1,,,,,,
Art Department Digital Image Collection,ark:/21198/zz00097fwx/4m182q6m,ark:/21198/zz00097fwx,,,Page,art/image/21198-zz00097fwx-2-master.tif,2,,private,,,,,,,,,,Page 2,,,,,,
Art Department Digital Image Collection,ark:/21198/zz00097fwx/vb87rm1k,ark:/21198/zz00097fwx,,,Page,art/image/21198-zz00097fwx-1-master.tif,1,,private,,,,,,,,,,Page 1,,,,,,
Art Department Digital Image Collection,ark:/21198/zz00097g41/qc07n120,ark:/21198/zz00097g41,,,Page,art/image/21198-zz00097g41-2-master.tif,2,,private,,,,,,,,,,Page 2,,,,,,
Art Department Digital Image Collection,ark:/21198/zz00097g41/xv44221m,ark:/21198/zz00097g41,,,Page,art/image/21198-zz00097g41-1-master.tif,1,,private,,,,,,,,,,Page 1,,,,,,
Art Department Digital Image Collection,ark:/21198/zz00097hsb/bv71gv7d,ark:/21198/zz00097hsb,,,Page,art/image/21198-zz00097hsb-1-master.tif,1,,private,,,,,,,,,,Page 1,,,,,,
Art Department Digital Image Collection,ark:/21198/zz00097hsb/hq98ws5r,ark:/21198/zz00097hsb,,,Page,art/image/21198-zz00097hsb-2-master.tif,2,,private,,,,,,,,,,Page 2,,,,,,
Art Department Digital Image Collection,ark:/21198/zz00097hsb/v932qf0g,ark:/21198/zz00097hsb,,,Page,art/image/21198-zz00097hsb-3-master.tif,3,,private,,,,,,,,,,Page 3,,,,,,
Art Department Digital Image Collection,ark:/21198/zz00097hvc/kg948x66,ark:/21198/zz00097hvc,,,Page,art/image/21198-zz00097hvc-2-master.tif,2,,private,,,,,,,,,,Page 2,,,,,,
Art Department Digital Image Collection,ark:/21198/zz00097hvc/s7751f0k,ark:/21198/zz00097hvc,,,Page,art/image/21198-zz00097hvc-1-master.tif,1,,private,,,,,,,,,,Page 1,,,,,,
Art Department Digital Image Collection,ark:/21198/zz00097rm4/w452050d,ark:/21198/zz00097rm4,,,Page,art/image/21198-zz00097rm4-1-master.tif,1,,private,,,,,,,,,,Page 1,,,,,,
Art Department Digital Image Collection,ark:/21198/zz00097rm4/zv256625,ark:/21198/zz00097rm4,,,Page,art/image/21198-zz00097rm4-2-master.tif,2,,private,,,,,,,,,,Page 2,,,,,,
Art Department Digital Image Collection,ark:/21198/zz00097rw8/6n81331k,ark:/21198/zz00097rw8,,,Page,art/image/21198-zz00097rw8-2-master.tif,1,,private,,,,,,,,,,Page 1,,,,,,
Art Department Digital Image Collection,ark:/21198/zz00097rw8/dk31zz4h,ark:/21198/zz00097rw8,,,Page,art/image/21198-zz00097rw8-3-master.tif,2,,private,,,,,,,,,,Page 2,,,,,,
Art Department Digital Image Collection,ark:/21198/zz00097s8f/q9917x0z,ark:/21198/zz00097s8f,,,Page,art/image/21198-zz00097s8f-4-master.tif,4,,private,,,,,,,,,,Page 4,,,,,,
Art Department Digital Image Collection,ark:/21198/zz00097s8f/qj756h4m,ark:/21198/zz00097s8f,,,Page,art/image/21198-zz00097s8f-3-master.tif,3,,private,,,,,,,,,,Page 3,,,,,,
Art Department Digital Image Collection,ark:/21198/zz00097s8f/sz92s01x,ark:/21198/zz00097s8f,,,Page,art/image/21198-zz00097s8f-1-master.tif,1,,private,,,,,,,,,,Page 1,,,,,,
Art Department Digital Image Collection,ark:/21198/zz00097s8f/ww57ck0b,ark:/21198/zz00097s8f,,,Page,art/image/21198-zz00097s8f-2-master.tif,2,,private,,,,,,,,,,Page 2,,,,,,
Art Department Digital Image Collection,ark:/21198/zz00097sf1/8b55p10r,ark:/21198/zz00097sf1,,,Page,art/image/21198-zz00097sf1-1-master.tif,1,,private,,,,,,,,,,Page 1,,,,,,
Art Department Digital Image Collection,ark:/21198/zz00097sf1/nj365k8c,ark:/21198/zz00097sf1,,,Page,art/image/21198-zz00097sf1-2-master.tif,2,,private,,,,,,,,,,Page 2,,,,,,
Art Department Digital Image Collection,ark:/21198/zz00097szs/77893j29,ark:/21198/zz00097szs,,,Page,art/image/21198-zz00097szs-2-master.tif,2,,private,,,,,,,,,,Page 2,,,,,,
Art Department Digital Image Collection,ark:/21198/zz00097szs/bz17gk5r,ark:/21198/zz00097szs,,,Page,art/image/21198-zz00097szs-1-master.tif,1,,private,,,,,,,,,,Page 1,,,,,,
Art Department Digital Image Collection,ark:/21198/zz00097vjj/1249m28d,ark:/21198/zz00097vjj,,,Page,art/image/21198-zz00097vjj-2-master.tif,2,,private,,,,,,,,,,Page 2,,,,,,
Art Department Digital Image Collection,ark:/21198/zz00097vjj/n8564d7d,ark:/21198/zz00097vjj,,,Page,art/image/21198-zz00097vjj-1-master.tif,1,,private,,,,,,,,,,Page 1,,,,,,
Art Department Digital Image Collection,ark:/21198/zz00097vn3/ch13bc46,ark:/21198/zz00097vn3,,,Page,art/image/21198-zz00097vn3-1-master.tif,1,,private,,,,,,,,,,Page 1,,,,,,
Art Department Digital Image Collection,ark:/21198/zz00097vn3/xw84bb20,ark:/21198/zz00097vn3,,,Page,art/image/21198-zz00097vn3-2-master.tif,2,,private,,,,,,,,,,Page 2,,,,,,
Art Department Digital Image Collection,ark:/21198/zz00097vpm/66169774,ark:/21198/zz00097vpm,,,Page,art/image/21198-zz00097vpm-2-master.tif,2,,private,,,,,,,,,,Page 2,,,,,,
Art Department Digital Image Collection,ark:/21198/zz00097vpm/bh14w55j,ark:/21198/zz00097vpm,,,Page,art/image/21198-zz00097vpm-1-master.tif,1,,private,,,,,,,,,,Page 1,,,,,,
Art Department Digital Image Collection,ark:/21198/zz00097vq4/9n40hc6h,ark:/21198/zz00097vq4,,,Page,art/image/21198-zz00097vq4-2-master.tif,2,,private,,,,,,,,,,Page 2,,,,,,
Art Department Digital Image Collection,ark:/21198/zz00097vq4/xc84w22v,ark:/21198/zz00097vq4,,,Page,art/image/21198-zz00097vq4-1-master.tif,1,,private,,,,,,,,,,Page 1,,,,,,
Art Department Digital Image Collection,ark:/21198/zz00097vs5/mm983g2m,ark:/21198/zz00097vs5,,,Page,art/image/21198-zz00097vs5-1-master.tif,1,,private,,,,,,,,,,Page 1,,,,,,
Art Department Digital Image Collection,ark:/21198/zz00097vs5/tr21ww1t,ark:/21198/zz00097vs5,,,Page,art/image/21198-zz00097vs5-2-master.tif,2,,private,,,,,,,,,,Page 2,,,,,,
Art Department Digital Image Collection,ark:/21198/zz00097vwq/4374qd4x,ark:/21198/zz00097vwq,,,Page,art/image/21198-zz00097vwq-1-master.tif,1,,private,,,,,,,,,,Page 1,,,,,,
Art Department Digital Image Collection,ark:/21198/zz00097vwq/bz923w27,ark:/21198/zz00097vwq,,,Page,art/image/21198-zz00097vwq-2-master.tif,2,,private,,,,,,,,,,Page 2,,,,,,
Art Department Digital Image Collection,ark:/21198/zz00097vzr/x003bd6w,ark:/21198/zz00097vzr,,,Page,art/image/21198-zz00097vzr-2-master.tif,2,,private,,,,,,,,,,Page 2,,,,,,
Art Department Digital Image Collection,ark:/21198/zz00097vzr/x720x167,ark:/21198/zz00097vzr,,,Page,art/image/21198-zz00097vzr-1-master.tif,1,,private,,,,,,,,,,Page 1,,,,,,
Art Department Digital Image Collection,ark:/21198/zz00097w2s/7t76ms22,ark:/21198/zz00097w2s,,,Page,art/image/21198-zz00097w2s-2-master.tif,2,,private,,,,,,,,,,Page 2,,,,,,
Art Department Digital Image Collection,ark:/21198/zz00097w2s/gz39vm22,ark:/21198/zz00097w2s,,,Page,art/image/21198-zz00097w2s-1-master.tif,1,,private,,,,,,,,,,Page 1,,,,,,
Art Department Digital Image Collection,ark:/21198/zz00098277/ss95h24k,ark:/21198/zz00098277,,,Page,art/image/21198-zz00098277-1-master.tif,1,,private,,,,,,,,,,Page 1,,,,,,
Art Department Digital Image Collection,ark:/21198/zz00098277/vx783d33,ark:/21198/zz00098277,,,Page,art/image/21198-zz00098277-2-master.tif,2,,private,,,,,,,,,,Page 2,,,,,,
