Project Name,Item ARK,Parent ARK,viewingHint,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Type.genre,Rights.publicationStatus,Rights.status,Rights.statementLocal,Name.repository,Name.subject,Name.creator,Rights.servicesContact,Format.medium,Description.note,Date.creation,Format.dimensions,Title,Alt ID.local,Opac url,Bucketeer State,IIIF Access URL,IIIF Manifest URL
Eric Gill Artwork Collection,ark:/21198/n1fp5j,ark:/21198/zz002d1s2n,,2,Completed,Page,eric_gill/image/CEG0001_a.tif,1,drawings (visual works)|~|erotica,unknown,,,,,"Gill, Eric, 1882-1939",,pencil on paper,"From sketchbook with three pencil nudes: female, back view from shoulders to knees",1939 January,7.75 x 10.25 inches,Three pencil nudes,CEG1,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1fp5j,
Eric Gill Artwork Collection,ark:/21198/n1b03z,ark:/21198/zz002d1s2n,,,,Page,eric_gill/image/CEG0001_b.tif,2,drawings (visual works)|~|erotica,,,,,,"Gill, Eric, 1882-1939",,pencil on paper,"From sketchbook with three pencil nudes: male, front view from chest to knees",1939 January,7.75 x 10.25 inches,Three pencil nudes,CEG1,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1b03z,
Eric Gill Artwork Collection,ark:/21198/n1660n,ark:/21198/zz002d1s2n,,,,Page,eric_gill/image/CEG0001_c.tif,3,drawings (visual works)|~|erotica,,,,,,"Gill, Eric, 1882-1939",,pencil on paper,From sketchbook with three pencil nudes: male genitals,1939 January,7.75 x 10.25 inches,Three pencil nudes,CEG1,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1660n,
,ark:/21198/n1xp5w,ark:/21198/n12g86,,,,Page,eric_gill/image/CEG0050_a.tif,1,drawings (visual works),unknown,,"Copyright has not been assigned to the William Andrews Clark Memorial Library. All requests for permission to publish or quote from manuscripts must be submitted in writing to the Librarian. Permission for publication is given on behalf of the William Andrews Clark Memorial Library as the owner of the physical items and is not intended to include or imply permission of the copyright holder, which must also be obtained.",William Andrews Clark Memorial Library,,"Gill, Eric, 1882-1940",,pencil on tracing paper,"One of two gridded drawings of a hand holding a tool, perhaps a chisel.  The same drawings are traced on the reverse, with text in Gill’s hand explaining how the tool is used.",undated,7.5 x 10.75 inches,Untitled,CEG50,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1xp5w,
,ark:/21198/zz002d1tqz,ark:/21198/n12g86,,,,Page,eric_gill/image/CEG0050_b.tif,2,drawings (visual works),unknown,,"Copyright has not been assigned to the William Andrews Clark Memorial Library. All requests for permission to publish or quote from manuscripts must be submitted in writing to the Librarian. Permission for publication is given on behalf of the William Andrews Clark Memorial Library as the owner of the physical items and is not intended to include or imply permission of the copyright holder, which must also be obtained.",William Andrews Clark Memorial Library,,"Gill, Eric, 1882-1940",,pencil on tracing paper,"One of two gridded drawings of a hand holding a tool, perhaps a chisel.  The same drawings are traced on the reverse, with text in Gill’s hand explaining how the tool is used.",undated,7.5 x 10.75 inches,Untitled,CEG50,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002d1tqz,
,ark:/21198/n1t039,ark:/21198/zz002d1v0k,,,,Page,eric_gill/image/CEG0058_a.tif,1,drawings (visual works),,,,,,"Gill, Eric, 1882-1940",,pencil on paper,Recto,1914 June 10,7 x 10 inches,Untitled,CEG58,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1t039,
,ark:/21198/n1p600,ark:/21198/zz002d1v0k,,,,Page,eric_gill/image/CEG0058_b.tif,2,drawings (visual works),,,,,,"Gill, Eric, 1882-1940",,pencil on paper,Verso,1914 June 10,7 x 10 inches,Untitled,CEG58,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1p600,
Eric Gill Artwork Collection,ark:/21198/zz002d1w7p,ark:/21198/n1jg9x,,2,Completed,Page,eric_gill/image/CEG0102.tif,1,drawings (visual works),unknown,,"Copyright has not been assigned to the William Andrews Clark Memorial Library. All requests for permission to publish or quote from manuscripts must be submitted in writing to the Librarian. Permission for publication is given on behalf of the William Andrews Clark Memorial Library as the owner of the physical items and is not intended to include or imply permission of the copyright holder, which must also be obtained.",William Andrews Clark Memorial Library,,"Gill, Eric, 1882-1940",,Pencil on tracing paper,"A note in the box states that these drawings are, “A collection of pages from a sketch book used by my Father Eric Gill in Paris, Joanna Hague (nee Gill).” The drawings consist of 12 nudes drawn from life, some dated August 29, 1938.",1938,8.5 x 10 drawings in a 9 x 11.5 inches case,Paris sketchbook,CEG102,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002d1w7p,
Eric Gill Artwork Collection,ark:/21198/zz002d1w86,ark:/21198/n1jg9x,,2,Completed,Page,eric_gill/image/CEG0103.tif,2,drawings (visual works),unknown,,"Copyright has not been assigned to the William Andrews Clark Memorial Library. All requests for permission to publish or quote from manuscripts must be submitted in writing to the Librarian. Permission for publication is given on behalf of the William Andrews Clark Memorial Library as the owner of the physical items and is not intended to include or imply permission of the copyright holder, which must also be obtained.",William Andrews Clark Memorial Library,,"Gill, Eric, 1882-1940",,Pencil on tracing paper,"A note in the box states that these drawings are, “A collection of pages from a sketch book used by my Father Eric Gill in Paris, Joanna Hague (nee Gill).” The drawings consist of 12 nudes drawn from life, some dated August 29, 1938.",1938,8.5 x 10 drawings in a 9 x 11.5 inches case,Paris sketchbook,CEG103,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002d1w86,
Eric Gill Artwork Collection,ark:/21198/zz002d1w9q,ark:/21198/n1jg9x,,2,Completed,Page,eric_gill/image/CEG0104.tif,3,drawings (visual works),unknown,,"Copyright has not been assigned to the William Andrews Clark Memorial Library. All requests for permission to publish or quote from manuscripts must be submitted in writing to the Librarian. Permission for publication is given on behalf of the William Andrews Clark Memorial Library as the owner of the physical items and is not intended to include or imply permission of the copyright holder, which must also be obtained.",William Andrews Clark Memorial Library,,"Gill, Eric, 1882-1940",,Pencil on tracing paper,"A note in the box states that these drawings are, “A collection of pages from a sketch book used by my Father Eric Gill in Paris, Joanna Hague (nee Gill).” The drawings consist of 12 nudes drawn from life, some dated August 29, 1938.",1938,8.5 x 10 drawings in a 9 x 11.5 inches case,Paris sketchbook,CEG104,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002d1w9q,
