Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Thumbnail,Type.typeOfResource,Subject,Relation.isPartOf,Title,AltTitle.uniform,Format.dimensions,Description.note,Summary,Date.creation,Format.medium,Alt ID.local,Finding Aid URL,Opac url,Bucketeer State,IIIF Access URL,IIIF Manifest URL
Seeds (Corinne) Documentation Project. Collection 1419,ark:/21198/zz0013zn79,,2,Completed,Collection,,,,,,,"Seeds, Corinne, 1889-1969.|~|Corinne Seeds Documentation Project--Archives.|~|University of California, Los Angeles. University Elementary School--Archives.|~|Elementary school principals--California--Los Angeles--Archives.",,"Corinne Seeds Documentation Project, ca. 1925-1958",Seeds (Corinne) Documentation Project,,"Corinne Seeds (1889-1969) was the principal of the Training School of the University of California, Southern Branch (1925). In 1929, the school was renamed the University Elementary School (UES), and in the late 1940s, the school moved to the UCLA campus with the first permanent UES buildings opening in 1950. She retired in 1957. In 1982, the school was renamed the Corinne A. Seeds University Elementary School in her honor. The collection consists of biographical and historical materials, scrapbooks, sample units of work, publications and studies, and photographs relating to Seeds' work at the UCLA University Elementary School.","Seeds was born in 1889; in 1925, she became principal of the Training School of the fledgling University of California, Southern Branch, located on North Vermont Ave. in Los Angeles; in 1929, Seeds and the Training School moved to its first Westwood location on Warner Ave., and the school was renamed the University Elementary School (UES); in the late 1940s the school moved to the UCLA campus, and the first permanent UES buildings opened in 1950; Seeds retired as principal of UES in 1957; she died in 1969; in 1982, the school was renamed the Corinne A. Seeds University Elementary School in her honor.",1925-1958,,Collection 1419,https://oac.cdlib.org/findaid/ark:/13030/kt7c6021m9/,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=4232910,,,https://iiif.library.ucla.edu/collections/ark%3A%2F21198%2Fzz0013zn79
Seeds (Corinne) Documentation Project. Collection 1419,ark:/21198/zz001drtjd,ark:/21198/zz0013zn79,2,Completed,Work,seeds/masters/21198-zz001drtjd_777804_master.tif,1,,,,,,Seeds (Corinne) Documentation Project. Collection 1419,"Girls House - Inside, 1919.",,3.5 x 5.5 in.,"Back of photograph contains note which reads:""Inside view of house constructed by group of girls.""|~|Back of photograph contains note which reads:""Kgarten Uni. of Calif. (So. Branch)Los Angeles, Cal.March, 1919""",,March 1919,b&w photograph,C1419_b16_f(Boys and Girls House),,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001drtjd,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001drtjd/manifest
Seeds (Corinne) Documentation Project. Collection 1419,ark:/21198/zz001drzcr,ark:/21198/zz0013zn79,2,Completed,Work,seeds/masters/21198-zz001drzcr_777807_master.tif,2,,,,still image,,Seeds (Corinne) Documentation Project. Collection 1419,"At Luncheon - Room for 12 in the House, [1919].",,3.5 x 5.5 in.,"Back of photograph contains note which reads:""Boys house Girls house""",,[March 1919],b&w photograph,C1419_b16_f(Boys and Girls House),,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001drzcr,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001drzcr/manifest
Seeds (Corinne) Documentation Project. Collection 1419,ark:/21198/zz001drzd8,ark:/21198/zz0013zn79,2,Completed,Work,seeds/masters/21198-zz001drzd8_777810_master.tif,3,,,,still image,,Seeds (Corinne) Documentation Project. Collection 1419,"Boy's House: Sleeping Porch Upstairs.  Bedroom Downstairs, [1919]",,3.5 x 5.5 in.,"Back of photograph contains note which reads:""Another view of house constitructed by groups of boys; [?] sleeping room up and down stairs.""|~|Back of photograph contains note which reads:""Kgarten Univ. of Cal. | So. Branch Los Angeles, Calif.March, [1919]""",,March [1919],b&w photograph,C1419_b16_f(Boys and Girls House),,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001drzd8,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001drzd8/manifest
Seeds (Corinne) Documentation Project. Collection 1419,ark:/21198/zz001drzfs,ark:/21198/zz0013zn79,2,Completed,Work,seeds/masters/21198-zz001drzfs_777813_master.tif,4,,,,,,Seeds (Corinne) Documentation Project. Collection 1419,"Children playing in plants, 1930-1931.",,3.5 x 2.5 in.,"Picture of children in UCLA nursery school playing.|~|Back of photograph contains note which reads:""Nursery School, UCLA, 1930-1931""",,1930-1931,b&w photograph,C1419_b16_f(nursery 1930-31),,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001drzfs,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001drzfs/manifest
Seeds (Corinne) Documentation Project. Collection 1419,ark:/21198/zz001drzg9,ark:/21198/zz0013zn79,2,Completed,Work,seeds/masters/21198-zz001drzg9_777816_master.tif,5,,,,,,Seeds (Corinne) Documentation Project. Collection 1419,"Boys playing on a ramp, 1930-1931.",,3.5 x 2.5 cm,"Back of photograph contains note which reads:""Nursery School UCLA, 1930-1931On the boards""",,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001drzg9,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001drzg9/manifest
Seeds (Corinne) Documentation Project. Collection 1419,ark:/21198/zz001drzht,ark:/21198/zz0013zn79,2,Completed,Work,seeds/masters/21198-zz001drzht_777819_master.tif,6,,,,,,Seeds (Corinne) Documentation Project. Collection 1419,"Two Boys holding Saws, 1932-1933.",,6.5 x 9 cm,"Back of photograph contains note which reads:""Nursery School UCLA, 1932-1933.Carpenters at Work""",,1932-1933,b&w photograph,C1419_b16_f(nursery 1932-33),,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001drzht,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001drzht/manifest
Seeds (Corinne) Documentation Project. Collection 1419,ark:/21198/zz001drzjb,ark:/21198/zz0013zn79,2,Completed,Work,seeds/masters/21198-zz001drzjb_777822_master.tif,7,,,,still image,,Seeds (Corinne) Documentation Project. Collection 1419,"Child sawing a board, 1932-1933.",,9 x 6.5 cm,"Back of photograph contains note which reads:""Nursery School UCLA, 1932-1933At the work bench.""",,1932-1933,,C1419_b16_f(nursery 1932-33),,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001drzjb,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001drzjb/manifest
Seeds (Corinne) Documentation Project. Collection 1419,ark:/21198/zz001drzkv,ark:/21198/zz0013zn79,2,Completed,Work,seeds/masters/21198-zz001drzkv_777825_master.tif,8,,,,,,Seeds (Corinne) Documentation Project. Collection 1419,"Girl pounding a nail, 1933-1934.",,8 x 13.5 cm,"Back of photograph contains note which reads:""Nursery School UCLA, 1933-1934At the pounding board""",,,b&w photograph,C1419_b16_f(nursery 1933-34),,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001drzkv,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001drzkv/manifest
