Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Thumbnail,Rights.copyrightStatus,Name.interviewee,Language,Type.typeOfResource,Type.genre,Name.repository,Subject,Name.interviewer,Name.subject,Description.note,Date.creation,Date.normalized,Format.extent,Title,Alt ID.local,Description.abstract,
Sales (Ephraim) Collection of Interviews by Roy Newquist,ark:/21198/zz002hgb71,ark:/21198/zz002c4jrj,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hgb71%2F5w39jq9p,,"Shimkin, Leon, $d 1907-",eng,sound recording-nonmusical,interviews,"University of California, Los Angeles. Library. Department of Special Collections",,"Newquist, Roy",,The first recording file is a rough-cut interview with publisher Leon Shimkin. He discusses the landscape and ethics of publishing and its history in the United States.|~|The second recording file is a continuation of an interview with publisher Leon Shimkin.|~|L. Shimkin - Box 7 #95,[between 1963 and 1967?],1963/1967,"1 sound tape reel : analog ; 5 in., 1/4 in. tape",Unaired Interview with Publisher Leon Shimkin,uclayrlsc1494_007_095,,
Sales (Ephraim) Collection of Interviews by Roy Newquist,ark:/21198/zz002hgbdm,ark:/21198/zz002c4jrj,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hgbdm%2F8h383n1n,copyrighted,"Smith, Gene",eng,sound recording-nonmusical,interviews,"University of California, Los Angeles. Library. Department of Special Collections",,"Newquist, Roy",,"Gene Smith - Box 13 #195|~|The recording begins with what seems to be notes from Roy Newquist about having talked to Frank Sinatra. The remainder appears to be the Gene Smith Counterpoint broadcast.|~|The second recording (side 2) contains a copy of the latter part of the first recording (without the Frank Sinatra notes). In the interview with Gene Smith, he talks about his biography with President Wilson, and his methods for writing the book. Smith also provides some anecdotes about President Wilson.","April 24, 1964",1964-04-24,"1 sound tape reel : analog ; 5 in., 1/4 in. tape",Counterpoint: Gene Smith,uclayrlsc1494_013_195,,
Sales (Ephraim) Collection of Interviews by Roy Newquist,ark:/21198/zz002hgmdg,ark:/21198/zz002c4jrj,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hgmdg%2F6123h39h,copyrighted,"Loy, Myrna, $d 1905-1993",eng,sound recording-nonmusical,interviews,"University of California, Los Angeles. Library. Department of Special Collections",,"Newquist, Roy",,Both recordings contain parts one and two of a rough cut interview with actress Myrna Loy. Topics mainly focus on her acting career and philanthropic work.|~|Myrna Loy - Box 9 #122,[between 1963 and 1967?],1963/1967,"1 sound tape reel (54:05) : analog ; 5 in., 1/4 in. tape",Unaired Interview with Actress Myrna Loy,uclayrlsc1494_009_122,,
Sales (Ephraim) Collection of Interviews by Roy Newquist,ark:/21198/zz002hgpv5,ark:/21198/zz002c4jrj,10,Completed with minimal metadata,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hgpv5%2Fjc09709v,copyrighted,,,sound recording-nonmusical,,,,,,,,,,Phyllis Diller - Box 3 # 35,uclayrlsc1494_003_035,,
Sales (Ephraim) Collection of Interviews by Roy Newquist,ark:/21198/zz002hgb71/5w39jq9p,ark:/21198/zz002hgb71,,,Page,ephraim/audio/21198-zz002hgb71-1-master.wav,1,,,,,,,sound recording-nonmusical,,,,,,,,,,Side A,,,
Sales (Ephraim) Collection of Interviews by Roy Newquist,ark:/21198/zz002hgb71/s838d87b,ark:/21198/zz002hgb71,,,Page,ephraim/audio/21198-zz002hgb71-2-master.wav,2,,,,,,,sound recording-nonmusical,,,,,,,,,,Side B,,,
Sales (Ephraim) Collection of Interviews by Roy Newquist,ark:/21198/zz002hgbdm/8h383n1n,ark:/21198/zz002hgbdm,,,Page,ephraim/audio/21198-zz002hgbdm-1-master.wav,1,,,,,,,sound recording-nonmusical,,,,,,,,,,Side A,,,
Sales (Ephraim) Collection of Interviews by Roy Newquist,ark:/21198/zz002hgbdm/8x06766m,ark:/21198/zz002hgbdm,,,Page,ephraim/audio/21198-zz002hgbdm-2-master.wav,2,,,,,,,sound recording-nonmusical,,,,,,,,,,Side B,,,
Sales (Ephraim) Collection of Interviews by Roy Newquist,ark:/21198/zz002hgmdg/6123h39h,ark:/21198/zz002hgmdg,,,Page,ephraim/audio/21198-zz002hgmdg-1-master.wav,1,,,,,,,sound recording-nonmusical,,,,,,,,,,Side A,,,
Sales (Ephraim) Collection of Interviews by Roy Newquist,ark:/21198/zz002hgmdg/cc730m77,ark:/21198/zz002hgmdg,,,Page,ephraim/audio/21198-zz002hgmdg-2-master.wav,2,,,,,,,sound recording-nonmusical,,,,,,,,,,Side A,,,
Sales (Ephraim) Collection of Interviews by Roy Newquist,ark:/21198/zz002hgpv5/7071r840,ark:/21198/zz002hgpv5,,,Page,ephraim/audio/21198-zz002hgpv5-3-master.wav,2,,,,,,,sound recording-nonmusical,,,,,,,,,,Side B,,,
Sales (Ephraim) Collection of Interviews by Roy Newquist,ark:/21198/zz002hgpv5/jc09709v,ark:/21198/zz002hgpv5,,,Page,ephraim/audio/21198-zz002hgpv5-2-master.wav,1,,,,,,,sound recording-nonmusical,,,,,,,,,,Side A,,,
