Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Visibility,viewingHint,Delete in Title,Subject topic,Thumbnail,Type.typeOfResource,Type.genre,Rights.copyrightStatus,Rights.permission,Rights.publicationStatus,Coverage.geographic,Name.photographer,Author,Name.subject,Subject,Subject.conceptTopic,Language,Rights.permissionNote,Name.creator,Rights.publicationNote,Text direction,IIIF Range,Name.repository,Title,Date.creation,Description.note,Summary,Description.caption,Date.normalized,Description.abstract,Date.created,AltTitle.other,Opac url,Finding Aid URL
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz000s2z5v,,2,Completed,Collection,,,,,,,,,,,copyrighted,,,"California, Southern|~|Los Angeles (Calif.)",,,Southern California Women for Understanding,"Southern California Women for Understanding--Archives|~|Women--Services for--California, Southern--Archives|~|Lesbian community--California, Southern--Archives",Lesbians $z California $z Los Angeles|~|Lesbians—Services for—California—Los Angeles,spa|~|eng|~|zxx,,Southern California Women for Understanding,,,,June L. Mazer Lesbian Archives,"Southern California Women for Understanding (SCWU) collection, 1975-1999",Between 1975 and 1999,"The Southern California Women for Understanding Collection contains the operational records of Southern California Women for Understanding (SCWU), one of the earliest lesbian non-profit educational organizations in Los Angeles, California.","Southern California Women for Understanding (SCWU), an educational non-profit organization, formed in 1976 and dedicated itself to ""enhancing the quality of life for [the lesbian] community and for lesbians nationwide, creative and positive exchange about homosexuality, [and] changing stereotypical images of lesbians."" SCWU emerged in the midst of the civil rights, gay rights, and women's movements when many marginalized social groups organized en masse to demand recognition and rights. SCWU was one of the earliest known lesbian organizations. At its height, SCWU reached membership of 1,100 and in 1982, Lesbian News hailed it as the ""largest lesbian support group in the country.""",,1975/1999,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=6650672,https://oac.cdlib.org/findaid/ark:/13030/kt1f59r455/
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz0014sn3d,ark:/21198/zz000s2z5v,2,Completed,Work,,1,,,,,,,text,,copyrighted,Y,published,Los Angeles (Calif.),,,Southern California Women for Understanding,,Lesbians $z California $z Los Angeles|~|Lesbians—Services for—California—Los Angeles—Periodicals,eng,,Southern California Women for Understanding,,,,,SCWU Newsletter [newsletter],,"Southern California Women for Understanding (SCWU) Collection: Box 6, Folders 1-23.",,,1977/1999,,1977-1999,SCW/WRF News <1976-June 1978>|~|SCWU <May 1979-Jan. 1987>|~|SCW News <July 1978-March 1979>,,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz0014sn4x,ark:/21198/zz0014sn3d,2,Completed,ChildWork,,2,,,,,,,text,,copyrighted,Y,published,Los Angeles (Calif.),,,Southern California Women for Understanding,,Lesbians $z California $z Los Angeles|~|Lesbians—Services for—California—Los Angeles—Periodicals,eng,,Southern California Women for Understanding,,,,,"Volume 1, Number 6",[1977],,,,1977,,,,,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz0014sn5f,ark:/21198/zz0014sn4x,2,Completed,ChildWork,scwu/images/masters/21198-zz0014sn5f-1-master.tif,1,,,,,,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,,,,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz0014sn6z,ark:/21198/zz0014sn4x,2,Completed,ChildWork,scwu/images/masters/21198-zz0014sn6z-1-master.tif,2,,,,,,,,,,,,,,,,,,,,,,,,,Page 2,,,,,,,,,,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz0014sn7g,ark:/21198/zz0014sn4x,2,Completed,ChildWork,scwu/images/masters/21198-zz0014sn7g-1-master.tif,3,,,,,,,,,,,,,,,,,,,,,,,,,Page 3,,,,,,,,,,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz0014sn80,ark:/21198/zz0014sn4x,2,Completed,ChildWork,scwu/images/masters/21198-zz0014sn80-1-master.tif,4,,,,,,,,,,,,,,,,,,,,,,,,,Page 4,,,,,,,,,,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz00152m8h,ark:/21198/zz0014sn3d,2,Completed,ChildWork,,3,,,,,,,text,,copyrighted,Y,published,Los Angeles (Calif.),,,Southern California Women for Understanding,,Lesbians $z California $z Los Angeles|~|Lesbians—Services for—California—Los Angeles—Periodicals,eng,,Southern California Women for Understanding,,,,,"Volume 2, Number 3","May-June, 1978",,,,1978-05/1978-06,,,,,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz00152m91,ark:/21198/zz00152m8h,2,Completed,ChildWork,scwu/images/masters/21198-zz00152m91-1-master.tif,1,,,,,,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,,,,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz00152mbj,ark:/21198/zz00152m8h,2,Completed,ChildWork,scwu/images/masters/21198-zz00152mbj-1-master.tif,2,,,,,,,,,,,,,,,,,,,,,,,,,Page 2,,,,,,,,,,
