Item Created Date,Last Edit Date,Item Ark,Title,Modified By,Created By,Project Title
2014-10-06 11:55:02,2019-11-26 17:14:54,21198/zz002j86jg,"Marjory Gage and her mother, Belle W. Gage, 1936",Dana Iwata,Batch Ingest,Los Angeles Times Photographic Archive
2014-10-06 11:52:10,2019-11-26 13:28:35,21198/zz002j80jk,"Lois Earl, Mrs. Jack Gunnerson, and Agnes Derby are given diving instructions by E. J. Dirking, Emerald Bay, Laguna Beach, 1936",Dana Iwata,Batch Ingest,Los Angeles Times Photographic Archive
2014-10-06 11:53:43,2019-11-25 18:14:08,21198/zz002j83r4,"Marilyn Cantor, defendant against traffic suit, Los Angeles, 1938",Dana Iwata,Batch Ingest,Los Angeles Times Photographic Archive
2012-10-09 19:53:40,2019-11-25 15:14:25,21198/zz002dbjpm,"George B. Campbell, California Building-Loan League officer, circa 1929-1939",Dana Iwata,Batch Ingest,Los Angeles Times Photographic Archive
2012-10-09 20:01:03,2019-11-25 13:53:20,21198/zz002dbx2m,"Jose E. Campos, newspaper publisher, visits Los Angeles, 1935",Dana Iwata,Batch Ingest,Los Angeles Times Photographic Archive
2012-08-10 03:51:17,2019-11-25 12:21:00,21198/zz002cvkx1,"Workers unloading crated palm trees in front of City Hall, Los Angeles, 1928-1939",Martha Steele,Batch Ingest,Los Angeles Times Photographic Archive
2012-08-10 03:51:02,2019-11-25 12:20:41,21198/zz002cvkwh,"Workers unloading crated palm trees in front of City Hall, Los Angeles, 1928-1939",Martha Steele,Batch Ingest,Los Angeles Times Photographic Archive
2012-08-10 03:50:25,2019-11-25 12:20:10,21198/zz002cvktg,"Workers planting palm trees in front of city hall, Los Angeles, 1928-1939",Martha Steele,Batch Ingest,Los Angeles Times Photographic Archive
2012-07-05 23:04:36,2019-11-25 12:19:50,21198/zz002cq8kq,"Wilma Williams, actress, 1930s",Martha Steele,Batch Ingest,Los Angeles Times Photographic Archive
2012-07-05 23:24:39,2019-11-25 12:19:29,21198/zz002cqbkp,"William A. Wirt, 1934",Martha Steele,Batch Ingest,Los Angeles Times Photographic Archive
2012-07-05 23:24:23,2019-11-25 12:19:12,21198/zz002cqbj5,"William A. Wirt, 1934",Martha Steele,Batch Ingest,Los Angeles Times Photographic Archive
2012-08-10 04:52:31,2019-11-25 12:18:50,21198/zz002cvtps,"West Second Street, Los Angeles, 1920-1935",Martha Steele,Batch Ingest,Los Angeles Times Photographic Archive
2012-08-10 04:52:46,2019-11-25 12:18:29,21198/zz002cvtq9,"West Second Street, Los Angeles, 1920-1935",Martha Steele,Batch Ingest,Los Angeles Times Photographic Archive
2012-08-10 05:54:20,2019-11-25 12:18:08,21198/zz002cw2wq,"View through one of the newly completed Figueroa Street tunnels, Los Angeles, 1931-1935",Martha Steele,Batch Ingest,Los Angeles Times Photographic Archive
