"Item Created Date","Last Edit Date","Item Ark","Title","Modified By","Created By","Project Title"
"2014-09-12 18:26:59","2019-10-25 14:39:38","21198/zz002j57tr","uclamss_1998_c227_007","Sarah Richardson","Batch Ingest","West (H. H.), Collection Number 1998"
"2014-09-12 18:26:53","2019-10-25 14:28:28","21198/zz002j57jm","Dode Witherby, Mertie West and Zetta Witherby pose on the Wests' front walkway, Los Angeles, 1955","Sarah Richardson","Batch Ingest","West (H. H.), Collection Number 1998"
"2014-09-12 18:26:54","2019-10-25 14:11:50","21198/zz002j57k4","Dode Witherby, Mertie West and Zetta Witherby pose in front of the Wests' duplex, Los Angeles, 1955","Sarah Richardson","Batch Ingest","West (H. H.), Collection Number 1998"
"2014-09-12 18:26:52","2019-10-25 13:58:26","21198/zz002j57h3","Marry Athearn and Sarah Witherby walk down a sidewalk, Los Angeles, 1955","Sarah Richardson","Batch Ingest","West (H. H.), Collection Number 1998"
"2014-09-12 18:26:48","2019-10-25 13:28:31","21198/zz002j57bh","Parishioners gather outside Beverly Vista Community Church, Beverly Hills, 1955","Sarah Richardson","Batch Ingest","West (H. H.), Collection Number 1998"
"2014-09-12 18:26:49","2019-10-25 12:36:39","21198/zz002j57c1","Betty Jane Dewell and Diana Dewell pose in a courtyard at Beverly Vista Community Church, Beverly Hills, 1955","Sarah Richardson","Batch Ingest","West (H. H.), Collection Number 1998"
"2014-09-12 18:26:50","2019-10-25 11:43:54","21198/zz002j57dj","Debby West poses beside the signboard outside Beverly Vista Community Church, Beverly Hills, 1955","Sarah Richardson","Batch Ingest","West (H. H.), Collection Number 1998"
"2014-09-12 18:26:51","2019-10-25 11:34:48","21198/zz002j57f2","Mertie West chats with another parishioner at Beverly Vista Community Church, Beverly Hills, 1955","Sarah Richardson","Batch Ingest","West (H. H.), Collection Number 1998"
"2014-09-12 18:26:51","2019-10-25 11:04:47","21198/zz002j57gk","Lucy Dewell and Debby West stand in a courtyard at Beverly Vista Community Church, Beverly Hills, 1955","Sarah Richardson","Batch Ingest","West (H. H.), Collection Number 1998"
"2014-09-12 18:26:46","2019-10-25 08:17:07","21198/zz002j577z","Bresee Brothers and Gillette business card, Los Angeles, circa 1954","Sarah Richardson","Batch Ingest","West (H. H.), Collection Number 1998"
