Item Created Date,Last Edit Date,Item Ark,Title,Modified By,Created By,Project Title
2012-08-10 10:45:43,2019-12-21 23:59:30,21198/zz002cx5wm,"Pilot Gladys O'Donnell with Aerol Trophy, [Los Angeles?], [1932?]",Martha Steele,Batch Ingest,Los Angeles Times Photographic Archive
2012-08-10 10:45:27,2019-12-21 23:58:44,21198/zz002cx5v3,"Pilot Gladys O'Donnell and three unidentified men with Aerol Trophy, [Los Angeles?], [1932?]",Martha Steele,Batch Ingest,Los Angeles Times Photographic Archive
2012-08-10 08:39:53,2019-12-21 23:58:03,21198/zz002cwq6j,"Kid McCoy, on trial for murdering Teresa Mors, with his ex-wife Dagmar Dahlgren, Los Angeles, 1924",Martha Steele,Batch Ingest,Los Angeles Times Photographic Archive
2012-10-12 19:00:09,2019-12-21 23:57:17,21198/zz002dfj6q,"Harry Mount, actor, Los Angeles, 1935",Martha Steele,Batch Ingest,Los Angeles Times Photographic Archive
2012-08-10 08:11:53,2019-12-21 23:56:42,21198/zz002cwm21,"Evangelist Aimee Semple McPherson and her daughter Roberta Semple, [Glendale?], circa 1930",Martha Steele,Batch Ingest,Los Angeles Times Photographic Archive
2012-08-10 08:09:55,2019-12-21 23:55:56,21198/zz002cwkvf,"Cottage where some witnesses identified evangelist Aimee Semple McPherson, Carmel-by-the-Sea, [1926?]",Martha Steele,Batch Ingest,Los Angeles Times Photographic Archive
2012-08-10 08:24:17,2019-12-21 23:54:54,21198/zz002cwngq,"Baseball player Orville Mohler, Los Angeles",Martha Steele,Batch Ingest,Los Angeles Times Photographic Archive
2012-08-10 08:22:54,2019-12-21 23:54:12,21198/zz002cwnbn,"Baseball player Orville Mohler catching a ball thrown by a coach, Los Angeles, 1933-1939",Martha Steele,Batch Ingest,Los Angeles Times Photographic Archive
2012-08-10 08:22:39,2019-12-21 23:53:14,21198/zz002cwn94,"Baseball player and former USC football player Orville Mohler, Los Angeles, 1933-1939",Martha Steele,Batch Ingest,Los Angeles Times Photographic Archive
2014-03-13 15:40:48,2019-12-21 23:51:51,21198/zz002hmhpz,"W. W. (Tex) Milliken, Commissioner of Public Works for Santa Monica, Santa Monica, 1936 (copy photo)",Martha Steele,Batch Ingest,Los Angeles Times Photographic Archive
2013-06-14 11:07:56,2019-12-21 23:50:57,21198/zz002h862t,"Textile Building in the process of being modernized, Los Angeles, 1935",Martha Steele,Batch Ingest,Los Angeles Times Photographic Archive
2013-06-14 11:09:47,2019-12-21 23:48:41,21198/zz002h8bcd,"Stella, an oil painting reportedly by Alver Regli, 1936 (copy photo)",Martha Steele,Batch Ingest,Los Angeles Times Photographic Archive
2014-03-13 15:56:38,2019-12-21 23:47:47,21198/zz002hnt4g,"Samuel T. Whittaker and Ethel E. Whittaker at a beach, 1936 (copy photo)",Martha Steele,Batch Ingest,Los Angeles Times Photographic Archive
2013-06-14 11:10:16,2019-12-21 23:46:48,21198/zz002h8cgf,"Royal family photographic portrait with Kings Edward VII, George V, Edward VIII, George VI, 1936 (copy photo, circa 1902)",Martha Steele,Batch Ingest,Los Angeles Times Photographic Archive
2014-03-13 15:44:21,2019-12-21 23:45:43,21198/zz002hmt3h,"Reverend Roy L. Brown, New York, 1936 (copy photo)",Martha Steele,Batch Ingest,Los Angeles Times Photographic Archive
2014-03-13 15:44:53,2019-12-21 23:44:04,21198/zz002hmvc4,"Rebecca Stern, wife of Max Stern, 1936 (copy photo)",Martha Steele,Batch Ingest,Los Angeles Times Photographic Archive
2014-03-13 15:57:01,2019-12-21 23:43:03,21198/zz002hntzw,"Rabbi Edgar F. Magnin, Los Angeles, 1936 (copy photo)",Martha Steele,Batch Ingest,Los Angeles Times Photographic Archive
2013-06-14 11:07:56,2019-12-21 23:41:02,21198/zz002h8619,"Norton Building, with its occupant, Lord's Ladies Apparel, having a close-out sale, Los Angeles, 1936",Martha Steele,Batch Ingest,Los Angeles Times Photographic Archive
2013-06-14 11:09:47,2019-12-21 23:38:36,21198/zz002h8bbw,"Mrs. E. M. Lazard (Ida S. Lazard), president of the League of Women Voters, 1936 (copy photo)",Martha Steele,Batch Ingest,Los Angeles Times Photographic Archive
2013-06-14 11:38:09,2019-12-21 23:36:57,21198/zz002h8n44,"Jack Kermott and a police officer stand in front of Madonna of the Trail, Upland, 1938",Martha Steele,Batch Ingest,Los Angeles Times Photographic Archive
2014-03-13 15:40:09,2019-12-21 23:35:25,21198/zz002hmg46,"Harry Sears and Charles L. Gilmore of Mining Association of California and O. H. Griggs of Mining Association of the Southwest, Los Angeles, 1936",Martha Steele,Batch Ingest,Los Angeles Times Photographic Archive
2014-03-13 15:41:06,2019-12-21 23:33:08,21198/zz002hmjcs,"Fujio Kageyama, librarian of the Japanese-American Association, Los Angeles, 1936",Martha Steele,Batch Ingest,Los Angeles Times Photographic Archive
2014-03-13 15:43:49,2019-12-21 23:28:32,21198/zz002hmrsw,"E. V. Durling, ""On the Side"" columnist for the Los Angeles Times, Los Angeles, 1936 (copy photo)",Martha Steele,Batch Ingest,Los Angeles Times Photographic Archive
2014-03-13 15:44:55,2019-12-21 23:23:47,21198/zz002hmvf5,"Dr. John Wesley Hill, chancellor of Lincoln Memorial University, Redlands, 1936 (copy photo)",Martha Steele,Batch Ingest,Los Angeles Times Photographic Archive
2013-06-14 12:36:13,2019-12-21 23:23:02,21198/zz002h9qjr,"Dorothy Stickney, New York actress, Los Angeles, 1934",Martha Steele,Batch Ingest,Los Angeles Times Photographic Archive
2014-03-13 15:43:49,2019-12-21 23:22:20,21198/zz002hmrtd,"D. Y. Fegan, general manager for Los Angeles Furniture Company, Los Angeles, 1936 (copy photo)",Martha Steele,Batch Ingest,Los Angeles Times Photographic Archive
2014-03-13 15:54:42,2019-12-21 23:21:15,21198/zz002hnnqv,"Countess Karin de Roaldes, lecturer on Scandinavia, 1936 (copy photo)",Martha Steele,Batch Ingest,Los Angeles Times Photographic Archive
2013-06-14 11:09:30,2019-12-21 23:20:19,21198/zz002h89pk,"Charles R. Cass, founder of Los Angeles Map & Address Co., 1936 (copy of photo circa 1900?)",Martha Steele,Batch Ingest,Los Angeles Times Photographic Archive
2013-06-14 12:36:06,2019-12-21 23:19:28,21198/zz002h9q94,"Charles N. Stevens, Los Angeles Police Commissioner, Los Angeles, 1934",Martha Steele,Batch Ingest,Los Angeles Times Photographic Archive
2014-03-13 15:52:48,2019-12-21 23:18:37,21198/zz002hnh44,"Charles A. Son, member of the State Industrial Accident Commission, Los Angeles, 1935",Martha Steele,Batch Ingest,Los Angeles Times Photographic Archive
2014-03-13 15:39:44,2019-12-21 23:17:28,21198/zz002hmf6r,"Carol Dietrich, stand-in for Marlene Dietrich, 1936",Martha Steele,Batch Ingest,Los Angeles Times Photographic Archive
2013-06-14 11:07:57,2019-12-21 23:16:13,21198/zz002h863b,"Brooks Clothing Company removal sale on 5th and Hill, Los Angeles, 1935",Martha Steele,Batch Ingest,Los Angeles Times Photographic Archive
2014-03-13 15:44:23,2019-12-21 23:10:42,21198/zz002hmt5j,"A. E. Hargrove, Anaheim insurance and real estate man, Anaheim, 1936",Martha Steele,Batch Ingest,Los Angeles Times Photographic Archive
2012-10-09 20:16:50,2019-12-21 23:09:34,21198/zz002dcvtg,"Vice President Charles Dawes with local banker Henry M. Robinson, Los Angeles, 1925",Martha Steele,Batch Ingest,Los Angeles Times Photographic Archive
2012-10-09 20:16:49,2019-12-21 23:09:01,21198/zz002dcvsz,"Vice President Charles Dawes during a visit to Los Angeles,  1925",Martha Steele,Batch Ingest,Los Angeles Times Photographic Archive
2012-10-09 20:16:48,2019-12-21 23:08:18,21198/zz002dcvqx,"Vice President Charles Dawes during a visit to Los Angeles, 1925",Martha Steele,Batch Ingest,Los Angeles Times Photographic Archive
2012-10-09 20:16:48,2019-12-21 23:07:23,21198/zz002dcvrf,"Vice President Charles Dawes disembarking from a train during a visit to Los Angeles, September 1925",Martha Steele,Batch Ingest,Los Angeles Times Photographic Archive
2012-08-10 00:31:52,2019-12-21 23:06:10,21198/zz002ctsz0,"Larry Kerrigan, James F. Kirk, and Roy A. Williams, kidnappers of William F. Gettle, Arcadia, 1934",Martha Steele,Batch Ingest,Los Angeles Times Photographic Archive
