Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Thumbnail,Visibility,Type.genre,Type.typeOfResource,Rights.copyrightStatus,Subject,Name.subject,Name.creator,Rights.servicesContact,Language,Name.repository,Name.artist,Rights.permission,Name.photographer,Name.correspondent,Description.note,Alt ID.local,Title,Date.creation,Format.extent,Date.normalized,Coverage.geographic,Alt ID.collection,Description.inscription,Alt ID.url,Description.abstract,Relation.url,Alt ID.mp4,Format.medium,Relation.isPartOf
Huxley (Aldous) Collection,ark:/21198/zz002b0ksb,ark:/21198/zz00253vz2,2,Completed,Work,,304,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002b0ksb%2Fc9803m68,,,sound recording-nonmusical,copyrighted,,"Huxley, Laura Archera",,,eng,,Y,,,,Personal- Recording,uclamss_2009_tape8,"Laura Huxley, Label reads: Rainbow Walk / Flowers (tape 8)",n.d.,38:54 min.,,,,,,,,,,
Huxley (Aldous) Collection,ark:/21198/zz002b0ksb/c9803m68,ark:/21198/zz002b0ksb,,,Page,huxle/audio/21198-zz002b0ksb-1-master.wav,1,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,,,,,,
Huxley (Aldous) Collection,ark:/21198/zz002b0ksb/nj24wj88,ark:/21198/zz002b0ksb,,,Page,huxle/audio/21198-zz002b0ksb-2-master.wav,2,,,,,,,,,,,,,,,,,,,,Page 2,,,,,,,,,,,,
Huxley (Aldous) Collection,ark:/21198/zz002b12xm,ark:/21198/zz00253vz2,2,Completed,Work,,479,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002b12xm%2Fbc57t012,,,sound recording-nonmusical,copyrighted,,"Huxley, Aldous, 1894-1963",,,eng,,Y,,,,Lectures and Speeches- Recording,uclamss_2009_tape189,"Aldous Huxley, narrator, opening remarks only, dramatization of Brave New World, The Theater of the Mind, CBS radio (tape 189)",n.d.,59:02 min,,,,,,,,,,
Huxley (Aldous) Collection,ark:/21198/zz002b12xm/bc57t012,ark:/21198/zz002b12xm,,,Page,huxle/audio/21198-zz002b12xm-1-master.wav,1,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,,,,,,
Huxley (Aldous) Collection,ark:/21198/zz002b12xm/k427gd8s,ark:/21198/zz002b12xm,,,Page,huxle/audio/21198-zz002b12xm-2-master.wav,2,,,,,,,,,,,,,,,,,,,,Page 2,,,,,,,,,,,,
Huxley (Aldous) Collection,ark:/21198/zz002b12xm/tx68n494,ark:/21198/zz002b12xm,,,Page,huxle/audio/21198-zz002b12xm-3-master.wav,3,,,,,,,,,,,,,,,,,,,,Page 3,,,,,,,,,,,,
Huxley (Aldous) Collection,ark:/21198/zz002b1h3g,ark:/21198/zz00253vz2,2,Completed,Work,,521,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002b1h3g%2Fnv403n1t,,,sound recording-nonmusical,copyrighted,,,,,eng,,Y,,,,Retrospectives- Recording|~|Continued from UCLA Tape No. 222B,uclamss_2009_tape222C,"Retrospective, Aldous Huxley. (tape 222C)",n.d.,68:17 min,,,,,,,,,,
Huxley (Aldous) Collection,ark:/21198/zz002b1h3g/nv403n1t,ark:/21198/zz002b1h3g,,,Page,huxle/audio/21198-zz002b1h3g-1-master.wav,1,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,,,,,,
Huxley (Aldous) Collection,ark:/21198/zz002b1h3g/3z381f9n,ark:/21198/zz002b1h3g,,,Page,huxle/audio/21198-zz002b1h3g-2-master.wav,2,,,,,,,,,,,,,,,,,,,,Page 2,,,,,,,,,,,,
Huxley (Aldous) Collection,ark:/21198/zz002b1h3g/r9999c16,ark:/21198/zz002b1h3g,,,Page,huxle/audio/21198-zz002b1h3g-3-master.wav,3,,,,,,,,,,,,,,,,,,,,Page 3,,,,,,,,,,,,
Huxley (Aldous) Collection,ark:/21198/zz002b1h3g/jf41sg61,ark:/21198/zz002b1h3g,,,Page,huxle/audio/21198-zz002b1h3g-4-master.wav,4,,,,,,,,,,,,,,,,,,,,Page 4,,,,,,,,,,,,
Huxley (Aldous) Collection,ark:/21198/zz002b1h3g/rw68kt0r,ark:/21198/zz002b1h3g,,,Page,huxle/audio/21198-zz002b1h3g-5-master.wav,5,,,,,,,,,,,,,,,,,,,,Page 5,,,,,,,,,,,,
Huxley (Aldous) Collection,ark:/21198/zz002b1h3g/q283dx6w,ark:/21198/zz002b1h3g,,,Page,huxle/audio/21198-zz002b1h3g-6-master.wav,6,,,,,,,,,,,,,,,,,,,,Page 6,,,,,,,,,,,,
Huxley (Aldous) Collection,ark:/21198/zz002b1h3g/sb72sm3n,ark:/21198/zz002b1h3g,,,Page,huxle/audio/21198-zz002b1h3g-7-master.wav,7,,,,,,,,,,,,,,,,,,,,Page 7,,,,,,,,,,,,
Huxley (Aldous) Collection,ark:/21198/zz002b1h3g/r711r90j,ark:/21198/zz002b1h3g,,,Page,huxle/audio/21198-zz002b1h3g-8-master.wav,8,,,,,,,,,,,,,,,,,,,,Page 8,,,,,,,,,,,,
Huxley (Aldous) Collection,ark:/21198/zz002b1rq5,ark:/21198/zz00253vz2,2,Completed,Work,,672,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002b1rq5%2Fvd338x4j,,,sound recording-nonmusical,copyrighted,,"Huxley, Laura Archera",,,eng,,Y,,,,Personal- Recording,uclamss_2009_tape297,"[Laura Huxley reading ""You are our Creators, We the Unborn Beseech You..."" Request from the Unborn?] Unlabled Reel to Reel #3 (3 reels included) (tape 297)",n.d.,4:55 min,,,,,,,,,,
Huxley (Aldous) Collection,ark:/21198/zz002b1rq5/vd338x4j,ark:/21198/zz002b1rq5,,,Page,huxle/audio/21198-zz002b1rq5-1-master.wav,1,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,,,,,,
Huxley (Aldous) Collection,ark:/21198/zz002b1rq5/n132xs91,ark:/21198/zz002b1rq5,,,Page,huxle/audio/21198-zz002b1rq5-2-master.wav,2,,,,,,,,,,,,,,,,,,,,Page 2,,,,,,,,,,,,
Huxley (Aldous) Collection,ark:/21198/zz002b1rq5/gs089537,ark:/21198/zz002b1rq5,,,Page,huxle/audio/21198-zz002b1rq5-3-master.wav,3,,,,,,,,,,,,,,,,,,,,Page 3,,,,,,,,,,,,
Huxley (Aldous) Collection,ark:/21198/zz002b1xkh,ark:/21198/zz00253vz2,2,Completed,Work,,634,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002b1xkh%2F2m31pc3p,,,sound recording-nonmusical,copyrighted,,,,,eng,,Y,,,,Personal- Recording,uclamss_2009_tape330|~|uclamss_2009_tape331,"Label reads: 30. John Lily 1x3 ""Cogitate [reel 1, part 1?]; [reel 2, part 2?] (tape 330 and 331)",n.d.,40:43 min,,,,,,,,,,Huxley (Aldous) Collection
Huxley (Aldous) Collection,ark:/21198/zz002b1xkh/2m31pc3p,ark:/21198/zz002b1xkh,,,Page,huxle/audio/21198-zz002b1xkh-1-master.wav,1,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,,,,,,
Huxley (Aldous) Collection,ark:/21198/zz002b1xkh/sm820k29,ark:/21198/zz002b1xkh,,,Page,huxle/audio/21198-zz002b1xkh-2-master.wav,2,,,,,,,,,,,,,,,,,,,,Page 2,,,,,,,,,,,,
