Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Visibility,Type.genre,Type.typeOfResource,Rights.copyrightStatus,Subject,Name.subject,Name.creator,Rights.servicesContact,Language,Name.repository,Name.artist,Rights.permission,Name.photographer,Name.correspondent,Description.note,Alt ID.local,Title,Date.creation,Format.extent,Date.normalized,Coverage.geographic,Alt ID.collection,Description.inscription,Alt ID.url,Description.abstract,Relation.url,Alt ID.mp4,Format.medium,Relation.isPartOf,IIIF Access URL
Huxley (Aldous) Collection,ark:/21198/zz00255nw1,ark:/21198/zz00253vz2,1,In progress,Work,huxle/audio/21198-zz00255nw1-1-master.wav,268,,,private,,sound recording-nonmusical,copyrighted,,,,,,,,Y,,,,,audio 23-1,,,,,,,,,,,,,
Huxley (Aldous) Collection,ark:/21198/zz00255nxj,ark:/21198/zz00253vz2,1,In progress,Work,huxle/audio/21198-zz00255nxj-1-master.wav,269,,,private,,sound recording-nonmusical,copyrighted,,,,,,,,Y,,,,,audio 22,,,,,,,,,,,,,
Huxley (Aldous) Collection,ark:/21198/zz002564r5,ark:/21198/zz00253vz2,1,In progress,Work,huxle/audio/21198-zz002564r5-1-master.wav,270,,,private,,,copyrighted,,,,,,,,Y,,,,,audio 21(A),,,,,,,,,,,,,
Huxley (Aldous) Collection,ark:/21198/zz00256c05,ark:/21198/zz00253vz2,1,In progress,Work,huxle/audio/21198-zz00256c05-1-master.wav,271,,,private,,,copyrighted,,,,,,,,Y,,,,,audio 20-1,,,,,,,,,,,,,
Huxley (Aldous) Collection,ark:/21198/zz00256c1p,ark:/21198/zz00253vz2,1,In progress,Work,huxle/audio/21198-zz00256c1p-1-master.wav,272,,,private,,,copyrighted,,,,,,,,Y,,,,,audio 19,,,,,,,,,,,,,
Huxley (Aldous) Collection,ark:/21198/zz00256c26,ark:/21198/zz00253vz2,1,In progress,Work,huxle/audio/21198-zz00256c26-1-master.wav,273,,,private,,,copyrighted,,,,,,,,Y,,,,,audio 1,,,,,,,,,,,,,
Huxley (Aldous) Collection,ark:/21198/zz0026w9ds,ark:/21198/zz00253vz2,1,In progress,Work,huxle/audio/21198-zz0026w9ds-1-master.wav,274,,,private,,,copyrighted,,,,,,,,Y,,,,,audio 11A,,,,,,,,,,,,,
Huxley (Aldous) Collection,ark:/21198/zz0026w9f9,ark:/21198/zz00253vz2,1,In progress,Work,huxle/audio/21198-zz0026w9f9-1-master.wav,275,,,private,,sound recording-nonmusical,copyrighted,,,,,,,,Y,,,,,audio 10B,,,,,,,,,,,,,
Huxley (Aldous) Collection,ark:/21198/zz0027f6gz,ark:/21198/zz00253vz2,1,In progress,Work,huxle/audio/21198-zz0027f6gz-1-master.wav,276,,,private,,sound recording-nonmusical,copyrighted,,,,,,,,Y,,,,,audio 14B,,,,,,,,,,,,,
Huxley (Aldous) Collection,ark:/21198/zz0027f6hg,ark:/21198/zz00253vz2,1,In progress,Work,huxle/audio/21198-zz0027f6hg-1-master.wav,277,,,private,,sound recording-nonmusical,copyrighted,,,,,,,,Y,,,,,audio 14A,,,,,,,,,,,,,
Huxley (Aldous) Collection,ark:/21198/zz0027f93q,ark:/21198/zz00253vz2,1,In progress,Work,huxle/audio/21198-zz0027f93q-1-master.wav,278,,,private,,sound recording-nonmusical,copyrighted,,,,,,,,Y,,,,,audio 13,,,,,,,,,,,,,
Huxley (Aldous) Collection,ark:/21198/zz0027f947,ark:/21198/zz00253vz2,1,In progress,Work,huxle/audio/21198-zz0027f947-1-master.wav,279,,,private,,sound recording-nonmusical,copyrighted,,,,,,,,Y,,,,,audio 12,,,,,,,,,,,,,
Huxley (Aldous) Collection,ark:/21198/zz0027f9v3,ark:/21198/zz00253vz2,1,In progress,Work,huxle/audio/21198-zz0027f9v3-1-master.wav,280,,,private,,sound recording-nonmusical,copyrighted,,,,,,,,Y,,,,,audio 11B,,,,,,,,,,,,,
Huxley (Aldous) Collection,ark:/21198/zz0027fbjx,ark:/21198/zz00253vz2,1,In progress,Work,huxle/audio/21198-zz0027fbjx-1-master.wav,281,,,private,,sound recording-nonmusical,copyrighted,,,,,,,,Y,,,,,audio 2,,,,,,,,,,,,,
Huxley (Aldous) Collection,ark:/21198/zz0027fbkf,ark:/21198/zz00253vz2,1,In progress,Work,huxle/audio/21198-zz0027fbkf-1-master.wav,282,,,private,,sound recording-nonmusical,copyrighted,,,,,,,,Y,,,,,audio 3,,,,,,,,,,,,,
Huxley (Aldous) Collection,ark:/21198/zz0027fbmz,ark:/21198/zz00253vz2,1,In progress,Work,huxle/audio/21198-zz0027fbmz-1-master.wav,283,,,private,,sound recording-nonmusical,copyrighted,,,,,,,,Y,,,,,audio 4,,,,,,,,,,,,,
Huxley (Aldous) Collection,ark:/21198/zz0027fbng,ark:/21198/zz00253vz2,1,In progress,Work,huxle/audio/21198-zz0027fbng-1-master.wav,284,,,private,,sound recording-nonmusical,copyrighted,,,,,,,,Y,,,,,audio 5,,,,,,,,,,,,,
Huxley (Aldous) Collection,ark:/21198/zz0027fbp0,ark:/21198/zz00253vz2,1,In progress,Work,huxle/audio/21198-zz0027fbp0-1-master.wav,285,,,private,,sound recording-nonmusical,copyrighted,,,,,,,,Y,,,,,audio 6,,,,,,,,,,,,,
Huxley (Aldous) Collection,ark:/21198/zz0027fbqh,ark:/21198/zz00253vz2,7,Needs Review,Work,huxle/audio/21198-zz0027fbqh-1-master.wav,286,,,private,,sound recording-nonmusical,copyrighted,,,,,,,,Y,,,,,audio 7,,,,,,,,,,,,,
Huxley (Aldous) Collection,ark:/21198/zz0027fbr1,ark:/21198/zz00253vz2,1,In progress,Work,huxle/audio/21198-zz0027fbr1-1-master.wav,287,,,private,,sound recording-nonmusical,copyrighted,,,,,,,,Y,,,,,audio 8-1,,,,,,,,,,,,,
Huxley (Aldous) Collection,ark:/21198/zz0027fbsj,ark:/21198/zz00253vz2,1,In progress,Work,huxle/audio/21198-zz0027fbsj-1-master.wav,288,,,private,,sound recording-nonmusical,copyrighted,,,,,,,,Y,,,,,audio 8-2,,,,,,,,,,,,,
