Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Rights.copyrightStatus,Rights.publicationStatus,Language,Type.typeOfResource,Type.genre,Subject.conceptTopic,Subject geographic,Name.creator,Name.repository,Note,Title,Alt ID.local,Date.creation,Date.normalized,Description.fundingNote,Publisher.publisherName,Format.extent,Publisher.placeOfOrigin,Description.note,Coverage.geographic,AltTitle.translated,AltTitle.descriptive,Alt ID.lccn,Alt ID.oclc,Alt ID.url,Bucketeer State,IIIF Access URL,IIIF Manifest URL
East Asian Maps in the Bruman Collection,ark:/21198/zz002hg186,ark:/21198/zz002hdwmj,10,Completed with minimal metadata,Page,Masters/Maps/east_asian_maps/image/G7962S_250_AMS_1944/srgb/G7962S_250_AMS_1944_SHEET10_ED3.tif,891,,,pd,,,cartographic,map,,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",westernmost: E1280000|~|northernmost: N0270000|~|easternmost: E1290000|~|southernmost: N0260000,MINAMI_DAITŌ_SHIMA,G7962S_250_AMS_1944_SHEET10_ED3,,,Access to this collection is generously supported by Sammy Yukuan Lee Foundation.,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hg186,
East Asian Maps in the Bruman Collection,ark:/21198/zz002hg19q,ark:/21198/zz002hdwmj,10,Completed with minimal metadata,Page,Masters/Maps/east_asian_maps/image/G7962S_250_AMS_1944/srgb/G7962S_250_AMS_1944_SHEET11_ED2.tif,892,,,pd,,,cartographic,map,,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",northernmost: N0260000|~|southernmost: N0250000|~|westernmost: E1310000|~|easternmost: E1320000,MINAMI_DAITŌ_SHIMA,G7962S_250_AMS_1944_SHEET11_ED2,,,Access to this collection is generously supported by Sammy Yukuan Lee Foundation.,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hg19q,
East Asian Maps in the Bruman Collection,ark:/21198/zz002hg1b7,ark:/21198/zz002hdwmj,10,Completed with minimal metadata,Page,Masters/Maps/east_asian_maps/image/G7962S_250_AMS_1944/srgb/G7962S_250_AMS_1944_SHEET12_ED2.tif,893,,,pd,,,cartographic,map,,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",northernmost: N0250000|~|westernmost: E1310000|~|easternmost: E1320000|~|southernmost: N0240000,OKINO_DAITO_SHIMA,G7962S_250_AMS_1944_SHEET12_ED2,,,Access to this collection is generously supported by Sammy Yukuan Lee Foundation.,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hg1b7,
East Asian Maps in the Bruman Collection,ark:/21198/zz002hg1cr,ark:/21198/zz002hdwmj,10,Completed with minimal metadata,Page,Masters/Maps/east_asian_maps/image/G7962S_250_AMS_1944/srgb/G7962S_250_AMS_1944_SHEET13_ED2.tif,894,,,pd,,,cartographic,map,,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",westernmost: E1230000|~|easternmost: E1240000|~|northernmost: N0260000|~|southernmost: N0250000,SENKAKU_GUNTO,G7962S_250_AMS_1944_SHEET13_ED2,,,Access to this collection is generously supported by Sammy Yukuan Lee Foundation.,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hg1cr,
East Asian Maps in the Bruman Collection,ark:/21198/zz002hg1d8,ark:/21198/zz002hdwmj,10,Completed with minimal metadata,Page,Masters/Maps/east_asian_maps/image/G7962S_250_AMS_1944/srgb/G7962S_250_AMS_1944_SHEET14_ED2.tif,895,,,pd,,,cartographic,map,,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",easternmost: E1230000|~|northernmost: N0250000|~|southernmost: N0240000|~|westernmost: E1220000,YONAGUNI_SHIMA,G7962S_250_AMS_1944_SHEET14_ED2,,,Access to this collection is generously supported by Sammy Yukuan Lee Foundation.,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hg1d8,
East Asian Maps in the Bruman Collection,ark:/21198/zz002hg1fs,ark:/21198/zz002hdwmj,10,Completed with minimal metadata,Page,Masters/Maps/east_asian_maps/image/G7962S_250_AMS_1944/srgb/G7962S_250_AMS_1944_SHEET15_ED2.tif,896,,,pd,,,cartographic,map,,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",westernmost: E1230000|~|eastermost: E1240000|~|northernmost: N0250000|~|southernmost: N0240000,IRIOMOTE_JIMA,G7962S_250_AMS_1944_SHEET15_ED2,,,Access to this collection is generously supported by Sammy Yukuan Lee Foundation.,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hg1fs,
East Asian Maps in the Bruman Collection,ark:/21198/zz002hg1g9,ark:/21198/zz002hdwmj,10,Completed with minimal metadata,Page,Masters/Maps/east_asian_maps/image/G7962S_250_AMS_1944/srgb/G7962S_250_AMS_1944_SHEET16_ED2.tif,897,,,pd,,,cartographic,map,,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",westernmost: E1240000|~|easternmost: E1250000|~|northernmost: N0250000|~|southernmost: N0240000,ISHIGAKI_SHIMA,G7962S_250_AMS_1944_SHEET16_ED2,,,Access to this collection is generously supported by Sammy Yukuan Lee Foundation.,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hg1g9,
East Asian Maps in the Bruman Collection,ark:/21198/zz002hg1ht,ark:/21198/zz002hdwmj,10,Completed with minimal metadata,Page,Masters/Maps/east_asian_maps/image/G7962S_250_AMS_1944/srgb/G7962S_250_AMS_1944_SHEET17_ED2.tif,898,,,pd,,,cartographic,map,,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",westernmost: E1250000|~|northernmost: N0250000|~|southernmost: N0240000|~|easternmost: E1260000,MIYAKO_JIMA,G7962S_250_AMS_1944_SHEET17_ED2,,,Access to this collection is generously supported by Sammy Yukuan Lee Foundation.,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hg1ht,
East Asian Maps in the Bruman Collection,ark:/21198/zz002hg1jb,ark:/21198/zz002hdwmj,10,Completed with minimal metadata,Page,Masters/Maps/east_asian_maps/image/G7962S_250_AMS_1944/srgb/G7962S_250_AMS_1944_SHEET1_ED2.tif,899,,,pd,,,cartographic,map,,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",westernmost: E1290000|~|northernmost: N0310000|~|easternmost: E1300000|~|southernmost: N0300000,KUSAGAKI_JIMA,G7962S_250_AMS_1944_SHEET1_ED2,,,Access to this collection is generously supported by Sammy Yukuan Lee Foundation.,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hg1jb,
East Asian Maps in the Bruman Collection,ark:/21198/zz002hg1kv,ark:/21198/zz002hdwmj,10,Completed with minimal metadata,Page,Masters/Maps/east_asian_maps/image/G7962S_250_AMS_1944/srgb/G7962S_250_AMS_1944_SHEET2_ED2.tif,900,,,pd,,,cartographic,map,,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",westernmost: E1300000|~|easternmost: E1310000|~|southernmost: N0300000|~|northernmost: N0310000,YAKU_JIMA,G7962S_250_AMS_1944_SHEET2_ED2,,,Access to this collection is generously supported by Sammy Yukuan Lee Foundation.,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hg1kv,
