Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Rights.copyrightStatus,Rights.publicationStatus,Language,Type.typeOfResource,Type.genre,Subject.conceptTopic,Subject geographic,Name.creator,Name.repository,Note,Title,Alt ID.local,Date.creation,Date.normalized,Description.fundingNote,Publisher.publisherName,Format.extent,Publisher.placeOfOrigin,Description.note,Coverage.geographic,AltTitle.translated,AltTitle.descriptive,Alt ID.lccn,Alt ID.oclc,Alt ID.url,Bucketeer State,IIIF Access URL,IIIF Manifest URL
East Asian Maps in the Bruman Collection,ark:/21198/zz002hc8cs,ark:/21198/zz002hc87q,10,Completed with minimal metadata,Page,Masters/Maps/east_asian_maps/image/G7810_S250_U54_F1/srgb/G7810_S250_U54_NE49_1_ED1.tif,2,,,pd_usfed,,,cartographic,map,,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",easternmost:E1093000|~|southernmost:N0190000|~|westernmost:E1080000|~|northernmost:N0200000,Ch'ang-Chiang,G7810_S250_U54_NE49_1_ED1|~|G7810_S250_U54_F1,,,Access to this collection is generously supported by Sammy Yukuan Lee Foundation.,,,,1st ed.,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hc8cs,
East Asian Maps in the Bruman Collection,ark:/21198/zz002hc8d9,ark:/21198/zz002hc87q,10,Completed with minimal metadata,Page,Masters/Maps/east_asian_maps/image/G7810_S250_U54_F1/srgb/G7810_S250_U54_NE49_1_ED2.tif,3,,,pd_usfed,,,cartographic,map,,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",easternmost:E1093000|~|northernmost:N0200000|~|westernmost:E1080000|~|southernmost:N0190000,Ch'ang-Chiang,G7810_S250_U54_NE49_1_ED2|~|G7810_S250_U54_F1,,,Access to this collection is generously supported by Sammy Yukuan Lee Foundation.,,,,2nd ed.,,昌江,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hc8d9,
East Asian Maps in the Bruman Collection,ark:/21198/zz002hc8ft,ark:/21198/zz002hc87q,10,Completed with minimal metadata,Page,Masters/Maps/east_asian_maps/image/G7810_S250_U54_F1/srgb/G7810_S250_U54_NE49_2_ED1.tif,4,,,pd_usfed,,,cartographic,map,,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",westernmost:E1093000|~|easternmost:E1110300|~|northernmost:N0200000|~|southernmost:N0190000,Ch'eng-Mai,G7810_S250_U54_NE49_2_ED1|~|G7810_S250_U54_F1,,,Access to this collection is generously supported by Sammy Yukuan Lee Foundation.,,,,1st ed.,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hc8ft,
East Asian Maps in the Bruman Collection,ark:/21198/zz002hc8gb,ark:/21198/zz002hc87q,10,Completed with minimal metadata,Page,Masters/Maps/east_asian_maps/image/G7810_S250_U54_F1/srgb/G7810_S250_U54_NE49_2_ED2.tif,5,,,pd_usfed,,,cartographic,map,,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",westernmost:E1093000|~|easternmost:E1110030|~|northernmost:N0200000|~|southernmost:N0190000,Ch'eng-Mai,G7810_S250_U54_NE49_2_ED2|~|G7810_S250_U54_F1,,,Access to this collection is generously supported by Sammy Yukuan Lee Foundation.,,,,2nd ed.,,澄邁,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hc8gb,
East Asian Maps in the Bruman Collection,ark:/21198/zz002hc8hv,ark:/21198/zz002hc87q,10,Completed with minimal metadata,Page,Masters/Maps/east_asian_maps/image/G7810_S250_U54_F1/srgb/G7810_S250_U54_NE49_5_ED1.tif,6,,,pd_usfed,,,cartographic,map,,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",southernmost:N0180000|~|easternmost:E1093000|~|northernmost:N0190000|~|westernmost:E1080000,Yai-Hsien,G7810_S250_U54_NE49_5_ED1|~|G7810_S250_U54_F1,,,Access to this collection is generously supported by Sammy Yukuan Lee Foundation.,,,,1st ed.,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hc8hv,
East Asian Maps in the Bruman Collection,ark:/21198/zz002hc8jc,ark:/21198/zz002hc87q,10,Completed with minimal metadata,Page,Masters/Maps/east_asian_maps/image/G7810_S250_U54_F1/srgb/G7810_S250_U54_NE49_5_ED2.tif,7,,,pd_usfed,,,cartographic,map,,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",northernmost:N0190000|~|easternmost:E1093000|~|southernmost:N0180000|~|westernmost:E1080000,Yai-Hsien,G7810_S250_U54_NE49_5_ED2|~|G7810_S250_U54_F1,,,Access to this collection is generously supported by Sammy Yukuan Lee Foundation.,,,,2nd ed.,,崖縣,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hc8jc,
East Asian Maps in the Bruman Collection,ark:/21198/zz002hc8kw,ark:/21198/zz002hc87q,10,Completed with minimal metadata,Page,Masters/Maps/east_asian_maps/image/G7810_S250_U54_F1/srgb/G7810_S250_U54_NE49_6_ED1.tif,8,,,pd_usfed,,,cartographic,map,,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",westernmost:E1093000|~|easternmost:E1110000|~|northernmost:N0190000|~|southernmost:N0180000,Wan-Ning,G7810_S250_U54_NE49_6_ED1|~|G7810_S250_U54_F1,,,Access to this collection is generously supported by Sammy Yukuan Lee Foundation.,,,,1st ed.,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hc8kw,
East Asian Maps in the Bruman Collection,ark:/21198/zz002hc8md,ark:/21198/zz002hc87q,10,Completed with minimal metadata,Page,Masters/Maps/east_asian_maps/image/G7810_S250_U54_F1/srgb/G7810_S250_U54_NE49_6_ED2.tif,9,,,pd_usfed,,,cartographic,map,,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",northernmost:N0190000|~|southernmost:N0180000|~|westernmost:E1093000|~|easternmost:E1110000,Wan-Ning,G7810_S250_U54_NE49_6_ED2|~|G7810_S250_U54_F1,,,Access to this collection is generously supported by Sammy Yukuan Lee Foundation.,,,,2nd ed.,,萬寧,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hc8md,
East Asian Maps in the Bruman Collection,ark:/21198/zz002hc8nx,ark:/21198/zz002hc87q,10,Completed with minimal metadata,Page,Masters/Maps/east_asian_maps/image/G7810_S250_U54_F1/srgb/G7810_S250_U54_NF47_12_ED2.tif,10,,,pd_usfed,,,cartographic,map,,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",westernmost:E1003000|~|easternmost:E1020000|~|northernmost:N0220000|~|southernmost:N0210000,Muong Sing,G7810_S250_U54_NF47_12_ED2|~|G7810_S250_U54_F1,,,Access to this collection is generously supported by Sammy Yukuan Lee Foundation.,,,,2nd ed.,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hc8nx,
East Asian Maps in the Bruman Collection,ark:/21198/zz002hc8pf/8z04n336,ark:/21198/zz002hc87q,10,Completed with minimal metadata,Page,Masters/Maps/east_asian_maps/image/G7810_S250_U54_F1/srgb/G7810_S250_U54_NF47_3_ED1_A.tif,11,,,pd_usfed,,,cartographic,map,,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",westernmost:E0990000|~|northernmost:N0240000|~|easternmost:E1003000|~|southernmost:N0230000,Mien-Ning Page 1,G7810_S250_U54_NF47_3_ED1_A|~|G7810_S250_U54_F1,,,Access to this collection is generously supported by Sammy Yukuan Lee Foundation.,,,,1st ed.,,緬寗,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hc8pf%2F8z04n336,
