Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Rights.copyrightStatus,Rights.publicationStatus,Language,Type.typeOfResource,Type.genre,Subject.conceptTopic,Subject geographic,Name.creator,Name.repository,Note,Title,Alt ID.local,Date.creation,Date.normalized,Description.fundingNote,Publisher.publisherName,Format.extent,Publisher.placeOfOrigin,Description.note,Coverage.geographic,AltTitle.translated,AltTitle.descriptive,Alt ID.lccn,Alt ID.oclc,Alt ID.url,Bucketeer State,IIIF Access URL,IIIF Manifest URL
East Asian Maps in the Bruman Collection,ark:/21198/zz002hdx17,ark:/21198/zz002hc887,10,Completed with minimal metadata,Page,Masters/Maps/east_asian_maps/image/G7830S_250_AMS_1945-46/srgb/G7830S_250_AMS_1945_K_50_R_ED1.tif,509,,,pd,,,cartographic,map,,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",westernmost: E1190000|~|easternmost: E1200000|~|northernmost: N0420000|~|southernmost: N0410000,Yeh-Pai-Shou,G7830S_250_AMS_1945_K_50_R_ED1|~|G7830S_250_AMS_1945-46,,,Access to this collection is generously supported by Sammy Yukuan Lee Foundation.,,,,1st ed.,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hdx17,
East Asian Maps in the Bruman Collection,ark:/21198/zz002hdx2r,ark:/21198/zz002hc887,10,Completed with minimal metadata,Page,Masters/Maps/east_asian_maps/image/G7830S_250_AMS_1945-46/srgb/G7830S_250_AMS_1945_K_50_U_ED1.tif,510,,,pd,,,cartographic,map,,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",westernmost: E1160000|~|easternmost: E1170000|~|nothernmost: N0410000|~|southernmost: N040000,Huai-Jou,G7830S_250_AMS_1945_K_50_U_ED1|~|G7830S_250_AMS_1945-46,,,Access to this collection is generously supported by Sammy Yukuan Lee Foundation.,,,,1st ed.,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hdx2r,
East Asian Maps in the Bruman Collection,ark:/21198/zz002hdx38,ark:/21198/zz002hc887,10,Completed with minimal metadata,Page,Masters/Maps/east_asian_maps/image/G7830S_250_AMS_1945-46/srgb/G7830S_250_AMS_1945_K_50_V_ED1.tif,511,,,pd,,,cartographic,map,,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",westernmost: E1170000|~|northernmost: N0410000|~|southernmost: N0400000|~|easternmost: E1180000,Ch'eng-Te,G7830S_250_AMS_1945_K_50_V_ED1|~|G7830S_250_AMS_1945-46,,,Access to this collection is generously supported by Sammy Yukuan Lee Foundation.,,,,1st ed.,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hdx38,
East Asian Maps in the Bruman Collection,ark:/21198/zz002hdx4s,ark:/21198/zz002hc887,10,Completed with minimal metadata,Page,Masters/Maps/east_asian_maps/image/G7830S_250_AMS_1945-46/srgb/G7830S_250_AMS_1945_K_50_W_ED1.tif,512,,,pd,,,cartographic,map,,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",easternmost: E1190000|~|northernmost: N0410000|~|southernmost: N0400000|~|westernmost: E1180000,Tu-Shan,G7830S_250_AMS_1945_K_50_W_ED1|~|G7830S_250_AMS_1945-46,,,Access to this collection is generously supported by Sammy Yukuan Lee Foundation.,,,,1st ed.,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hdx4s,
East Asian Maps in the Bruman Collection,ark:/21198/zz002hdx59,ark:/21198/zz002hc887,10,Completed with minimal metadata,Page,Masters/Maps/east_asian_maps/image/G7830S_250_AMS_1945-46/srgb/G7830S_250_AMS_1945_K_50_X_ED1.tif,513,,,pd,,,cartographic,map,,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",easternmost: E1200000|~|northernmost: N0410000|~|southernmost: N0400000|~|westernmost: E1190000,Lin-Yu,G7830S_250_AMS_1945_K_50_X_ED1|~|G7830S_250_AMS_1945-46,,,Access to this collection is generously supported by Sammy Yukuan Lee Foundation.,,,,1st ed.,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hdx59,
East Asian Maps in the Bruman Collection,ark:/21198/zz002hdx6t,ark:/21198/zz002hc887,10,Completed with minimal metadata,Page,Masters/Maps/east_asian_maps/image/G7830S_250_AMS_1945-46/srgb/G7830S_250_AMS_1945_K_51_A_ED1.tif,514,,,,,,cartographic,map,,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",northernmost: N0440000|~|southernmost: N0430000|~|easternmost: E1210000|~|westernmost: E1200000,Sui-Tung,G7830S_250_AMS_1945_K_51_A_ED1|~|G7830S_250_AMS_1945-46,,,Access to this collection is generously supported by Sammy Yukuan Lee Foundation.,,,,1st ed.,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hdx6t,
East Asian Maps in the Bruman Collection,ark:/21198/zz002hdx7b,ark:/21198/zz002hc887,10,Completed with minimal metadata,Page,Masters/Maps/east_asian_maps/image/G7830S_250_AMS_1945-46/srgb/G7830S_250_AMS_1945_K_51_B_ED1.tif,515,,,pd,,,cartographic,map,,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",westernmost: E1210000|~|northernmost: N0440000|~|southernmost: N0430000|~|easternmost: E1220000,K'ai-Lu,G7830S_250_AMS_1945_K_51_B_ED1|~|G7830S_250_AMS_1945-46,,,Access to this collection is generously supported by Sammy Yukuan Lee Foundation.,,,,1st ed.,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hdx7b,
East Asian Maps in the Bruman Collection,ark:/21198/zz002hdx8v,ark:/21198/zz002hc887,10,Completed with minimal metadata,Page,Masters/Maps/east_asian_maps/image/G7830S_250_AMS_1945-46/srgb/G7830S_250_AMS_1945_K_51_C_ED1.tif,516,,,pd,,,cartographic,map,,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",southernmost: N0430000|~|westernmost: E1220000|~|easternmost: E1230000|~|northernmost: N0440000,T'ung-Liao,G7830S_250_AMS_1945_K_51_C_ED1|~|G7830S_250_AMS_1945-46,,,Access to this collection is generously supported by Sammy Yukuan Lee Foundation.,,,,1st ed.,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hdx8v,
East Asian Maps in the Bruman Collection,ark:/21198/zz002hdx9c,ark:/21198/zz002hc887,10,Completed with minimal metadata,Page,Masters/Maps/east_asian_maps/image/G7830S_250_AMS_1945-46/srgb/G7830S_250_AMS_1945_K_51_D_ED1.tif,517,,,pd,,,cartographic,map,,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",easternmost: E1240000|~|northernmost: N0440000|~|southernmost: N0430000|~|westernmost: E1230000,Liao-Yuan,G7830S_250_AMS_1945_K_51_D_ED1|~|G7830S_250_AMS_1945-46,,,Access to this collection is generously supported by Sammy Yukuan Lee Foundation.,,,,1st ed.,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hdx9c,
East Asian Maps in the Bruman Collection,ark:/21198/zz002hdxbw,ark:/21198/zz002hc887,10,Completed with minimal metadata,Page,Masters/Maps/east_asian_maps/image/G7830S_250_AMS_1945-46/srgb/G7830S_250_AMS_1945_K_51_E_ED1.tif,518,,,pd,,,cartographic,map,,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",easternmost: E1250000|~|northernmost: N0440000|~|westernmost: E1240000|~|southernmost: N0430000,Ssu-P'ing-Chieh,G7830S_250_AMS_1945_K_51_E_ED1|~|G7830S_250_AMS_1945-46,,,Access to this collection is generously supported by Sammy Yukuan Lee Foundation.,,,,1st ed.,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hdxbw,
