Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Rights.copyrightStatus,Rights.publicationStatus,Language,Type.typeOfResource,Type.genre,Subject.conceptTopic,Subject geographic,Name.creator,Name.repository,Note,Title,Alt ID.local,Date.creation,Date.normalized,Description.fundingNote,Publisher.publisherName,Format.extent,Publisher.placeOfOrigin,Description.note,Coverage.geographic,AltTitle.translated,AltTitle.descriptive,Alt ID.lccn,Alt ID.oclc,Alt ID.url,Bucketeer State,IIIF Access URL,IIIF Manifest URL
East Asian Maps in the Bruman Collection,ark:/21198/zz002hgj2b/09550988,ark:/21198/zz002hgj2b,,,Page,Masters/Maps/east_asian_maps/image/Monograph_Maps/srgb/G7830_1M_JILS_1939_ED1_SHEET3.tif,3,,,,,,,,,,,,,Page 3,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hgj2b%2F09550988,
East Asian Maps in the Bruman Collection,ark:/21198/zz002hgj2b/3q06x55r,ark:/21198/zz002hgj2b,,,Page,Masters/Maps/east_asian_maps/image/Monograph_Maps/srgb/G7830_1M_JILS_1939_ED1_SHEET1.tif,1,,,,,,,,,,,,,Page 1,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hgj2b%2F3q06x55r,
East Asian Maps in the Bruman Collection,ark:/21198/zz002hgj2b/nh30n439,ark:/21198/zz002hgj2b,,,Page,Masters/Maps/east_asian_maps/image/Monograph_Maps/srgb/G7830_1M_JILS_1939_ED1_SHEET4.tif,4,,,,,,,,,,,,,Page 4,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hgj2b%2Fnh30n439,
East Asian Maps in the Bruman Collection,ark:/21198/zz002hgj2b/vx427b6v,ark:/21198/zz002hgj2b,,,Page,Masters/Maps/east_asian_maps/image/Monograph_Maps/srgb/G7830_1M_JILS_1939_ED1_SHEET2.tif,2,,,,,,,,,,,,,Page 2,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hgj2b%2Fvx427b6v,
