"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Thumbnail","Type.typeOfResource","Rights.copyrightStatus","Rights.permission","Rights.publicationStatus","Coverage.geographic","Name.photographer","Author","Name.creator","Name.subject","Name.contributor","Rights.servicesContact","Language","Type.genre","Subject","Rights.notice","Name.repository","viewingHint","Text direction","Visibility","IIIF Range","Title","Date.creation","Date.normalized","Description.caption","Description.note","Description.abstract","Date.publication","Bucketeer State","IIIF Access URL"
"Faderman (Lillian) Collection","ark:/21198/zz0017p5rc","ark:/21198/zz0017m7kv","2","Completed","Page","faderman/images/masters/21198-zz0017p5rc_717674_master.tif","1","","","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017p5rc"
"Faderman (Lillian) Collection","ark:/21198/zz0017p66k","ark:/21198/zz0017p5vx","2","Completed","Page","faderman/images/masters/21198-zz0017p66k_717680_master.tif","1","","","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017p66k"
"Faderman (Lillian) Collection","ark:/21198/zz0017p673","ark:/21198/zz0017p5wf","2","Completed","Page","faderman/images/masters/21198-zz0017p673_717692_master.tif","1","","","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017p673"
"Faderman (Lillian) Collection","ark:/21198/zz0017p68m","ark:/21198/zz0017p5wf","2","Completed","Page","faderman/images/masters/21198-zz0017p68m_717695_master.tif","2","","","","","","","","","","","","","","","","","","","","","","","","Page 2","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017p68m"
"Faderman (Lillian) Collection","ark:/21198/zz0017p694","ark:/21198/zz0017p5xz","2","Completed","Page","faderman/images/masters/21198-zz0017p694_717701_master.tif","1","","","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017p694"
"Faderman (Lillian) Collection","ark:/21198/zz0017p6bn","ark:/21198/zz0017p5zg","2","Completed","Page","faderman/images/masters/21198-zz0017p6bn_717710_master.tif","1","","","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017p6bn"
"Faderman (Lillian) Collection","ark:/21198/zz0017p6c5","ark:/21198/zz0017p5zg","2","Completed","Page","faderman/images/masters/21198-zz0017p6c5_717716_master.tif","2","","","","","","","","","","","","","","","","","","","","","","","","Page 2","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017p6c5"
"Faderman (Lillian) Collection","ark:/21198/zz0017p6dp","ark:/21198/zz0017p5zg","2","Completed","Page","faderman/images/masters/21198-zz0017p6dp_717719_master.tif","3","","","","","","","","","","","","","","","","","","","","","","","","Page 3","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017p6dp"
"Faderman (Lillian) Collection","ark:/21198/zz0017p6f6","ark:/21198/zz0017p5zg","2","Completed","Page","faderman/images/masters/21198-zz0017p6f6_717724_master.tif","4","","","","","","","","","","","","","","","","","","","","","","","","Page 4","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017p6f6"
"Faderman (Lillian) Collection","ark:/21198/zz0017p6gq","ark:/21198/zz0017p60g","2","Completed","Page","faderman/images/masters/21198-zz0017p6gq_717728_master.tif","1","","","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017p6gq"
