"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Thumbnail","Type.typeOfResource","Rights.copyrightStatus","Rights.permission","Rights.publicationStatus","Coverage.geographic","Name.photographer","Author","Name.creator","Name.subject","Name.contributor","Rights.servicesContact","Language","Type.genre","Subject","Rights.notice","Name.repository","viewingHint","Text direction","Visibility","IIIF Range","Title","Date.creation","Date.normalized","Description.caption","Description.note","Description.abstract","Date.publication","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Faderman (Lillian) Collection","ark:/21198/zz0017rg28","ark:/21198/zz0017rdv6","2","Completed","Page","faderman/images/masters/21198-zz0017rg28_723291_master.tif","1","","","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017rg28",""
"Faderman (Lillian) Collection","ark:/21198/zz0017rg3s","ark:/21198/zz0017rdv6","2","Completed","Page","faderman/images/masters/21198-zz0017rg3s_723295_master.tif","2","","","","","","","","","","","","","","","","","","","","","","","","Page 2","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017rg3s",""
"Faderman (Lillian) Collection","ark:/21198/zz0017rg49","ark:/21198/zz0017rdv6","2","Completed","Page","faderman/images/masters/21198-zz0017rg49_723300_master.tif","3","","","","","","","","","","","","","","","","","","","","","","","","Page 3","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017rg49",""
"Faderman (Lillian) Collection","ark:/21198/zz0017rg5t","ark:/21198/zz0017rdv6","2","Completed","Page","faderman/images/masters/21198-zz0017rg5t_723301_master.tif","4","","","","","","","","","","","","","","","","","","","","","","","","Page 4","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017rg5t",""
"Faderman (Lillian) Collection","ark:/21198/zz0017rg6b","ark:/21198/zz0017rdv6","2","Completed","Page","faderman/images/masters/21198-zz0017rg6b_723304_master.tif","5","","","","","","","","","","","","","","","","","","","","","","","","Page 5","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017rg6b",""
"Faderman (Lillian) Collection","ark:/21198/zz0017rg7v","ark:/21198/zz0017rdv6","2","Completed","Page","faderman/images/masters/21198-zz0017rg7v_723307_master.tif","6","","","","","","","","","","","","","","","","","","","","","","","","Page 6","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017rg7v",""
