"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Subject.descriptiveTopic","Type.typeOfResource","Rights.copyrightStatus","Subject.conceptTopic","Personal or Corporate Name.sponsor","Subject.corporateName","Subject.Jones, Marcia : local","Subject topic","Personal or Corporate Publisher.publisherName","Personal or Corporate Name.photographer","Personal or Corporate Name.designer","Name.creator","Personal or Corporate Name.printer","Personal or Corporate Name.conceptor","Personal or Corporate Name.artist","Personal or Corporate Author","Personal or Corporate Name.musician","Personal or Corporate Name.funder","Personal or Corporate Name.other","Personal or Corporate Rights.rightsHolderName","Personal or Corporate Name.writer","Personal or Corporate Name.repository","Personal or Corporate Editor","Language","Coverage.geographic","Personal or Corporate Name.actress","Personal or Corporate Name.artDirector","Type.genre","Personal or Corporate Name.publishingDirector","Rights.permission","Personal or Corporate Name.subject","Rights.servicesContact","Alternate Identifier.local","Title","Alternate Title.other","Description.note","Publisher.placeOfOrigin","Date.creation","Format.dimensions","Alternate Title.translated","Description.inscription","Alternate Title.inscribed","Alternate Title.descriptive","Date.normalized","Relation.hasVersion","Relation.derivedFrom","Description.abstract","Opac url","Bucketeer State","IIIF Access URL"
"AIDS Posters Collection","ark:/21198/z12r59d3","ark:/21198/zz0002wmdq","2","Completed","Page","aidsposters/masters/21198-zz0002wmdq-1-master.tif","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz12r59d3"
"AIDS Posters Collection","ark:/21198/z1dr4d4g","ark:/21198/zz0002wmdq","2","Completed","Page","aidsposters/masters/21198-zz0002wmdq_1555392_master.tif","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1dr4d4g"
"AIDS Posters Collection","ark:/21198/z1903nfh","ark:/21198/zz0002wpxf","2","Completed","Page","aidsposters/masters/21198-zz0002wpxf-1-master.tif","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1903nfh"
"AIDS Posters Collection","ark:/21198/z1572wr7","ark:/21198/zz0002wpxf","2","Completed","Page","aidsposters/masters/21198-zz0002wpxf_1555406_master.tif","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1572wr7"
"AIDS Posters Collection","ark:/21198/z11k0vh4","ark:/21198/zz0002wtgn","2","Completed","Page","aidsposters/masters/21198-zz0002wtgn-1-master.tif","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11k0vh4"
"AIDS Posters Collection","ark:/21198/z1wt0c0s","ark:/21198/zz0002wtgn","2","Completed","Page","aidsposters/masters/21198-zz0002wtgn_1555383_master.tif","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1wt0c0s"
"AIDS Posters Collection","ark:/21198/z1s19m6x","ark:/21198/zz0002wth5","2","Completed","Page","aidsposters/masters/21198-zz0002wth5-1-master.tif","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1s19m6x"
"AIDS Posters Collection","ark:/21198/z1n88vfr","ark:/21198/zz0002wth5","2","Completed","Page","aidsposters/masters/21198-zz0002wth5_1555377_master.tif","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1n88vfr"
"AIDS Posters Collection","ark:/21198/z1hh83qd","ark:/21198/zz0002wtjp","2","Completed","Page","aidsposters/masters/21198-zz0002wtjp-1-master.tif","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1hh83qd"
"AIDS Posters Collection","ark:/21198/z1cr7c20","ark:/21198/zz0002wtjp","2","Completed","Page","aidsposters/masters/21198-zz0002wtjp_1555380_master.tif","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1cr7c20"
"AIDS Posters Collection","ark:/21198/z1806mc1","ark:/21198/zz0002wtpr","2","Completed","Page","aidsposters/masters/21198-zz0002wtpr-1-master.tif","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1806mc1"
"AIDS Posters Collection","ark:/21198/z14b4k1k","ark:/21198/zz0002wtpr","2","Completed","Page","aidsposters/masters/21198-zz0002wtpr_1555389_master.tif","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14b4k1k"
"AIDS Posters Collection","ark:/21198/z10k3t9v","ark:/21198/zz0002wtrs","2","Completed","Page","aidsposters/masters/21198-zz0002wtrs-1-master.tif","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10k3t9v"
"AIDS Posters Collection","ark:/21198/z1vt39rn","ark:/21198/zz0002wtrs","2","Completed","Page","aidsposters/masters/21198-zz0002wtrs_1555386_master.tif","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1vt39rn"
"AIDS Posters Collection","ark:/21198/z1r22k1n","ark:/21198/zz0002x029","2","Completed","Page","aidsposters/masters/21198-zz0002x029-1-master.tif","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1r22k1n"
"AIDS Posters Collection","ark:/21198/z1m91t9x","ark:/21198/zz0002x029","2","Completed","Page","aidsposters/masters/21198-zz0002x029_1555400_master.tif","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1m91t9x"
"AIDS Posters Collection","ark:/21198/z1gj12px","ark:/21198/zz001zzf25","2","Completed","Page","aidsposters/masters/21198-zz001zzf25_1687393_master.tif","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1gj12px"
"AIDS Posters Collection","ark:/21198/z1bs09xr","ark:/21198/zz001zzf25","2","Completed","Page","aidsposters/masters/21198-zz001zzf25_1687396_master.tif","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1bs09xr"
"AIDS Posters Collection","ark:/21198/z17388mh","ark:/21198/zz001zzfdb","2","Completed","Page","aidsposters/masters/21198-zz001zzfdb_1687429_master.tif","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz17388mh"
"AIDS Posters Collection","ark:/21198/z13b7hvb","ark:/21198/zz001zzfdb","2","Completed","Page","aidsposters/masters/21198-zz001zzfdb_1687426_master.tif","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz13b7hvb"
