"Object Type","Item ARK","Parent ARK","Title","Item Status ID","Item Status","File Name","Item Sequence","Duplicate","Delete in Title","Type.typeOfResource","viewingHint","Text direction","Visibility","IIIF Range","Rights.copyrightStatus","Rights.servicesContact","Language","Rights.publicationStatus","Name.repository","Subject.conceptTopic","Name.contributor","Type.genre","Date.creation","Date.normalized","AltTitle.uniform","OPAC URL","Format.extent","Relation.isPartOf","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Page","ark:/21198/zz0028vdzw","ark:/21198/zz0028vdxc","page 1","2","Completed","accio/image/21198-zz0028vdzw_1949016_master.tif","1","","","","","","","","pd","","","published","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028vdzw",""
"Page","ark:/21198/zz0028vf0w","ark:/21198/zz0028vdxc","page 2","2","Completed","accio/image/21198-zz0028vf0w_1949022_master.tif","2","","","","","","","","pd","","","published","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028vf0w",""
"Page","ark:/21198/zz0028vf1d","ark:/21198/zz0028vdxc","page 3","2","Completed","accio/image/21198-zz0028vf1d_1949027_master.tif","3","","","","","","","","pd","","","published","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028vf1d",""
"Page","ark:/21198/zz0028vf2x","ark:/21198/zz0028vdxc","page 4","2","Completed","accio/image/21198-zz0028vf2x_1949032_master.tif","4","","","","","","","","pd","","","published","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028vf2x",""
