"Object Type","Item ARK","Parent ARK","Title","Item Status ID","Item Status","File Name","Item Sequence","Duplicate","Delete in Title","Type.typeOfResource","viewingHint","Text direction","Visibility","IIIF Range","Rights.copyrightStatus","Rights.servicesContact","Language","Rights.publicationStatus","Name.repository","Subject.conceptTopic","Name.contributor","Type.genre","Date.creation","Date.normalized","AltTitle.uniform","OPAC URL","Format.extent","Relation.isPartOf","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Page","ark:/21198/zz0028tkdk","ark:/21198/zz0028tkc2","page 1","2","Completed","accio/image/21198-zz0028tkdk_1948555_master.tif","1","","","","","","","","pd","","","published","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028tkdk",""
"Page","ark:/21198/zz0028tkf3","ark:/21198/zz0028tkc2","page 2","2","Completed","accio/image/21198-zz0028tkf3_1948559_master.tif","2","","","","","","","","pd","","","published","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028tkf3",""
"Page","ark:/21198/zz0028tkgm","ark:/21198/zz0028tkc2","page 3","2","Completed","accio/image/21198-zz0028tkgm_1948564_master.tif","3","","","","","","","","pd","","","published","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028tkgm",""
"Page","ark:/21198/zz0028tkh4","ark:/21198/zz0028tkc2","page 4","2","Completed","accio/image/21198-zz0028tkh4_1948568_master.tif","4","","","","","","","","pd","","","published","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028tkh4",""
"Page","ark:/21198/zz0028v5wg","ark:/21198/zz0028v5vz","page 1","2","Completed","accio/image/21198-zz0028v5wg_1948573_master.tif","1","","","","","","","","pd","","","published","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028v5wg",""
"Page","ark:/21198/zz0028v5x0","ark:/21198/zz0028v5vz","page 2","2","Completed","accio/image/21198-zz0028v5x0_1948577_master.tif","2","","","","","","","","pd","","","published","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028v5x0",""
"Page","ark:/21198/zz0028v5zh","ark:/21198/zz0028v5vz","page 3","2","Completed","accio/image/21198-zz0028v5zh_1948582_master.tif","3","","","","","","","","pd","","","published","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028v5zh",""
"Page","ark:/21198/zz0028v60h","ark:/21198/zz0028v5vz","page 4","2","Completed","accio/image/21198-zz0028v60h_1948586_master.tif","4","","","","","","","","pd","","","published","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028v60h",""
"Page","ark:/21198/zz0028v62j","ark:/21198/zz0028v611","page 1","2","Completed","accio/image/21198-zz0028v62j_1948592_master.tif","1","","","","","","","","pd","","","published","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028v62j",""
"Page","ark:/21198/zz0028v632","ark:/21198/zz0028v611","page 2","2","Completed","accio/image/21198-zz0028v632_1948595_master.tif","2","","","","","","","","pd","","","published","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028v632",""
"Page","ark:/21198/zz0028v64k","ark:/21198/zz0028v611","page 3","2","Completed","accio/image/21198-zz0028v64k_1948601_master.tif","3","","","","","","","","pd","","","published","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028v64k",""
"Page","ark:/21198/zz0028v653","ark:/21198/zz0028v611","page 4","2","Completed","accio/image/21198-zz0028v653_1948604_master.tif","4","","","","","","","","pd","","","published","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028v653",""
"Page","ark:/21198/zz0028v674","ark:/21198/zz0028v66m","page 1","2","Completed","accio/image/21198-zz0028v674_1948610_master.tif","1","","","","","","","","pd","","","published","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028v674",""
