Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Thumbnail,Rights.copyrightStatus,Rights.permission,Language,Type.typeOfResource,Type.genre,Name.repository,Publisher.publisherName,Name.interviewer,Name.interviewee,Source,Description.note,Format.extent,Date.normalized,Date.publication,AltTitle.other,Title,Description.abstract,AltTitle.descriptive,Date.interview,Format.dimensions,Alt ID.local,Date.creation,Format.medium,Alt ID.mp4
Perlich (Martin) Interview Collection,ark:/21198/zz0025qdwt,ark:/21198/zz0025k1n3,2,Completed,Work,,26,,,,copyrighted,Y,,moving image,interviews,"University of California, Los Angeles. Library. Performing Arts Special Collections",,"Perlich, Martin","LeBaron, Anne","Martin Perlich Collection, Conversations in New Music",,56:02 min.,2010-10-10,,Conversations in New Music,Anne LeBaron,"Interview with Anne LeBaron, Los Angeles-based composer, harpist, and Professor of Composition at the Herb Alpert School of Music at CalArts, recorded October 12, 2010 at North Huntley Studios, West Hollywood, California.",,,,,"October 10, 2010",,
Perlich (Martin) Interview Collection,ark:/21198/zz0025qdxb,ark:/21198/zz0025k1n3,2,Completed,Work,,25,,,,copyrighted,Y,,moving image,interviews,"University of California, Los Angeles. Library. Performing Arts Special Collections",,"Perlich, Martin","Lauridsen, Morten, 1943-","Martin Perlich Collection, Conversations in New Music",,47:16 min.,2010-10-13,,Conversations in New Music,Morten Lauridsen,"Morten Lauridsen, Los Angeles choral composer and distinguished professor of composition at the University of Southern California, was interviewed at his home in Beachwood Canyon, Los Angeles, on October 13, 2010. He presented his new CD “Sure on This Shining Night” performed by Voce.",,,,,"October 13, 2010",,
Perlich (Martin) Interview Collection,ark:/21198/zz0026vth4,ark:/21198/zz0025k1n3,2,Completed,Work,,11,,,,copyrighted,Y,,moving image,interviews,"University of California, Los Angeles. Library. Performing Arts Special Collections",,"Perlich, Martin","Cheng, Gloria","Martin Perlich Collection, Conversations in New Music",,54:59 min.,2010-11-29,,Conversations in New Music,Gloria Cheng,"Martin Perlich interviewed new music pianist Gloria Cheng on November 29, 2010, at her home in Los Angeles.",,,,,"November 29, 2010",,
Perlich (Martin) Interview Collection,ark:/21198/zz0026vtjn,ark:/21198/zz0025k1n3,2,Completed,Work,,31,,,,copyrighted,Y,,moving image,interviews,"University of California, Los Angeles. Library. Performing Arts Special Collections",,"Perlich, Martin","Newmark, Mary Lou","Martin Perlich Collection, Conversations in New Music",,48:09 min.,2010-11-22,,Conversations in New Music,Mary Lou Newmark,"Interview with composer and electric violinist Mary Lou Newmark, recorded on November 22, 2010 at North Huntley Studios, West Hollywood, California.",,,,,"November 22, 2010",,
Perlich (Martin) Interview Collection,ark:/21198/zz0026vtk5,ark:/21198/zz0025k1n3,2,Completed,Work,,34,,,,copyrighted,Y,,moving image,interviews,"University of California, Los Angeles. Library. Performing Arts Special Collections",,"Perlich, Martin","Ray, Vicki","Martin Perlich Collection, Conversations in New Music",,52:16 min.,2010-11-16,,Conversations in New Music,Vicki Ray,"New music pianist Vicki Ray interviewed on November 16, 2010, at North Huntley Studio in West Hollywood, California.",,,,,"November 16, 2010",,
Perlich (Martin) Interview Collection,ark:/21198/zz0026vtmp,ark:/21198/zz0025k1n3,2,Completed,Work,,24,,,,copyrighted,Y,,moving image,interviews,"University of California, Los Angeles. Library. Performing Arts Special Collections",,"Perlich, Martin","Kraft, William","Martin Perlich Collection, Conversations in New Music",,52:11 min.,2009-07-02,,Conversations in New Music,William Kraft,"Interview with Los Angeles-based composer, conductor, teacher, and percussion virtuoso William Kraft, recorded on July 2, 2009 in Altadena, California.Includes a detailed description of the 15 Encounters with various instruments, before proceeding to other broader topics.",,,,,"July 2, 2009",,
Perlich (Martin) Interview Collection,ark:/21198/zz0026vx4w,ark:/21198/zz0025k1n3,2,Completed,Work,,14,,,,copyrighted,Y,,moving image,interviews,"University of California, Los Angeles. Library. Performing Arts Special Collections",,"Perlich, Martin","Du Bois, Alexandra, 1981-",Martin Perlich Collection,,25:35 min.,?,,Conversations in New Music,Alexandra Du Bois,"Interview with composer Alexandra Du Bois of Southwest Chamber Music, recorded at the Pacific Asia Museum in Pasadena, California.",,,,,?,,
Perlich (Martin) Interview Collection,ark:/21198/zz0026vx5d,ark:/21198/zz0025k1n3,2,Completed,Work,,38,,,,copyrighted,Y,,moving image,interviews,"University of California, Los Angeles. Library. Performing Arts Special Collections",,"Perlich, Martin","Schrader, Barry",Martin Perlich Collection,,49:03 min.,2010-01-15,,Conversations in New Music,Barry Schrader,"Interview with composer and CalArts professor Barry Schrader, recorded on January 15, 2010 at North Huntley Studios in West Hollywood, California.",,,,,"January 15, 2010",,
Perlich (Martin) Interview Collection,ark:/21198/zz0026vx6x,ark:/21198/zz0025k1n3,2,Completed,Work,,30,,,,copyrighted,Y,,moving image,interviews,"University of California, Los Angeles. Library. Performing Arts Special Collections",,"Perlich, Martin","Marsalis, Branford",Martin Perlich Collection,,34:01 min.,?,,Conversations in New Music,Branford Marsalis,"Interview with saxophonist Branford Marsalis, discussing jazz and classical performance.",,,,,?,,
Perlich (Martin) Interview Collection,ark:/21198/zz0026vx7f,ark:/21198/zz0025k1n3,2,Completed,Work,,28,,,,copyrighted,Y,,moving image,interviews,"University of California, Los Angeles. Library. Performing Arts Special Collections",,"Perlich, Martin","Lentz, Daniel, 1942-",Martin Perlich Collection,,52:00 min.,2010-02-04,,Conversations in New Music,Daniel Lentz,"Interview with Daniel Lentz, composer and visual artist, recorded on February 4, 2010 at North Huntley Studios in West Hollywood, California.",,,,,"February 4, 2010",,
Perlich (Martin) Interview Collection,ark:/21198/zz0026vx8z,ark:/21198/zz0025k1n3,2,Completed,Work,,21,,,,copyrighted,Y,,moving image,interviews,"University of California, Los Angeles. Library. Performing Arts Special Collections",,"Perlich, Martin","Harrington, David",Martin Perlich Collection,,29:58 min.,?,,Conversations in New Music,David Harrington,"Interview with David Harrington, founder and first violinist of the Kronos Quartet, recorded at Royce Hall at UCLA, Los Angeles, California.",,,,,?,,
Perlich (Martin) Interview Collection,ark:/21198/zz0026vx9g,ark:/21198/zz0025k1n3,2,Completed,Work,,33,,,,copyrighted,Y,,moving image,interviews,"University of California, Los Angeles. Library. Performing Arts Special Collections",,"Perlich, Martin","Guerrero, Ernesto|~|Plum, Ego",Martin Perlich Collection,,56:05 min.,2010-02-21,,Conversations in New Music,Ego Plum,"Interview with composer Ego Plum, recorded on February 21, 2010 at North Huntley Studios in West Hollywood, California.",,,,,"February 21, 2010",,
Perlich (Martin) Interview Collection,ark:/21198/zz0026vxb0,ark:/21198/zz0025k1n3,2,Completed,Work,,16,,,,copyrighted,Y,,moving image,interviews,"University of California, Los Angeles. Library. Performing Arts Special Collections",,"Perlich, Martin",Eighth Blackbird (Musical group),Martin Perlich Collection,,46:35 min.,2009-10-15,,Conversations in New Music,Eighth Blackbird,"Interview with Tim Munro and performance by musical ensemble Eighth Blackbird, recorded on October 15, 2009, in Newman Hall at the University of Southern California.",,,,,"October 15, 2009",,
Perlich (Martin) Interview Collection,ark:/21198/zz0026vxch,ark:/21198/zz0025k1n3,2,Completed,Work,,9,,,,copyrighted,Y,,moving image,interviews,"University of California, Los Angeles. Library. Performing Arts Special Collections",,"Perlich, Martin","Carter, Elliott, 1908-",Martin Perlich Collection,,56:28 min.,2010-01-24,,Conversations in New Music,Elliott Carter,"Interview with Elliott Carter, composer and Pulitzer Prize winner, recorded on January 24, 2010 at his home in Greenwich Village, New York.",,,,,"January 24, 2010",,
Perlich (Martin) Interview Collection,ark:/21198/zz0026vxd1,ark:/21198/zz0025k1n3,2,Completed,Work,,12,,,,copyrighted,Y,,moving image,interviews,"University of California, Los Angeles. Library. Performing Arts Special Collections",,"Perlich, Martin","Conlon, James, 1950-",Martin Perlich Collection,,52:56 mins.,2010-04-20,,Conversations in New Music,James Conlon,"Interview with the Director of the Los Angeles Opera, James Conlon, on April 20, 2010 at the Dorothy Chandler Pavilion in Los Angeles, California.",,,,,"April 20, 2010",,
Perlich (Martin) Interview Collection,ark:/21198/zz0026vxfj,ark:/21198/zz0025k1n3,2,Completed,Work,,29,,,,copyrighted,Y,,moving image,interviews,"University of California, Los Angeles. Library. Performing Arts Special Collections",,"Perlich, Martin","Lokumbe, Hannibal",Martin Perlich Collection,,51:47 min.,"December 14, 2009",,,Hannibal Lokumbe,"Interview with trumpeter and composer Hannibal Lokumbe, recorded on December 14, 2009 at the Sheraton Delfina in Santa Monica, California.",,,,,2009-12-14,,
Perlich (Martin) Interview Collection,ark:/21198/zz0026vxg2,ark:/21198/zz0025k1n3,2,Completed,Work,,35,,,,copyrighted,Y,,moving image,interviews,"University of California, Los Angeles. Library. Performing Arts Special Collections",,"Perlich, Martin","Rohde, Kurt",Martin Perlich Collection,,29:39 min.,?,,,Kurt Rohde,"Interview with composer and violist Kurt Rohde of Southwest Chamber Music, recorded at the Pacific Asia Museum in Pasadena, California.",,,,,?,,
Perlich (Martin) Interview Collection,ark:/21198/zz0026vxhk,ark:/21198/zz0025k1n3,2,Completed,Work,,15,,,,copyrighted,Y,,moving image,interviews,"University of California, Los Angeles. Library. Performing Arts Special Collections",,"Perlich, Martin","Einaudi, Ludovico, 1955-",Martin Perlich Collection,,35:23 min.,2010-10-14,,Conversations in New Music,Ludovico Einaudi,"Interview with Italian composer and pianist Ludovico Einaudi, recorded on October 14, 2010 at the Sunset Marquis, West Hollywood, California.",,,,,"October 14, 2010",,
Perlich (Martin) Interview Collection,ark:/21198/zz0026vxkm,ark:/21198/zz0025k1n3,2,Completed,Work,,23,,,,copyrighted,Y,,moving image,interviews,"University of California, Los Angeles. Library. Performing Arts Special Collections",,"Perlich, Martin","Jacaranda|~|Hilt, Mark Alan|~|Scott, Patrick B.",Martin Perlich Collection,Patrick Scott and Mark Alan Hilt,49:59 min.,"October 10, 2010",,Conversations in New Music,Jacaranda,"Interview with Music Director Mark Alan Hilt and Artistic Director Patrick Scott, of the Santa Monica concert series Jacaranda, recorded October 10, 2010 in West Hollywood, California.",,,,,2010-10-10,,
Perlich (Martin) Interview Collection,ark:/21198/zz0026vxm4,ark:/21198/zz0025k1n3,2,Completed,Work,,40,,,,copyrighted,Y,,moving image,interviews,"University of California, Los Angeles. Library. Performing Arts Special Collections",,"Perlich, Martin",Southwest Chamber Music (Musical group),Martin Perlich Collection,,56:14 min.,2010-06-21,,Conversations in New Music,Southwest Chamber Music,"Interview with Jan Karlin and Jeff von der Schmidt, Founding Executive and Founding Artistic Director of Southwest Chamber Music, recorded June 21, 2010 at North Huntley Studios in West Hollywood, California.  They discuss the group's U.S. State Department-sponsored tour of Vietnam.",,,,,"June 21, 2010",,
Perlich (Martin) Interview Collection,ark:/21198/zz0026vxnn,ark:/21198/zz0025k1n3,2,Completed,Work,,22,,,,copyrighted,Y,,moving image,interviews,"University of California, Los Angeles. Library. Performing Arts Special Collections",,"Perlich, Martin","Heasley, Tom",Martin Perlich Collection,,53:00 min.,"May 18, 2010",,Conversations in New Music,Tom Heasley,"Interview with Los Angeles-based tubist, Ambient and Electronic music composer Tom Heasley, recorded on May 18, 2010 at North Huntley Studios, West Hollywood, California.",,,,,2010-05-18,,
Perlich (Martin) Interview Collection,ark:/21198/zz0026vxp5,ark:/21198/zz0025k1n3,2,Completed,Work,,6,,,,copyrighted,Y,,moving image,interviews,"University of California, Los Angeles. Library. Performing Arts Special Collections",,"Perlich, Martin","Bermel, Derek, 1967-",Martin Perlich Collection,,41:45 min.,2009-12-12,,Conversations in New Music,Derek Bermel,"Interview with composer and clarinetist Derek Bermel recorded on December 12, 2009 at the Orchid Hotel, Downtown Los Angeles.",,,,,"December 12, 2009",,
Perlich (Martin) Interview Collection,ark:/21198/zz0026vxqp,ark:/21198/zz0025k1n3,2,Completed,Work,,18,,,,copyrighted,Y,,moving image,interviews,"University of California, Los Angeles. Library. Performing Arts Special Collections",,"Perlich, Martin","Gioia, Dana",Martin Perlich Collection,,43:39 min.,"January 14, 2011",,Conversations in New Music,Dana Gioia,"Interview with Dana Gioia, poet, writer, critic and former chair of the National Endowment for the Arts, recorded on January 14, 2011 at North Huntly Studios, West Hollywood, California.",,,,,2011-01-14,,
Perlich (Martin) Interview Collection,ark:/21198/zz0026vxr6,ark:/21198/zz0025k1n3,2,Completed,Work,,13,,,,copyrighted,Y,,moving image,interviews,"University of California, Los Angeles. Library. Performing Arts Special Collections",,"Perlich, Martin","Davis, Don, 1957-",Martin Perlich Collection,,58:37 min.,"December 20, 2010",,Conversations in New Music,Don Davis,"Interview with film composer Don Davis, on December 20, 2010 at North Huntley Studios, West Hollywood.",,,,,2010-12-20,,
Perlich (Martin) Interview Collection,ark:/21198/zz0026vxt7,ark:/21198/zz0025k1n3,2,Completed,Work,,20,,,,copyrighted,Y,,moving image,interviews,"University of California, Los Angeles. Library. Performing Arts Special Collections",,"Perlich, Martin","Haimovitz, Matt, 1970-",Martin Perlich Collection,,53:16 min.,"January 27, 2011",,Conversations in New Music,Matt Haimovitz,"Interview with Matt Haimovitz, cellist and founder of Oxingale Records, recorded on January 27, 2011 at North Huntley Studios, West Hollywood, California.",,,,,2011-01-27,,
Perlich (Martin) Interview Collection,ark:/21198/zz0026vz2b,ark:/21198/zz0025k1n3,2,Completed,Work,,36,,,,copyrighted,Y,,moving image,interviews,"University of California, Los Angeles. Library. Performing Arts Special Collections",,"Perlich, Martin","Rosen, Charles, 1927-","Martin Perlich Collection, Conversations in New Music",,58:05 min.,2010-04-05,,Conversations in New Music,Charles Rosen,"Interview with American pianist and music writer Charles Rosen, recorded on April 5, 2010 at the Westin South Coast Plaza in Costa Mesa, California.",,,,,"April 5, 2010",,
Perlich (Martin) Interview Collection,ark:/21198/zz0026vz3v,ark:/21198/zz0025k1n3,2,Completed,Work,,37,,,,copyrighted,Y,,moving image,interviews,"University of California, Los Angeles. Library. Performing Arts Special Collections",,"Perlich, Martin","Schifrin, Lalo","Martin Perlich Collection, Conversations in New Music",,47:10 min.,2011-01-18,,Conversations in New Music,Lalo Schifrin,"Interview with Argentine pianist, conductor, and film/music composer Lalo Schifrin, recorded on January 18, 2011 at his home in Beverly Hills, California.",,,,,"January 18, 2011",,
