Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Thumbnail,Rights.copyrightStatus,Rights.permission,Language,Type.typeOfResource,Type.genre,Name.repository,Publisher.publisherName,Name.interviewer,Name.interviewee,Source,Description.note,Format.extent,Date.normalized,Date.publication,AltTitle.other,Title,Description.abstract,AltTitle.descriptive,Date.interview,Format.dimensions,Alt ID.local,Date.creation,Format.medium,Alt ID.mp4
Perlich (Martin) Interview Collection,ark:/21198/zz0025k637,ark:/21198/zz0025k1n3,2,Completed,Work,,333,,,,copyrighted,Y,,sound recording-nonmusical,interviews,"University of California, Los Angeles. Library. Performing Arts Special Collections","KCSN (Radio station : Los Angeles, Calif.)","Perlich, Martin","Fischer, Iván","Martin Perlich Collection, Martin Perlich Interviews, CD 6, Track 12","Produced at KCSN Radio, Los Angeles.",2:02 min.,2004-02-17,"February 17, 2004",Martin Perlich Interviews,András Schiff,,,,,,,,
Perlich (Martin) Interview Collection,ark:/21198/zz002h7s8p,ark:/21198/zz0025k1n3,1,In progress,Work,,382,,,,Y,Y,,sound recording-nonmusical,interviews,"University of California, Los Angeles. Library. Performing Arts Special Collections",,"Perlich, Martin",,"Martin Perlich COllection, Box 10, Folder 2",,,1979-04-16,,,Frank Zappa,,,,,uclapasc0341_010_002MA,"April 19, 1979",Compact Cassette,
Perlich (Martin) Interview Collection,ark:/21198/zz002h7sdr,ark:/21198/zz0025k1n3,1,In progress,Work,,379,,,,copyrighted,Y,,sound recording-nonmusical,interviews,"University of California, Los Angeles. Library. Performing Arts Special Collections",,,,"Martin Perlich Interviews, Box 6, Folder 1",,,,,,Michael F. Wendland,,,,,uclapasc0341_006_001M,,compact cassette,
Perlich (Martin) Interview Collection,ark:/21198/zz002h7sgs,ark:/21198/zz0025k1n3,1,In progress,Work,,110,,,,copyrighted,Y,,sound recording-nonmusical,interviews,"University of California, Los Angeles. Library. Performing Arts Special Collections",,"Perlich, Martin",,"Martin Perlich Interviews, Box 8, Folder 2",,,2003-04-22,,Martin Perlich Interviews,Sarah Chang,,,,,uclapasc0341_008_002M1,"April 22, 2003",DAT,
Perlich (Martin) Interview Collection,ark:/21198/zz002hc7nf,ark:/21198/zz0025k1n3,1,In progress,Work,,530,,,,copyrighted,Y,,sound recording-nonmusical,interviews,"University of California, Los Angeles. Library. Performing Arts Special Collections",,"Perlich, Martin",,,,,2012-03-29,,Martin Perlich Interviews,Lou Reed,,,,,uclapasc341_001_001M.wav,"March 29, 2012","10"" open reel audio",
Perlich (Martin) Interview Collection,ark:/21198/zz002hc7pz,ark:/21198/zz0025k1n3,1,In progress,Work,,531,,,,copyrighted,Y,,sound recording-nonmusical,interviews,"University of California, Los Angeles. Library. Performing Arts Special Collections",,"Perlich, Martin",,,,,,,Martin Perlich Interviews,David Shriffin,,,,,uclapasc341_001_002M,,,
Perlich (Martin) Interview Collection,ark:/21198/zz002hc7qg,ark:/21198/zz0025k1n3,1,In progress,Work,,532,,,,copyrighted,Y,,sound recording-nonmusical,interviews,"University of California, Los Angeles. Library. Performing Arts Special Collections",,"Perlich, Martin",,,,,,,Martin Perlich Interviews,Benjamin Luxon,,,,,,,"10"" open reel audio",
Perlich (Martin) Interview Collection,ark:/21198/zz002hc7r0,ark:/21198/zz0025k1n3,1,In progress,Work,,533,,,,copyrighted,Y,,sound recording-nonmusical,interviews,"University of California, Los Angeles. Library. Performing Arts Special Collections",,"Perlich, Martin",,,,,,,Martin Perlich Interviews,Mortin Subotnick,,,,,uclapasc341_002_002M.wav,,,
Perlich (Martin) Interview Collection,ark:/21198/zz002hc7sh,ark:/21198/zz0025k1n3,1,In progress,Work,,534,,,,copyrighted,Y,,sound recording-nonmusical,interviews,"University of California, Los Angeles. Library. Performing Arts Special Collections",,"Perlich, Martin",,,,,1971-08,,Martin Perlich Interviews,Taj Mahal,,,,,uclapasc341_002_003M,August 1971,"10"" open audio reel",
Perlich (Martin) Interview Collection,ark:/21198/zz002hc7t1,ark:/21198/zz0025k1n3,1,In progress,Work,,535,,,,copyrighted,Y,,sound recording-nonmusical,interviews,"University of California, Los Angeles. Library. Performing Arts Special Collections",,"Perlich, Martin",,,,,,,Martin Perlich Interviews,Martin Mull,,,,,uclapasc341_001_003M,"January 6, 1973","10"" audio reel",
