"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Thumbnail","Type.typeOfResource","Rights.copyrightStatus","Rights.permission","Rights.publicationStatus","Coverage.geographic","Name.creator","Author","Rights.servicesContact","Language","Type.genre","Subject","Name.subject","Name.repository","Name.contributor","viewingHint","Text direction","Visibility","IIIF Range","Title","Date.normalized","Date.creation","Description.note","Description.inscription","Description.abstract","Bucketeer State","IIIF Access URL"
"Cruikshank (Margaret) Collection","ark:/21198/zz001bmxcn","ark:/21198/zz001bmxb4","2","Completed","Page","cruikshank/images/masters/21198-zz001bmxcn_746493_master.tif","1","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001bmxcn"
"Cruikshank (Margaret) Collection","ark:/21198/zz001bmxfp","ark:/21198/zz001bmxd5","2","Completed","Page","cruikshank/images/masters/21198-zz001bmxfp_746508_master.tif","1","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001bmxfp"
"Cruikshank (Margaret) Collection","ark:/21198/zz001bmxhq","ark:/21198/zz001bmxg6","2","Completed","Page","cruikshank/images/masters/21198-zz001bmxhq_746514_master.tif","1","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001bmxhq"
"Cruikshank (Margaret) Collection","ark:/21198/zz001bmxkr","ark:/21198/zz001bmxj7","2","Completed","Page","cruikshank/images/masters/21198-zz001bmxkr_746525_master.tif","1","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001bmxkr"
"Cruikshank (Margaret) Collection","ark:/21198/zz001bmxns","ark:/21198/zz001bmxm8","2","Completed","Page","cruikshank/images/masters/21198-zz001bmxns_746535_master.tif","1","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001bmxns"
"Cruikshank (Margaret) Collection","ark:/21198/zz001bmxqt","ark:/21198/zz001bmxp9","2","Completed","Page","cruikshank/images/masters/21198-zz001bmxqt_746547_master.tif","1","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001bmxqt"
"Cruikshank (Margaret) Collection","ark:/21198/zz001bnf36","ark:/21198/zz001bmv84","2","Completed","Page","cruikshank/images/masters/21198-zz001bnf36_749609_master.tif","1","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001bnf36"
"Cruikshank (Margaret) Collection","ark:/21198/zz001bnsms","ark:/21198/zz001bnsk8","2","Completed","Page","cruikshank/images/masters/21198-zz001bnsms_748597_master.tif","1","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001bnsms"
"Cruikshank (Margaret) Collection","ark:/21198/zz001bnspt","ark:/21198/zz001bnsn9","2","Completed","Page","cruikshank/images/masters/21198-zz001bnspt_748623_master.tif","1","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001bnspt"
"Cruikshank (Margaret) Collection","ark:/21198/zz001bntfp","ark:/21198/zz001bnsqb","2","Completed","Page","cruikshank/images/masters/21198-zz001bntfp_748646_master.tif","1","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001bntfp"
