"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Visibility","iiif_access_url","Type.typeOfResource","Type.genre","Subject","Name.subject","Name.repository","Rights.statementLocal","Rights.creatorNote","Rights.copyrightStatus","Name.creator","Rights.notice","Title","Alt ID.local","Description.note","Coverage.geographic","AltIdentifier.local","Date.creation","Subject temporal","Format.dimensions","Format.medium","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Ethnomusicology Archive: Photographic collection","ark:/21198/zz0027cbt5/qm74x94r","ark:/21198/zz0027cbt5","","","Page","ethnophotos/image/21198-zz0027cbt5_1830765_master.tif","1","private","","","","","","","","","","","","Page 1","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0027cbt5%2Fqm74x94r",""
"Ethnomusicology Archive: Photographic collection","ark:/21198/zz0027cbt5/rt380t0g","ark:/21198/zz0027cbt5","","","Page","ethnophotos/image/srgb/21198-zz0027cbt5_2397425_master.tif","2","private","","","","","","","","","","","","Page 2","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0027cbt5%2Frt380t0g",""
