Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Visibility,IIIF Access URL,Type.typeOfResource,Type.genre,Subject,Name.subject,Name.repository,Rights.statementLocal,Rights.creatorNote,Rights.copyrightStatus,Name.creator,Rights.notice,Title,Alt ID.local,Description.note,Coverage.geographic,AltIdentifier.local,Date.creation,Subject temporal,Format.dimensions,Format.medium,Bucketeer State,IIIF Access URL,IIIF Manifest URL
Ethnomusicology Archive: Photographic collection,ark:/21198/zz0025kpdn/kx909d8b,ark:/21198/zz0025kpdn,,,Page,ethnophotos/image/21198-zz0025kpdn_2396100_master.tif,2,,,,,,,,,,,,,Page 2,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025kpdn%2Fkx909d8b,
Ethnomusicology Archive: Photographic collection,ark:/21198/zz0025kpdn/xk619m5t,ark:/21198/zz0025kpdn,,,Page,ethnophotos/image/21198-zz0025kpdn_1701983_master.tif,1,,,,,,,,,,,,,Page 1,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025kpdn%2Fxk619m5t,
