"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Visibility","iiif_access_url","Type.typeOfResource","Type.genre","Subject","Name.subject","Name.repository","Rights.statementLocal","Rights.creatorNote","Rights.copyrightStatus","Name.creator","Rights.notice","Title","Alt ID.local","Description.note","Coverage.geographic","AltIdentifier.local","Date.creation","Subject temporal","Format.dimensions","Format.medium","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Ethnomusicology Archive: Photographic collection","ark:/21198/zz002k7dfs/dq48vw15","ark:/21198/zz002k7dfs","","","Page","ethnophotos/image/21198-zz002k7dfs_2387198_master.tif","1","private","","","","","","","","","","","","Page 1","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002k7dfs%2Fdq48vw15",""
"Ethnomusicology Archive: Photographic collection","ark:/21198/zz002k7dfs/zw76kt3f","ark:/21198/zz002k7dfs","","","Page","ethnophotos/image/21198-zz002k7dfs_2387201_master.tif","2","private","","","","","","","","","","","","Page 2","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002k7dfs%2Fzw76kt3f",""
