Project Name,Item ARK,Parent ARK,viewingHint,Object Type,File Name,Item Sequence,Type.typeOfResource,Rights.copyrightStatus,Name.repository,Language,Name.illustrator,Subject,Alt ID.OPAC,Description.note,Date.normalized,Publisher.placeOfOrigin,Format.dimensions,Description.acquisitionHistory,AltTitle.other,Format.extent,Alt ID.callNo,Title,Date.creation,Publisher.publisherName,Bucketeer State,IIIF Access URL
Various Pamphlets from the History and Special Collections for the Sciences,ark:/21198/zz002b86t4,ark:/21198/z14f2v0q,paged,Work,,,text,pd,Louise M. Darling Biomedical Library. History and Special Collections for the Sciences,eng,"Groth, John, $d 1908-1988",Air conditioning -- History,6780644,"Cover title.|~|Approximate date range established from the year the A.C.R.M.A. was formed (1940) through its merger with the Refrigeration Equipment Manufacturers' Association (1953).|~|Imprint based on inkstamp on lower wrapper of UCLA Biomed copy: ""From Air Conditioning and Refrigeration Machinery Association, Southern Building, Washington 5 D.C.""",1940/1953,"[Washington, D.C.]",16 x 23 cm,aGatherin'; purchase; 31 August 2011.,Air conditioning,[16] p. : col. ill.,TH7687 .S887 1940,Story of Air Conditioning,[between 1940 and 1953?],[Air Conditioning and Refrigeration Machinery Association],missing,
Various Pamphlets from the History and Special Collections for the Sciences,ark:/21198/zz002b86t4/2t05n535,ark:/21198/zz002b86t4,,ChildWork,pamph/image/21198-zz002b86t4-1-master_Page_01.tif,1,text,pd,Louise M. Darling Biomedical Library. History and Special Collections for the Sciences,eng,,,,,,,,,,,,Page 1 ,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002b86t4%2F2t05n535
Various Pamphlets from the History and Special Collections for the Sciences,ark:/21198/zz002b86t4/j3198v0z,ark:/21198/zz002b86t4,,ChildWork,pamph/image/21198-zz002b86t4-1-master_Page_02.tif,2,text,pd,Louise M. Darling Biomedical Library. History and Special Collections for the Sciences,eng,,,,,,,,,,,,Page 2,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002b86t4%2Fj3198v0z
Various Pamphlets from the History and Special Collections for the Sciences,ark:/21198/zz002b86t4/cx31qd5h,ark:/21198/zz002b86t4,,ChildWork,pamph/image/21198-zz002b86t4-1-master_Page_03.tif,3,text,pd,Louise M. Darling Biomedical Library. History and Special Collections for the Sciences,eng,,,,,,,,,,,,Page 3,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002b86t4%2Fcx31qd5h
Various Pamphlets from the History and Special Collections for the Sciences,ark:/21198/zz002b86t4/hz18zd7t,ark:/21198/zz002b86t4,,ChildWork,pamph/image/21198-zz002b86t4-1-master_Page_04.tif,4,text,pd,Louise M. Darling Biomedical Library. History and Special Collections for the Sciences,eng,,,,,,,,,,,,Page 4,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002b86t4%2Fhz18zd7t
Various Pamphlets from the History and Special Collections for the Sciences,ark:/21198/zz002b86t4/3q60zp22,ark:/21198/zz002b86t4,,ChildWork,pamph/image/21198-zz002b86t4-1-master_Page_05.tif,5,text,pd,Louise M. Darling Biomedical Library. History and Special Collections for the Sciences,eng,,,,,,,,,,,,Page 5,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002b86t4%2F3q60zp22
Various Pamphlets from the History and Special Collections for the Sciences,ark:/21198/zz002b86t4/zz526d7h,ark:/21198/zz002b86t4,,ChildWork,pamph/image/21198-zz002b86t4-1-master_Page_06.tif,6,text,pd,Louise M. Darling Biomedical Library. History and Special Collections for the Sciences,eng,,,,,,,,,,,,Page 6,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002b86t4%2Fzz526d7h
Various Pamphlets from the History and Special Collections for the Sciences,ark:/21198/zz002b86t4/p4859c64,ark:/21198/zz002b86t4,,ChildWork,pamph/image/21198-zz002b86t4-1-master_Page_07.tif,7,text,pd,Louise M. Darling Biomedical Library. History and Special Collections for the Sciences,eng,,,,,,,,,,,,Page 7,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002b86t4%2Fp4859c64
Various Pamphlets from the History and Special Collections for the Sciences,ark:/21198/zz002b86t4/cx06nb17,ark:/21198/zz002b86t4,,ChildWork,pamph/image/21198-zz002b86t4-1-master_Page_08.tif,8,text,pd,Louise M. Darling Biomedical Library. History and Special Collections for the Sciences,eng,,,,,,,,,,,,Page 8,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002b86t4%2Fcx06nb17
Various Pamphlets from the History and Special Collections for the Sciences,ark:/21198/zz002b86t4/qg953k2t,ark:/21198/zz002b86t4,,ChildWork,pamph/image/21198-zz002b86t4-1-master_Page_09.tif,9,text,pd,Louise M. Darling Biomedical Library. History and Special Collections for the Sciences,eng,,,,,,,,,,,,Page 9,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002b86t4%2Fqg953k2t
