Project Name,Item ARK,Parent ARK,Object Type,File Name,viewingHint,Item Sequence,Type.typeOfResource,Rights.copyrightStatus,Name.repository,Subject.conceptTopic,Language,Type.manuscript,Rights.servicesContact,Title,Description.note,Summary,Date.normalized,AltIdentifier.oclc,Relation.isPartOf,Opac url,Format.extent,AltTitle.other,Format.dimensions,Bucketeer State,IIIF Access URL,IIIF Manifest URL
Conoximent de las Orines,ark:/21198/zz00022840,ark:/21198/zz0002267k,Page,conoximent/masters/21198-zz00022840-1-master.tif,,1,text,pd,Louise M. Darling Biomedical Library. History and Special Collections for the Sciences,,,,,inside cover; 1r,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00022840,
Conoximent de las Orines,ark:/21198/zz00022861,ark:/21198/zz0002267k,Page,,,2,text,pd,Louise M. Darling Biomedical Library. History and Special Collections for the Sciences,,,,,"1v, 2r",,,,,,,,,,failed,,
Conoximent de las Orines,ark:/21198/zz00022882,ark:/21198/zz0002267k,Page,conoximent/masters/21198-zz00022882-1-master.tif,,3,text,pd,Louise M. Darling Biomedical Library. History and Special Collections for the Sciences,,,,,"2v, 3r",,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00022882,
Conoximent de las Orines,ark:/21198/zz000228b3,ark:/21198/zz0002267k,Page,conoximent/masters/21198-zz000228b3-1-master.tif,,4,text,pd,Louise M. Darling Biomedical Library. History and Special Collections for the Sciences,,,,,"3v, 4r",,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000228b3,
Conoximent de las Orines,ark:/21198/zz000228d4,ark:/21198/zz0002267k,Page,conoximent/masters/21198-zz000228d4-1-master.tif,,5,text,pd,Louise M. Darling Biomedical Library. History and Special Collections for the Sciences,,,,,"4v, 5r",,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000228d4,
Conoximent de las Orines,ark:/21198/zz000228g5,ark:/21198/zz0002267k,Page,conoximent/masters/21198-zz000228g5-1-master.tif,,6,text,pd,Louise M. Darling Biomedical Library. History and Special Collections for the Sciences,,,,,"5v, 6r",,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000228g5,
Conoximent de las Orines,ark:/21198/zz000228j6,ark:/21198/zz0002267k,Page,conoximent/masters/21198-zz000228j6-1-master.tif,,7,text,pd,Louise M. Darling Biomedical Library. History and Special Collections for the Sciences,,,,,"6v, 7r",,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000228j6,
Conoximent de las Orines,ark:/21198/zz000228m7,ark:/21198/zz0002267k,Page,conoximent/masters/21198-zz000228m7-1-master.tif,,8,text,pd,Louise M. Darling Biomedical Library. History and Special Collections for the Sciences,,,,,"7v, 8r",,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000228m7,
Conoximent de las Orines,ark:/21198/zz000228p8,ark:/21198/zz0002267k,Page,conoximent/masters/21198-zz000228p8-1-master.tif,,9,text,pd,Louise M. Darling Biomedical Library. History and Special Collections for the Sciences,,,,,"8v, 9r",,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000228p8,
Conoximent de las Orines,ark:/21198/zz000228qs,ark:/21198/zz0002267k,Page,conoximent/masters/21198-zz000228qs-1-master.tif,,10,text,pd,Louise M. Darling Biomedical Library. History and Special Collections for the Sciences,,,,,"9v, 10r",,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000228qs,
Conoximent de las Orines,ark:/21198/zz000228fn,ark:/21198/zz0002267k,Page,conoximent/masters/21198-zz000228fn-1-master.tif,,11,text,pd,Louise M. Darling Biomedical Library. History and Special Collections for the Sciences,,,,,"10v, 11r",,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000228fn,
Conoximent de las Orines,ark:/21198/zz0002287j,ark:/21198/zz0002267k,Page,conoximent/masters/21198-zz0002287j-1-master.tif,,12,text,pd,Louise M. Darling Biomedical Library. History and Special Collections for the Sciences,,,,,"11v, 12r",,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0002287j,
Conoximent de las Orines,ark:/21198/zz000228hp,ark:/21198/zz0002267k,Page,conoximent/masters/21198-zz000228hp-1-master.tif,,13,text,pd,Louise M. Darling Biomedical Library. History and Special Collections for the Sciences,,,,,"12v, 13r",,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000228hp,
Conoximent de las Orines,ark:/21198/zz0002289k,ark:/21198/zz0002267k,Page,conoximent/masters/21198-zz0002289k-1-master.tif,,14,text,pd,Louise M. Darling Biomedical Library. History and Special Collections for the Sciences,,,,,"13v, 14r",,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0002289k,
Conoximent de las Orines,ark:/21198/zz0002285h,ark:/21198/zz0002267k,Page,conoximent/masters/21198-zz0002285h-1-master.tif,,15,text,pd,Louise M. Darling Biomedical Library. History and Special Collections for the Sciences,,,,,"14v, 15r",,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0002285h,
Conoximent de las Orines,ark:/21198/zz000228kq,ark:/21198/zz0002267k,Page,conoximent/masters/21198-zz000228kq-1-master.tif,,16,text,pd,Louise M. Darling Biomedical Library. History and Special Collections for the Sciences,,,,,"15v, 16r",,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000228kq,
Conoximent de las Orines,ark:/21198/zz000228nr,ark:/21198/zz0002267k,Page,,,17,text,pd,Louise M. Darling Biomedical Library. History and Special Collections for the Sciences,,,,,"16v, 17r",,,,,,,,,,failed,,
Conoximent de las Orines,ark:/21198/zz0002283g,ark:/21198/zz0002267k,Page,conoximent/masters/21198-zz0002283g-1-master.tif,,18,text,pd,Louise M. Darling Biomedical Library. History and Special Collections for the Sciences,,,,,"17v, 18r",,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0002283g,
Conoximent de las Orines,ark:/21198/zz000228cm,ark:/21198/zz0002267k,Page,conoximent/masters/21198-zz000228cm-1-master.tif,,19,text,pd,Louise M. Darling Biomedical Library. History and Special Collections for the Sciences,,,,,"18v, 19r",,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000228cm,
Conoximent de las Orines,ark:/21198/zz0002282z,ark:/21198/zz0002267k,Page,conoximent/masters/21198-zz0002282z-1-master.tif,,20,text,pd,Louise M. Darling Biomedical Library. History and Special Collections for the Sciences,,,,,"19v, 20r",,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0002282z,
Conoximent de las Orines,ark:/21198/zz000229dm,ark:/21198/zz0002267k,Page,conoximent/masters/21198-zz000229dm-1-master.tif,,21,text,pd,Louise M. Darling Biomedical Library. History and Special Collections for the Sciences,,,,,"20v, 21r",,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000229dm,
Conoximent de las Orines,ark:/21198/zz000228tb,ark:/21198/zz0002267k,Page,conoximent/masters/21198-zz000228tb-1-master.tif,,22,text,pd,Louise M. Darling Biomedical Library. History and Special Collections for the Sciences,,,,,"21v, 22r",,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000228tb,
