"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","viewingHint","Text direction","Visibility","IIIF Range","Rights.copyrightStatus","Subject","Type.genre","Name.repository","Name.author","Name.attributedTo","Name.translator","Name.commentator","Name.scribe","Name.creator","Name.compiler","Name.annotator","Language.language","Language.script","Name.calligrapher","Alternate Identifier.local","Title","Relation.rectoVerso","Source","Date.creation","Format.dimensions","Alternate Title.other","Description.abstract","Description.microfilm","Description.citation","Alternate Title.scriptArab","Description.physical","Relation.textDirection","Date.normalized","Description.note","Format.extent","Relation","Description.stamp","Relation.citation","Alternate Title.spine","Description.marks","Description.colophon","thumbnailImageName","masterImageName","Description.tableOfContents","Metadata Only","Conceptual Work","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Minasian (Caro) Collection of Persian and Arabic Manuscripts","ark:/21198/zz000w3rtg","ark:/21198/zz000ss0bb","7","Completed","Page","minasian/masters/0590/0590_0001.tif","1","","","","","","","pd","","","","","","","","","","","","","","","1147_0590_0001","Cover","r","","","","","","","","","","","","","","","","","","","","1147_0590_0001.jpg","1147_0590_0001.tif","","","No","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000w3rtg",""
"Minasian (Caro) Collection of Persian and Arabic Manuscripts","ark:/21198/zz000w3rv0","ark:/21198/zz000ss0bb","7","Completed","Page","minasian/masters/0590/0590_0002.tif","2","","","","","","","pd","","","","","","","","","","","","","","","1147_0590_0002","page","v","","","","","","","","","","","","","","","","","","","","1147_0590_0002.jpg","1147_0590_0002.tif","","","No","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000w3rv0",""
"Minasian (Caro) Collection of Persian and Arabic Manuscripts","ark:/21198/zz000w3rwh","ark:/21198/zz000ss0bb","7","Completed","Page","minasian/masters/0590/0590_0003.tif","3","","","","","","","pd","","","","","","","","","","","","","","","1147_0590_0003","page","r","","","","","","","","","","","","","","","","","","","","1147_0590_0003.jpg","1147_0590_0003.tif","","","No","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000w3rwh",""
"Minasian (Caro) Collection of Persian and Arabic Manuscripts","ark:/21198/zz000w3rx1","ark:/21198/zz000ss0bb","7","Completed","Page","minasian/masters/0590/0590_0004.tif","4","","","","","","","pd","","","","","","","","","","","","","","","1147_0590_0004","page 1","v","","","","","","","","","","","","","","","","","","","","1147_0590_0004.jpg","1147_0590_0004.tif","","","No","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000w3rx1",""
"Minasian (Caro) Collection of Persian and Arabic Manuscripts","ark:/21198/zz000w3rzj","ark:/21198/zz000ss0bb","7","Completed","Page","minasian/masters/0590/0590_0005.tif","5","","","","","","","pd","","","","","","","","","","","","","","","1147_0590_0005","page 2","r","","","","","","","","","","","","","","","","","","","","1147_0590_0005.jpg","1147_0590_0005.tif","","","No","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000w3rzj",""
"Minasian (Caro) Collection of Persian and Arabic Manuscripts","ark:/21198/zz000w3s0j","ark:/21198/zz000ss0bb","7","Completed","Page","minasian/masters/0590/0590_0006.tif","6","","","","","","","pd","","","","","","","","","","","","","","","1147_0590_0006","page 3","v","","","","","","","","","","","","","","","","","","","","1147_0590_0006.jpg","1147_0590_0006.tif","","","No","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000w3s0j",""
"Minasian (Caro) Collection of Persian and Arabic Manuscripts","ark:/21198/zz000w3s12","ark:/21198/zz000ss0bb","7","Completed","Page","minasian/masters/0590/0590_0007.tif","7","","","","","","","pd","","","","","","","","","","","","","","","1147_0590_0007","page 4","r","","","","","","","","","","","","","","","","","","","","1147_0590_0007.jpg","1147_0590_0007.tif","","","No","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000w3s12",""
"Minasian (Caro) Collection of Persian and Arabic Manuscripts","ark:/21198/zz000w3s2k","ark:/21198/zz000ss0bb","7","Completed","Page","minasian/masters/0590/0590_0008.tif","8","","","","","","","pd","","","","","","","","","","","","","","","1147_0590_0008","page 5","v","","","","","","","","","","","","","","","","","","","","1147_0590_0008.jpg","1147_0590_0008.tif","","","No","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000w3s2k",""
"Minasian (Caro) Collection of Persian and Arabic Manuscripts","ark:/21198/zz000w3s33","ark:/21198/zz000ss0bb","7","Completed","Page","minasian/masters/0590/0590_0009.tif","9","","","","","","","pd","","","","","","","","","","","","","","","1147_0590_0009","page 6","r","","","","","","","","","","","","","","","","","","","","1147_0590_0009.jpg","1147_0590_0009.tif","","","No","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000w3s33",""
"Minasian (Caro) Collection of Persian and Arabic Manuscripts","ark:/21198/zz000w3s4m","ark:/21198/zz000ss0bb","7","Completed","Page","minasian/masters/0590/0590_0010.tif","10","","","","","","","pd","","","","","","","","","","","","","","","1147_0590_0010","page 7","v","","","","","","","","","","","","","","","","","","","","1147_0590_0010.jpg","1147_0590_0010.tif","","","No","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000w3s4m",""
"Minasian (Caro) Collection of Persian and Arabic Manuscripts","ark:/21198/zz000w3s54","ark:/21198/zz000ss0bb","7","Completed","Page","minasian/masters/0590/0590_0011.tif","11","","","","","","","pd","","","","","","","","","","","","","","","1147_0590_0011","page 8","r","","","","","","","","","","","","","","","","","","","","1147_0590_0011.jpg","1147_0590_0011.tif","","","No","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000w3s54",""
