Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Thumbnail,Type.typeOfResource,Rights.copyrightStatus,Rights.countryCreation,Rights.permission,Rights.rightsHolderContact,Language,Name.subject,Name.repository,Name.creator,Subject,Title,Date.creation,AltTitle.other,Description.note,Date.normalized
Network Measurement Center Collection,ark:/21198/z1km0zdb,ark:/21198/zz002dj6tj,,,Page,network_measurement_center/image/pdf_images/21198-zz002dj6tj-1-master_001.tif,1,,,,,,,,,,,,,,Page 1,,,,
Network Measurement Center Collection,ark:/21198/z1fv06nj,ark:/21198/zz002dj6tj,,,Page,network_measurement_center/image/pdf_images/21198-zz002dj6tj-1-master_002.tif,2,,,,,,,,,,,,,,Page 2,,,,
Network Measurement Center Collection,ark:/21198/z1b585b9,ark:/21198/zz002dj6tj,,,Page,network_measurement_center/image/pdf_images/21198-zz002dj6tj-1-master_003.tif,3,,,,,,,,,,,,,,Page 3,,,,
Network Measurement Center Collection,ark:/21198/z16d7dmk,ark:/21198/zz002dj6tj,,,Page,network_measurement_center/image/pdf_images/21198-zz002dj6tj-1-master_004.tif,4,,,,,,,,,,,,,,Page 4,,,,
Network Measurement Center Collection,ark:/21198/z12n6ntz,ark:/21198/zz002dj6tj,,,Page,network_measurement_center/image/pdf_images/21198-zz002dj6tj-1-master_005.tif,5,,,,,,,,,,,,,,Page 5,,,,
Network Measurement Center Collection,ark:/21198/z1xw65b2,ark:/21198/zz002dj6tj,,,Page,network_measurement_center/image/pdf_images/21198-zz002dj6tj-1-master_006.tif,6,,,,,,,,,,,,,,Page 6,,,,
Network Measurement Center Collection,ark:/21198/z1t45dn3,ark:/21198/zz002dj6wk,,,Page,network_measurement_center/image/pdf_images/21198-zz002dj6wk-1-master_001.tif,1,,,,,,,,,,,,,,Page 1,,,,
Network Measurement Center Collection,ark:/21198/z1pc4nzt,ark:/21198/zz002dj6wk,,,Page,network_measurement_center/image/pdf_images/21198-zz002dj6wk-1-master_002.tif,2,,,,,,,,,,,,,,Page 2,,,,
Network Measurement Center Collection,ark:/21198/z1jm3x7h,ark:/21198/zz002dj6wk,,,Page,network_measurement_center/image/pdf_images/21198-zz002dj6wk-1-master_003.tif,3,,,,,,,,,,,,,,Page 3,,,,
Network Measurement Center Collection,ark:/21198/z1dz1vx3,ark:/21198/zz002dj6wk,,,Page,network_measurement_center/image/pdf_images/21198-zz002dj6wk-1-master_004.tif,4,,,,,,,,,,,,,,Page 4,,,,
