Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Thumbnail,viewingHint,Visibility,Type.typeOfResource,Type.genre,Rights.copyrightStatus,Rights.publicationStatus,Rights.permission,Name.actor,Name.director,Name.subject,Name.producer,Name.photographer,Name.costumeDesigner,Name.distributor,Subject.descriptiveTopic,AltTitle.uniform,Language,Name.repository,Name.cinematographer,Subject,Subject.geographicPlace,Name.artDirector,Name.setDesigner,Alt ID.local,Format.extent,Format.dimensions,Title,Date.normalized,Description.caption,Date.creation,Description.note,AltTitle.other,Description.abstract,Opac url,Finding Aid URL,Bucketeer State,IIIF Access URL,IIIF Manifest URL
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001nt0bh,ark:/21198/zz0015w23z,2,Completed,Work,mpstills/masters/21198-zz001nt0bh-1-master.tif,,,,,,private,still image,Black-and-white photographs|~|Silent films|~|Comedy-drama films,copyrighted,unknown,,,"Chaplin, Charlie, $d 1889-1977","Chaplin, Charlie, $d 1889-1977","Chaplin, Charlie, $d 1889-1977|~|Charles Chaplin Productions",,,United Artists Corporation,,Gold rush (Motion picture : 1925),zxx,"University of California, Los Angeles. Library. Performing Arts Special Collections",,,,,,pasc_195_ 239_ 5_ 58,1 photograph : b&w,8 x 10 in.,Charlie Chaplin and crew members on the set of The Gold Rush,1924-02/1925-04,,"[between February, 1924 and April, 1925]",,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=4232828,https://oac.cdlib.org/findaid/ark:/13030/kt9779q7sn/,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001nt0bh,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001nt0bh/manifest
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001nt0c1,ark:/21198/zz0015w23z,2,Completed,Work,mpstills/masters/21198-zz001nt0c1-1-master.tif,,,,,,private,still image,Black-and-white photographs|~|Silent films|~|Comedy-drama films,copyrighted,unknown,,,"Chaplin, Charlie, $d 1889-1977","Chaplin, Charlie, $d 1889-1977","Chaplin, Charlie, $d 1889-1977|~|Charles Chaplin Productions",,,United Artists Corporation,,Gold rush (Motion picture : 1925),zxx,"University of California, Los Angeles. Library. Performing Arts Special Collections",,,,,,pasc_195_ 239_ 5_ 59,1 photograph : b&w,8 x 10 in.,Charlie Chaplin and crew members on the set of The Gold Rush,1924-02/1925-04,,"[between February, 1924 and April, 1925]",,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=4232828,https://oac.cdlib.org/findaid/ark:/13030/kt9779q7sn/,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001nt0c1,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001nt0c1/manifest
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001nt0dj,ark:/21198/zz0015w23z,2,Completed,Work,mpstills/masters/21198-zz001nt0dj-1-master.tif,,,,,,private,still image,Black-and-white photographs|~|Silent films|~|Comedy-drama films,copyrighted,unknown,,,"Chaplin, Charlie, $d 1889-1977","Chaplin, Charlie, $d 1889-1977|~|Murray, Tom, $d 1874-1935","Chaplin, Charlie, $d 1889-1977|~|Charles Chaplin Productions",,,United Artists Corporation,,Gold rush (Motion picture : 1925),eng,"University of California, Los Angeles. Library. Performing Arts Special Collections",,,,,,pasc_195_ 239_ 5_ 6,1 photograph : b&w,8 x 10 in.,Tom Murray and Charlie Chaplin in The Gold Rush,1924-02/1925-04,"Charlie Chaplin in ""GOLD RUSH""Produced, Directed and Written by Charles Chaplin","[between February, 1924 and April, 1925]",,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=4232828,https://oac.cdlib.org/findaid/ark:/13030/kt9779q7sn/,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001nt0dj,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001nt0dj/manifest
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001nt0f2,ark:/21198/zz0015w23z,2,Completed,Work,mpstills/masters/21198-zz001nt0f2-1-master.tif,,,,,,private,still image,Black-and-white photographs|~|Silent films|~|Comedy-drama films,copyrighted,unknown,,,"Chaplin, Charlie, $d 1889-1977","Chaplin, Charlie, $d 1889-1977","Chaplin, Charlie, $d 1889-1977|~|Charles Chaplin Productions",,,United Artists Corporation,,Gold rush (Motion picture : 1925),zxx,"University of California, Los Angeles. Library. Performing Arts Special Collections",,,,,,pasc_195_ 239_ 5_ 60,1 photograph : b&w,8 x 10 in.,Charlie Chaplin and extras in The Gold Rush,1924-02/1925-04,,"[between February, 1924 and April, 1925]",,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=4232828,https://oac.cdlib.org/findaid/ark:/13030/kt9779q7sn/,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001nt0f2,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001nt0f2/manifest
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001nt0gk,ark:/21198/zz0015w23z,2,Completed,Work,mpstills/masters/21198-zz001nt0gk-1-master.tif,,,,,,private,still image,Black-and-white photographs|~|Comedy-drama films|~|Silent films,copyrighted,unknown,,,"Chaplin, Charlie, $d 1889-1977","Chaplin, Lita Grey, $d 1908-1995","Chaplin, Charlie, $d 1889-1977|~|Charles Chaplin Productions",,,United Artists Corporation,,Gold rush (Motion picture : 1925),zxx,"University of California, Los Angeles. Library. Performing Arts Special Collections",,,,,,pasc_195_ 239_ 5_ 61,1 photograph : b&w,8 x 10 in.,Lita Grey on the set of The Gold Rush,1924-02/1925-04,,"[between February, 1924 and April, 1925]",,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=4232828,https://oac.cdlib.org/findaid/ark:/13030/kt9779q7sn/,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001nt0gk,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001nt0gk/manifest
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001nt0h3,ark:/21198/zz0015w23z,2,Completed,Work,mpstills/masters/21198-zz001nt0h3-1-master.tif,,,,,,private,still image,Black-and-white photographs|~|Silent films|~|Comedy-drama films,copyrighted,unknown,,,"Chaplin, Charlie, $d 1889-1977","Chaplin, Charlie, $d 1889-1977","Chaplin, Charlie, $d 1889-1977|~|Charles Chaplin Productions",,,United Artists Corporation,,Gold rush (Motion picture : 1925),zxx,"University of California, Los Angeles. Library. Performing Arts Special Collections",,,,,,pasc_195_ 239_ 5_ 62,1 photograph : b&w,8 x 10 in.,Charlie Chaplin on the set of The Gold Rush,1924-02/1925-04,,"[between February, 1924 and April, 1925]",,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=4232828,https://oac.cdlib.org/findaid/ark:/13030/kt9779q7sn/,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001nt0h3,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001nt0h3/manifest
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001nt0jm,ark:/21198/zz0015w23z,2,Completed,Work,mpstills/masters/21198-zz001nt0jm-1-master.tif,,,,,,private,still image,Black-and-white photographs|~|Silent films|~|Comedy-drama films,copyrighted,unknown,,,"Chaplin, Charlie, $d 1889-1977","Chaplin, Charlie, $d 1889-1977","Chaplin, Charlie, $d 1889-1977|~|Charles Chaplin Productions",,,United Artists Corporation,,Gold rush (Motion picture : 1925),zxx,"University of California, Los Angeles. Library. Performing Arts Special Collections",,,,,,pasc_195_ 239_ 5_ 63,1 photograph : b&w,8 x 10 in.,Charlie Chaplin and extras in The Gold Rush,1924-02/1925-04,,"[between February, 1924 and April, 1925]",,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=4232828,https://oac.cdlib.org/findaid/ark:/13030/kt9779q7sn/,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001nt0jm,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001nt0jm/manifest
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001nt0k4,ark:/21198/zz0015w23z,2,Completed,Work,mpstills/masters/21198-zz001nt0k4-1-master.tif,,,,,,private,still image,Black-and-white photographs|~|Silent films|~|Comedy-drama films,copyrighted,unknown,,,"Chaplin, Charlie, $d 1889-1977","Chaplin, Charlie, $d 1889-1977","Chaplin, Charlie, $d 1889-1977|~|Charles Chaplin Productions",,,United Artists Corporation,,Gold rush (Motion picture : 1925),zxx,"University of California, Los Angeles. Library. Performing Arts Special Collections",,,,,,pasc_195_ 239_ 5_ 64,1 photograph : b&w,8 x 10 in.,Charlie Chaplin and extras in The Gold Rush,1924-02/1925-04,,"[between February, 1924 and April, 1925]",,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=4232828,https://oac.cdlib.org/findaid/ark:/13030/kt9779q7sn/,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001nt0k4,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001nt0k4/manifest
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001nt0mn,ark:/21198/zz0015w23z,2,Completed,Work,mpstills/masters/21198-zz001nt0mn-1-master.tif,,,,,,private,still image,Black-and-white photographs|~|Silent films|~|Comedy-drama films,copyrighted,unknown,,,"Chaplin, Charlie, $d 1889-1977","Chaplin, Charlie, $d 1889-1977|~|Grauman, Sid, $d 1879-1950|~|Chaplin, Lita Grey, $d 1908-1995","Chaplin, Charlie, $d 1889-1977|~|Charles Chaplin Productions",,,United Artists Corporation,,Gold rush (Motion picture : 1925),zxx,"University of California, Los Angeles. Library. Performing Arts Special Collections",,,,,,pasc_195_ 239_ 5_ 65,1 photograph : b&w,8 x 10 in.,"Lita Grey, Sid Grauman, and Charlie Chaplin on the set of The Gold Rush",1924-02/1925-04,,"[between February, 1924 and April, 1925]",,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=4232828,https://oac.cdlib.org/findaid/ark:/13030/kt9779q7sn/,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001nt0mn,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001nt0mn/manifest
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001nt0n5,ark:/21198/zz0015w23z,2,Completed,Work,mpstills/masters/21198-zz001nt0n5-1-master.tif,,,,,,private,still image,Black-and-white photographs|~|Silent films|~|Comedy-drama films,copyrighted,unknown,,,"Chaplin, Charlie, $d 1889-1977","Chaplin, Charlie, $d 1889-1977|~|Murray, Tom, $d 1874-1935","Chaplin, Charlie, $d 1889-1977|~|Charles Chaplin Productions",,,United Artists Corporation,,Gold rush (Motion picture : 1925),eng,"University of California, Los Angeles. Library. Performing Arts Special Collections",,,,,,pasc_195_ 239_ 5_ 7,1 photograph : b&w,8 x 10 in.,Tom Murray and Charlie Chaplin in The Gold Rush,1924-02/1925-04,"CHARLIE CHAPLIN in ""THE GOLD RUSH""Written, Produced and Directed by Charles ChaplinMusic and Words by Charles ChaplinRe-Released by LOPERT FILMS, INC.","[between February, 1924 and April, 1925]",,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=4232828,https://oac.cdlib.org/findaid/ark:/13030/kt9779q7sn/,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001nt0n5,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001nt0n5/manifest
