Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Thumbnail,viewingHint,Visibility,Type.typeOfResource,Type.genre,Rights.copyrightStatus,Rights.publicationStatus,Rights.permission,Name.actor,Name.director,Name.subject,Name.producer,Name.photographer,Name.costumeDesigner,Name.distributor,Subject.descriptiveTopic,AltTitle.uniform,Language,Name.repository,Name.cinematographer,Subject,Subject.geographicPlace,Name.artDirector,Name.setDesigner,Alt ID.local,Format.extent,Format.dimensions,Title,Date.normalized,Description.caption,Date.creation,Description.note,AltTitle.other,Description.abstract,Opac url,Finding Aid URL,Bucketeer State,IIIF Access URL,IIIF Manifest URL
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001np1hs,ark:/21198/zz0015w23z,2,Completed,Work,mpstills/masters/21198-zz001np1hs-1-master.tif,,,,,,private,still image,Black-and-white photographs|~|Western films,copyrighted,unknown,,"Walburn, Raymond, $d 1887-1969|~|Hicks, Russell, $d 1895-1957|~|Davidson, William, $d 1888-1947|~|Elliott, William|~|Ralston, Vera, $d 1921-2003|~|Schunzel, Reinhold, $d 1888-1954","Kane, Joseph, $d 1894-1975",,Republic Pictures Corporation,,,Republic Pictures Corporation,,Plainsman And The Lady (Motion picture),eng,"University of California, Los Angeles. Library. Performing Arts Special Collections",,,,,,pasc_195_ 733_ 13_ 2,1 photograph : b&w,8 x 10 in.,"William Elliott, Vera Ralston, Reinhold Schunzel, William Davidson, Russell Hicks, and Raymond Walburn in Plainsman And The Lady",1946-04/1946-05,"REPUBLIC PICTURES presents ""THE PLAINSMAN AND THE LADY"" starring WILLIAM ELLIOT, VERA RALSTON, GAIL PATRICK, JOSEPH SCHILDKRAUT with ANDY CLYDE, DONALD BARRY, RAYMOND WALBURN.",between April and May 1946,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=4232828,https://oac.cdlib.org/findaid/ark:/13030/kt9779q7sn/,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001np1hs,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001np1hs/manifest
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001np1j9,ark:/21198/zz0015w23z,2,Completed,Work,mpstills/masters/21198-zz001np1j9-1-master.tif,,,,,,private,still image,Black-and-white photographs|~|Western films,copyrighted,unknown,,"Elliott, William|~|Schildkraut, Joseph, $d 1895-1964|~|Patrick, Gail, $d 1911-1980","Kane, Joseph, $d 1894-1975",,Republic Pictures Corporation,,,Republic Pictures Corporation,,Plainsman And The Lady (Motion picture),eng,"University of California, Los Angeles. Library. Performing Arts Special Collections",,,,,,pasc_195_ 733_ 13_ 3,1 photograph : b&w,8 x 10 in.,"William Elliott, Gail Patrick, and Joseph Schildkraut in Plainman And The Lady",1946-04/1946-05,"REPUBLIC PICTURES presents ""THE PLAINSMAN AND THE LADY"" starring WILLIAM ELLIOT, VERA RALSTON, GAIL PATRICK, JOSEPH SCHILDKRAUT with ANDY CLYDE, DONALD BARRY, RAYMOND WALBURN.",between April and May 1946,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=4232828,https://oac.cdlib.org/findaid/ark:/13030/kt9779q7sn/,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001np1j9,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001np1j9/manifest
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001np1kt,ark:/21198/zz0015w23z,2,Completed,Work,mpstills/masters/21198-zz001np1kt-1-master.tif,,,,,,private,still image,Black-and-white photographs|~|Western films,copyrighted,unknown,,"Barry, Donald, $d 1912-1980|~|Schildkraut, Joseph, $d 1895-1964","Kane, Joseph, $d 1894-1975",,Republic Pictures Corporation,,,Republic Pictures Corporation,,Plainsman And The Lady (Motion picture),eng,"University of California, Los Angeles. Library. Performing Arts Special Collections",,,,,,pasc_195_ 733_ 13_ 4,1 photograph : b&w,8 x 10 in.,Donald Barry and Joseph Schildkraut in Plainsman And The Lady,1946-04/1946-05,"REPUBLIC PICTURES presents ""THE PLAINSMAN AND THE LADY"" starring WILLIAM ELLIOT, VERA RALSTON, GAIL PATRICK, JOSEPH SCHILDKRAUT with ANDY CLYDE, DONALD BARRY, RAYMOND WALBURN.",between April and May 1946,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=4232828,https://oac.cdlib.org/findaid/ark:/13030/kt9779q7sn/,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001np1kt,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001np1kt/manifest
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001np1mb,ark:/21198/zz0015w23z,2,Completed,Work,mpstills/masters/21198-zz001np1mb-1-master.tif,,,,,,private,still image,Black-and-white photographs|~|Western films,copyrighted,unknown,,"Elliott, William|~|Schildkraut, Joseph, $d 1895-1964|~|Patrick, Gail, $d 1911-1980","Kane, Joseph, $d 1894-1975",,Republic Pictures Corporation,,,Republic Pictures Corporation,,Plainsman And The Lady (Motion picture),eng,"University of California, Los Angeles. Library. Performing Arts Special Collections",,,,,,pasc_195_ 733_ 13_ 5,1 photograph : b&w,8 x 10 in.,"Joseph Schildkraut, Gail Patrick, and William Elliott in Plainsman And The Lady",1946-04/1946-05,"REPUBLIC PICTURES presents ""THE PLAINSMAN AND THE LADY"" starring WILLIAM ELLIOT, VERA RALSTON, GAIL PATRICK, JOSEPH SCHILDKRAUT with ANDY CLYDE, DONALD BARRY, RAYMOND WALBURN.",between April and May 1946,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=4232828,https://oac.cdlib.org/findaid/ark:/13030/kt9779q7sn/,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001np1mb,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001np1mb/manifest
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001np1nv,ark:/21198/zz0015w23z,2,Completed,Work,mpstills/masters/21198-zz001np1nv-1-master.tif,,,,,,private,still image,Black-and-white photographs|~|Western films,copyrighted,unknown,,"Schildkraut, Joseph, $d 1895-1964|~|Patrick, Gail, $d 1911-1980","Kane, Joseph, $d 1894-1975",,Republic Pictures Corporation,,,Republic Pictures Corporation,,Plainsman And The Lady (Motion picture),eng,"University of California, Los Angeles. Library. Performing Arts Special Collections",,,,,,pasc_195_ 733_ 13_ 6,1 photograph : b&w,8 x 10 in.,Gail Patrick and Joseph Schildkraut in Plainsman And The Lady,1946-04/1946-05,"REPUBLIC PICTURES presents ""THE PLAINSMAN AND THE LADY"" starring WILLIAM ELLIOT, VERA RALSTON, GAIL PATRICK, JOSEPH SCHILDKRAUT with ANDY CLYDE, DONALD BARRY, RAYMOND WALBURN.",between April and May 1946,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=4232828,https://oac.cdlib.org/findaid/ark:/13030/kt9779q7sn/,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001np1nv,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001np1nv/manifest
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001np1pc,ark:/21198/zz0015w23z,2,Completed,Work,mpstills/masters/21198-zz001np1pc-1-master.tif,,,,,,private,still image,Black-and-white photographs|~|Western films,copyrighted,unknown,,"Elliott, William|~|Clyde, Andy, $d 1892-1967","Kane, Joseph, $d 1894-1975",,Republic Pictures Corporation,,,Republic Pictures Corporation,,Plainsman And The Lady (Motion picture),eng,"University of California, Los Angeles. Library. Performing Arts Special Collections",,,,,,pasc_195_ 733_ 13_ 7,1 photograph : b&w,8 x 10 in.,William Elliott and Andy Clyde in Plainsman And The Lady,1946-04/1946-05,"REPUBLIC PICTURES presents ""THE PLAINSMAN AND THE LADY"" starring WILLIAM ELLIOT, VERA RALSTON, GAIL PATRICK, JOSEPH SCHILDKRAUT with ANDY CLYDE, DONALD BARRY, RAYMOND WALBURN.",between April and May 1946,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=4232828,https://oac.cdlib.org/findaid/ark:/13030/kt9779q7sn/,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001np1pc,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001np1pc/manifest
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001np26m,ark:/21198/zz0015w23z,2,Completed,Work,mpstills/masters/21198-zz001np26m-1-master.tif,,,,,,private,still image,Black-and-white photographs|~|Drama films,copyrighted,unknown,,"Clark, Dane, $d 1912-1998","Schuster, Harold D., 1902-1986",,"Broidy (William F.) Productions, inc., Hollywood, Calif.",,,Allied Artists Pictures Corp.,,Port Of Hell (Motion picture),eng,"University of California, Los Angeles. Library. Performing Arts Special Collections",,,,,,pasc_195_ 474_ 9_ 20,1 photograph : b&w,8 x 10 in.,Dane Clark and another cast member in Port of Hell,1954-07,"Allied Artists Presents Port of Hell, starring Dane Clark, Carole Mathews, Wayne Morris, with Marshall Thompson, Marjorie Lord.",July 1954,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=4232828,https://oac.cdlib.org/findaid/ark:/13030/kt9779q7sn/,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001np26m,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001np26m/manifest
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001np2gr,ark:/21198/zz0015w23z,2,Completed,Work,mpstills/masters/21198-zz001np2gr-1-master.tif,,,,,,private,still image,Black-and-white photographs|~|Drama films,copyrighted,unknown,,"Stevens, K. T., $d 1919-1994","Benedek, Laslo, $1905-1992",,Contemporary Productions,,,"Eagle-Lion Films, Inc.",,Port Of New York (Motion picture),eng,"University of California, Los Angeles. Library. Performing Arts Special Collections",,,,,,pasc_195_ 765_ 14_ 1,1 photograph : b&w,8 x 10 in.,K.T. Stevens in Port Of New York,1949,PORT OF NEW YORK,1949,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=4232828,https://oac.cdlib.org/findaid/ark:/13030/kt9779q7sn/,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001np2gr,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001np2gr/manifest
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001np2h8,ark:/21198/zz0015w23z,10,Completed with minimal metadata,Work,mpstills/masters/21198-zz001np2h8-1-master.tif,,,,,,private,still image,Black-and-white photographs,copyrighted,unknown,,,,,,,,,,Port Of New York (Motion picture),zxx,"University of California, Los Angeles. Library. Performing Arts Special Collections",,,,,,pasc_195_ 765_ 14_ 2,1 photograph : b&w,8 x 10 in.,PORT OF NEW YORK,,,,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=4232828,https://oac.cdlib.org/findaid/ark:/13030/kt9779q7sn/,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001np2h8,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001np2h8/manifest
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001np2js,ark:/21198/zz0015w23z,10,Completed with minimal metadata,Work,mpstills/masters/21198-zz001np2js-1-master.tif,,,,,,private,still image,Black-and-white photographs,copyrighted,unknown,,,,,,,,,,Port Of New York (Motion picture),zxx,"University of California, Los Angeles. Library. Performing Arts Special Collections",,,,,,pasc_195_ 765_ 14_ 3,1 photograph : b&w,8 x 10 in.,PORT OF NEW YORK,,,,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=4232828,https://oac.cdlib.org/findaid/ark:/13030/kt9779q7sn/,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001np2js,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001np2js/manifest
