Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Thumbnail,viewingHint,Visibility,Type.typeOfResource,Type.genre,Rights.copyrightStatus,Rights.publicationStatus,Rights.permission,Name.actor,Name.director,Name.subject,Name.producer,Name.photographer,Name.costumeDesigner,Name.distributor,Subject.descriptiveTopic,AltTitle.uniform,Language,Name.repository,Name.cinematographer,Subject,Subject.geographicPlace,Name.artDirector,Name.setDesigner,Alt ID.local,Format.extent,Format.dimensions,Title,Date.normalized,Description.caption,Date.creation,Description.note,AltTitle.other,Description.abstract,Opac url,Finding Aid URL,Bucketeer State,IIIF Access URL,IIIF Manifest URL
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz0015w23z,,10,Completed with minimal metadata,Collection,,,,,,,private,still image,Black-and-white photographs|~|color photographs,copyrighted,unknown,,,,,,,,,,,,"University of California, Los Angeles. Library. Performing Arts Special Collections",,,,,,,,,"Motion Picture Stills, 1903-",1920/2000,,1920-,,,American motion picture film stills; includes black and white photographs and some color prints and slides; also includes publicity stills from various studios. The bulk of the collection dates from the early 1920s on.,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=4232828,https://oac.cdlib.org/findaid/ark:/13030/kt9779q7sn/,,,https://iiif.library.ucla.edu/collections/ark%3A%2F21198%2Fzz0015w23z
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001d0xcd,ark:/21198/zz0015w23z,1,In progress,Work,,1,,,,,private,still image,Black-and-white photographs,copyrighted,,N,,,,,,,,,,,"University of California, Los Angeles. Library. Performing Arts Special Collections",,Motion pictures -- Production and direction,,,,uclapasc_195_b1_1,1 photograph : b&w,8 x 10 in.,sample record (B&W print),1952,,1952,Set photo from On the Waterfront.,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=4232828,https://oac.cdlib.org/findaid/ark:/13030/kt9779q7sn/,missing,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001d0xcd/manifest
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001d1266,ark:/21198/zz0015w23z,1,In progress,Work,,,,,,,private,still image,color photographs,copyrighted,,N,,,,,,,,,,,"University of California, Los Angeles. Library. Performing Arts Special Collections",,Motion pictures -- Production and direction,,,,uclamus_195_b1_001,1 photograph : color,8 x 10 in.,sample record (color print),1952,,1952,Set photo from On the Waterfront.,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=4232828,https://oac.cdlib.org/findaid/ark:/13030/kt9779q7sn/,missing,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001d1266/manifest
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001d2n4t,ark:/21198/zz0015w23z,7,Needs Review,Work,mpstills/masters/21198-zz001d2n4t_759773_master.tif,,,,,,private,,Black-and-white photographs,copyrighted,,,,,,,,,,,,,,,,,,,uclapasc_195_f.2394_Brent and Best,,,Spiral Staircase,,,1946,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=4232828,https://oac.cdlib.org/findaid/ark:/13030/kt9779q7sn/,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d2n4t,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001d2n4t/manifest
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001d2n5b,ark:/21198/zz0015w23z,7,Needs Review,Work,mpstills/masters/21198-zz001d2n5b_759786_master.tif,,,,,,private,,Black-and-white photographs,copyrighted,,,,,,,,,,,,,,,,,,,uclapasc_195_f.2394_McGuire,,,Spiral Staircase,,,1946,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=4232828,https://oac.cdlib.org/findaid/ark:/13030/kt9779q7sn/,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d2n5b,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001d2n5b/manifest
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001d3551,ark:/21198/zz0015w23z,7,Needs Review,Work,mpstills/masters/21198-zz001d3551_761031_master.tif,,,,,,private,,Black-and-white photographs,copyrighted,,,,,,,,,,,,,,,,,,,PASC_195_f1443,,8 x 10 in.,"Gary Cooper, Ray Milland and Robert Preston in Beau Geste",,,,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=4232828,https://oac.cdlib.org/findaid/ark:/13030/kt9779q7sn/,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d3551,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001d3551/manifest
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001d35gp,ark:/21198/zz0015w23z,1,In progress,Work,,,,,,,private,still image,Black-and-white photographs,copyrighted,unknown,,"Gish, Lillian, $d 1893-1993","Griffith, D. W. (David Wark), 1875-1948",,Biograph Company,,,,,,,"University of California, Los Angeles. Library. Performing Arts Special Collections",,,,,,pasc_195_f1815,1 photograph : b&w,8 x 10 in.,Lillian Gish from Musketeers of Pig Alley,1912,,ca. 1912,Two copies of image in folder.,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=4232828,https://oac.cdlib.org/findaid/ark:/13030/kt9779q7sn/,missing,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001d35gp/manifest
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001d35h6,ark:/21198/zz0015w23z,1,In progress,Work,,,,,,,private,still image,Black-and-white photographs,copyrighted,,unknown,,"Horne, James W., 1880-1942",,Kalem Co.; Broadway Favorites,,,,,Barnstormers (Motion picture : 1915),,"University of California, Los Angeles. Library. Performing Arts Special Collections",,,,,,pasc_195_f2894_1,1 photograph : b&w,8 x 10 in.,Film still from The Barnstormers,1915,,ca. 1915,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=4232828,https://oac.cdlib.org/findaid/ark:/13030/kt9779q7sn/,missing,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001d35h6/manifest
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001d35jq,ark:/21198/zz0015w23z,1,In progress,Work,,,,,,,private,still image,Black-and-white photographs,copyrighted,unknown,,,"Horne, James W., 1880-1942",,Kalem Co.; Broadway Favorites,,,,,Barnstormers (Motion picture : 1915),,"University of California, Los Angeles. Library. Performing Arts Special Collections",,,,,,pasc_195_f2894_3,1 photograph : b&w,8 x 10 in.,Two actors in auto wreck scene from The Barnstormers,1915,,ca. 1915,Two copies of image in folder.,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=4232828,https://oac.cdlib.org/findaid/ark:/13030/kt9779q7sn/,missing,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001d35jq/manifest
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001d35k7,ark:/21198/zz0015w23z,1,In progress,Work,,,,,,,private,still image,Black-and-white photographs,copyrighted,unknown,,,"Horne, James W., 1880-1942",,Kalem Co.; Broadway Favorites,,,,,Barnstormers (Motion picture : 1915),,"University of California, Los Angeles. Library. Performing Arts Special Collections",,,,,,pasc_195_f2894_4,1 photograph: b&W,8 x 10 in.,Film still from The Barnstormers,1915,,ca. 1915,Five copies of image in folder.,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=4232828,https://oac.cdlib.org/findaid/ark:/13030/kt9779q7sn/,missing,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001d35k7/manifest
