"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Visibility","viewingHint","Delete in Title","Subject topic","Thumbnail","Type.typeOfResource","Type.genre","Rights.copyrightStatus","Rights.permission","Rights.publicationStatus","Coverage.geographic","Name.photographer","Author","Name.subject","Subject","Subject.conceptTopic","Language","Rights.permissionNote","Name.creator","Rights.publicationNote","Text direction","IIIF Range","Name.repository","Title","Date.creation","Description.note","Summary","Description.caption","Date.normalized","Description.abstract","Date.created","AltTitle.other","Opac url","Finding Aid URL","Bucketeer State","IIIF Access URL"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015r91h","ark:/21198/zz0015r900","2","Completed","Page","scwu/images/masters/21198-zz0015r91h-1-master.tif","1","","","","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015r91h"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015r93j","ark:/21198/zz0015r921","2","Completed","Page","scwu/images/masters/21198-zz0015r93j-1-master.tif","1","","","","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015r93j"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015r95k","ark:/21198/zz0015r942","2","Completed","Page","scwu/images/masters/21198-zz0015r95k-1-master.tif","1","","","","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015r95k"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015r984","ark:/21198/zz0015r942","2","Completed","Page","scwu/images/masters/21198-zz0015r984-1-master.tif","2","","","","","","","","","","","","","","","","","","","","","","","","","Page 2","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015r984"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015r97m","ark:/21198/zz0015r963","2","Completed","Page","scwu/images/masters/21198-zz0015r97m-1-master.tif","1","","","","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015r97m"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015r99n","ark:/21198/zz0015r963","2","Completed","Page","scwu/images/masters/21198-zz0015r99n-1-master.tif","2","","","","","","","","","","","","","","","","","","","","","","","","","Page 2","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015r99n"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015r9b5","ark:/21198/zz0015r963","2","Completed","Page","scwu/images/masters/21198-zz0015r9b5-1-master.tif","3","","","","","","","","","","","","","","","","","","","","","","","","","Page 3","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015r9b5"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015r9cp","ark:/21198/zz0015r963","2","Completed","Page","scwu/images/masters/21198-zz0015r9cp-1-master.tif","4","","","","","","","","","","","","","","","","","","","","","","","","","Page 4","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015r9cp"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015r9d6","ark:/21198/zz0015r963","2","Completed","Page","scwu/images/masters/21198-zz0015r9d6-1-master.tif","5","","","","","","","","","","","","","","","","","","","","","","","","","Page 5","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015r9d6"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015r9fq","ark:/21198/zz0015r963","2","Completed","Page","scwu/images/masters/21198-zz0015r9fq-1-master.tif","6","","","","","","","","","","","","","","","","","","","","","","","","","Page 6","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015r9fq"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015r9g7","ark:/21198/zz0015r963","2","Completed","Page","scwu/images/masters/21198-zz0015r9g7-1-master.tif","7","","","","","","","","","","","","","","","","","","","","","","","","","Page 7","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015r9g7"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015r9hr","ark:/21198/zz0015r963","2","Completed","Page","scwu/images/masters/21198-zz0015r9hr-1-master.tif","8","","","","","","","","","","","","","","","","","","","","","","","","","Page 8","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015r9hr"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015r9ks","ark:/21198/zz0015r9j8","2","Completed","Page","scwu/images/masters/21198-zz0015r9ks-1-master.tif","1","","","","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015r9ks"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015r9m9","ark:/21198/zz0015r9j8","2","Completed","Page","scwu/images/masters/21198-zz0015r9m9-1-master.tif","2","","","","","","","","","","","","","","","","","","","","","","","","","Page 2","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015r9m9"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015r9nt","ark:/21198/zz0015r9j8","2","Completed","Page","scwu/images/masters/21198-zz0015r9nt-1-master.tif","3","","","","","","","","","","","","","","","","","","","","","","","","","Page 3","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015r9nt"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015r9pb","ark:/21198/zz0015r9j8","2","Completed","Page","scwu/images/masters/21198-zz0015r9pb-1-master.tif","4","","","","","","","","","","","","","","","","","","","","","","","","","Page 4","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015r9pb"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015r9rc","ark:/21198/zz0015r9qv","2","Completed","Page","scwu/images/masters/21198-zz0015r9rc-1-master.tif","1","","","","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015r9rc"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015r9sw","ark:/21198/zz0015r9qv","2","Completed","Page","scwu/images/masters/21198-zz0015r9sw-1-master.tif","2","","","","","","","","","","","","","","","","","","","","","","","","","Page 2","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015r9sw"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015r9td","ark:/21198/zz0015r9qv","2","Completed","Page","scwu/images/masters/21198-zz0015r9td-1-master.tif","3","","","","","","","","","","","","","","","","","","","","","","","","","Page 3","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015r9td"
