"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Thumbnail","Type.typeOfResource","Rights.copyrightStatus","Rights.publicationStatus","Subject","Name.sponsor","Language","Type.genre","Name.repository","Coverage.geographic","Name.cartographer","Name.compiler","Name.subject","Publisher.publisherName","Description.note","Title","Date.creation","Alt ID.local","Publisher.placeOfOrigin","Date.normalized","Format.extent","Relation.isPartOf","Format.dimensions","Description.abstract","AltTitle.other","Finding Aid URL","Opac URL","Bucketeer State","IIIF Access URL"
"Pamphlet Maps Collection 1750-","ark:/21198/zz001d17k9/7165hm70","ark:/21198/zz001d17k9","","","Page","Masters/Maps/pamphletmaps/masters/21198-zz001d17k9_756323_master.tif","1","","","","","","","","","","","","","","","","","","Page 1","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d17k9%2F7165hm70"
"Pamphlet Maps Collection 1750-","ark:/21198/zz001d17k9/bn80d32w","ark:/21198/zz001d17k9","","","Page","Masters/Maps/pamphletmaps/masters/21198-zz001d17k9_756375_master.tif","2","","","","","","","","","","","","","","","","","","Page 2","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d17k9%2Fbn80d32w"
"Pamphlet Maps Collection 1750-","ark:/21198/zz001d1ch6/6647f48x","ark:/21198/zz001d1ch6","","","Page","Masters/Maps/pamphletmaps/masters/21198-zz001d1ch6_756432_master.tif","2","","","","","","","","","","","","","","","","","","Page 2","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d1ch6%2F6647f48x"
"Pamphlet Maps Collection 1750-","ark:/21198/zz001d1ch6/gr94b735","ark:/21198/zz001d1ch6","","","Page","Masters/Maps/pamphletmaps/masters/21198-zz001d1ch6_756388_master.tif","1","","","","","","","","","","","","","","","","","","Page 1","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d1ch6%2Fgr94b735"
"Pamphlet Maps Collection 1750-","ark:/21198/zz001d1csb/fn85mg6h","ark:/21198/zz001d1csb","","","Page","Masters/Maps/pamphletmaps/masters/21198-zz001d1csb_756466_master.tif","1","","","","","","","","","","","","","","","","","","Page 1","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d1csb%2Ffn85mg6h"
"Pamphlet Maps Collection 1750-","ark:/21198/zz001d1csb/g637cc5j","ark:/21198/zz001d1csb","","","Page","Masters/Maps/pamphletmaps/masters/21198-zz001d1csb_756496_master.tif","2","","","","","","","","","","","","","","","","","","Page 2","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d1csb%2Fg637cc5j"
"Pamphlet Maps Collection 1750-","ark:/21198/zz001d1ftt/0x21rw7c","ark:/21198/zz001d1ftt","","","Page","Masters/Maps/pamphletmaps/masters/21198-zz001d1ftt_756523_master.tif","2","","","","","","","","","","","","","","","","","","Page 2","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d1ftt%2F0x21rw7c"
"Pamphlet Maps Collection 1750-","ark:/21198/zz001d1ftt/hm70wh9x","ark:/21198/zz001d1ftt","","","Page","Masters/Maps/pamphletmaps/masters/21198-zz001d1ftt_756512_master.tif","1","","","","","","","","","","","","","","","","","","Page 1","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d1ftt%2Fhm70wh9x"
"Pamphlet Maps Collection 1750-","ark:/21198/zz001d1fxc/hz149c25","ark:/21198/zz001d1fxc","","","Page","Masters/Maps/pamphletmaps/masters/21198-zz001d1fxc_756547_master.tif","2","","","","","","","","","","","","","","","","","","Page 2","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d1fxc%2Fhz149c25"
"Pamphlet Maps Collection 1750-","ark:/21198/zz001d1fxc/q113tp8t","ark:/21198/zz001d1fxc","","","Page","Masters/Maps/pamphletmaps/masters/21198-zz001d1fxc_756532_master.tif","1","","","","","","","","","","","","","","","","","","Page 1","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d1fxc%2Fq113tp8t"
"Pamphlet Maps Collection 1750-","ark:/21198/zz001d1g2x/0s20nm3c","ark:/21198/zz001d1g2x","","","Page","Masters/Maps/pamphletmaps/masters/21198-zz001d1g2x_756558_master.tif","1","","","","","","","","","","","","","","","","","","Page 1","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d1g2x%2F0s20nm3c"
"Pamphlet Maps Collection 1750-","ark:/21198/zz001d1g2x/8g72kn2h","ark:/21198/zz001d1g2x","","","Page","Masters/Maps/pamphletmaps/masters/21198-zz001d1g2x_756568_master.tif","2","","","","","","","","","","","","","","","","","","Page 2","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d1g2x%2F8g72kn2h"
"Pamphlet Maps Collection 1750-","ark:/21198/zz001d1g81/1w40zt8s","ark:/21198/zz001d1g81","","","Page","Masters/Maps/pamphletmaps/masters/21198-zz001d1g81_756670_master.tif","2","","","","","","","","","","","","","","","","","","Page 2","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d1g81%2F1w40zt8s"
"Pamphlet Maps Collection 1750-","ark:/21198/zz001d1g81/52520c5d","ark:/21198/zz001d1g81","","","Page","Masters/Maps/pamphletmaps/masters/21198-zz001d1g81_756643_master.tif","1","","","","","","","","","","","","","","","","","","Page 1","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d1g81%2F52520c5d"
