Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Visibility,viewingHint,Delete in Title,Subject topic,Thumbnail,Type.typeOfResource,Type.genre,Rights.copyrightStatus,Rights.permission,Rights.publicationStatus,Coverage.geographic,Name.photographer,Author,Name.subject,Subject,Subject.conceptTopic,Language,Rights.permissionNote,Name.creator,Rights.publicationNote,Text direction,IIIF Range,Name.repository,Title,Date.creation,Description.note,Summary,Description.caption,Date.normalized,Description.abstract,Date.created,AltTitle.other,Opac url,Finding Aid URL,IIIF Manifest URL
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz001608mc,ark:/21198/zz000s2z5v,2,Completed,Work,,1,,,individuals,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001608pd,text,,copyrighted,Y,unpublished,Los Angeles (Calif.),,,,Personal Profile Questionnaires,"Lesbians $z California $z Los Angeles|~|Homophobia|~|Discrimination|~|Lesbians--Religion|~|Lesbians--Education|~|Lesbians--Research|~|Lesbians--Politics, Practical|~|Marital Status|~|Coming out (Sexual orientation)|~|Lesbians--Employment",eng,,,,,,,Questionnaire 1,1977-1978,,,,1977/1978,,,,,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001608mc/manifest
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz00160bx0,ark:/21198/zz000s2z5v,2,Completed,Work,,2,,,individuals,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00160cmt,text,,copyrighted,Y,unpublished,Los Angeles (Calif.),,,,Personal Profile Questionnaires,"Lesbians $z California $z Los Angeles|~|Homophobia|~|Discrimination|~|Lesbians--Religion|~|Lesbians--Education|~|Lesbians--Politics, Practical|~|Marital Status|~|Coming out (Sexual orientation)|~|Lesbians--Employment",eng,,,,,,,Questionnaire 2,1977-1978,,,,1977/1978,,,,,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00160bx0/manifest
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz00160kzw,ark:/21198/zz000s2z5v,2,Completed,Work,,3,,,individuals,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00160mkp,text,,copyrighted,Y,unpublished,"Los Angeles (Calif.)|~|North Hollywood (Los Angeles, Calif.)",,,,Personal Profile Questionnaires,"Lesbians $z California $z Los Angeles|~|Homophobia|~|Discrimination|~|Lesbians--Religion|~|Lesbians--Education|~|Lesbians--Politics, Practical|~|Marital Status|~|Coming out (Sexual orientation)|~|Lesbians--Employment",eng,,,,,,,Questionnaire 3,1977-1978,,,,1977/1978,,,,,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00160kzw/manifest
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz00160m0w,ark:/21198/zz000s2z5v,2,Completed,Work,,4,,,individuals,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00160mqr,text,,copyrighted,Y,unpublished,Ann Arbor (Mich.),,,,Personal Profile Questionnaires,"Lesbians $z California $z Los Angeles|~|Homophobia|~|Discrimination|~|Lesbians--Religion|~|Lesbians--Education|~|Lesbians--Politics, Practical|~|Marital Status|~|Coming out (Sexual orientation)|~|Lesbians--Employment",eng,,,,,,,Questionnaire 4,1977-1978,,,,1977/1978,,,,,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00160m0w/manifest
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz00160m1d,ark:/21198/zz000s2z5v,2,Completed,Work,,5,,,individuals,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00160mvt,text,,copyrighted,Y,unpublished,Cerritos (Calif.),,,,Personal Profile Questionnaires,"Lesbians $z California $z Los Angeles|~|Homophobia|~|Discrimination|~|Lesbians--Religion|~|Lesbians--Education|~|Lesbians--Politics, Practical|~|Marital Status|~|Coming out (Sexual orientation)|~|Lesbians--Employment",eng,,,,,,,Questionnaire 5,1977-1978,,,,1977/1978,,,,,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00160m1d/manifest
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz00160m2x,ark:/21198/zz000s2z5v,2,Completed,Work,,6,,,individuals,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00160n0c,text,,copyrighted,Y,unpublished,Los Angeles (Calif.),,,,Personal Profile Questionnaires,"Lesbians $z California $z Los Angeles|~|Homophobia|~|Discrimination|~|Lesbians--Religion|~|Lesbians--Education|~|Lesbians--Politics, Practical|~|Marital Status|~|Coming out (Sexual orientation)|~|Lesbians--Employment",eng,,,,,,,Questionnaire 6,1977-1978,,,,1977/1978,,,,,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00160m2x/manifest
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz00160m3f,ark:/21198/zz000s2z5v,2,Completed,Work,,7,,,individuals,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00160n4f,text,,copyrighted,Y,unpublished,Los Angeles (Calif.),,,,Personal Profile Questionnaires,"Lesbians $z California $z Los Angeles|~|Homophobia|~|Discrimination|~|Lesbians--Religion|~|Lesbians--Education|~|Lesbians--Politics, Practical|~|Marital Status|~|Coming out (Sexual orientation)|~|Lesbians--Employment",eng,,,,,,,Questionnaire 7,1977-1978,,,,1977/1978,,,,,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00160m3f/manifest
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz00160m4z,ark:/21198/zz000s2z5v,2,Completed,Work,,8,,,individuals,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00160n8h,text,,copyrighted,Y,unpublished,Los Angeles (Calif.),,,,Personal Profile Questionnaires,"Lesbians $z California $z Los Angeles|~|Homophobia|~|Discrimination|~|Lesbians--Religion|~|Lesbians--Education|~|Lesbians--Politics, Practical|~|Marital Status|~|Coming out (Sexual orientation)|~|Lesbians--Employment",eng,,,,,,,Questionnaire 8,1977-1978,,,,1977/1978,,,,,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00160m4z/manifest
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz00160m5g,ark:/21198/zz000s2z5v,2,Completed,Work,,9,,,individuals,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00160ndk,text,,copyrighted,Y,unpublished,Los Angeles (Calif.)|~|Pasadena (Calif.),,,,Personal Profile Questionnaires,"Lesbians $z California $z Los Angeles|~|Homophobia|~|Discrimination|~|Lesbians--Religion|~|Lesbians--Education|~|Lesbians--Politics, Practical|~|Marital Status|~|Coming out (Sexual orientation)|~|Lesbians--Employment",eng,,,,,,,Questionnaire 9,1977-1978,,,,1977/1978,,,,,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00160m5g/manifest
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz00160m60,ark:/21198/zz000s2z5v,2,Completed,Work,,10,,,individuals,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00160p7g,text,,copyrighted,Y,unpublished,Los Angeles (Calif.)|~|Pasadena (Calif.),,,,Personal Profile Questionnaires,"Lesbians $z California $z Los Angeles|~|Homophobia|~|Discrimination|~|Lesbians--Religion|~|Lesbians--Education|~|Lesbians--Politics, Practical|~|Marital Status|~|Coming out (Sexual orientation)|~|Lesbians--Employment",eng,,,,,,,Questionnaire 10,1977-1978,,,,1977/1978,,,,,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00160m60/manifest
