Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Thumbnail,viewingHint,Text direction,Visibility,IIIF Range,Type.typeOfResource,Rights.copyrightStatus,Rights.publicationStatus,Rights.permission,Name.subject,Coverage.geographic,Name.creator,Subject,Rights.publicationNote,Language,Type.genre,Author,Name.contributor,Name.correspondent,Name.repository,Rights.permissionNote,Name.photographer,Title,Date.creation,Date.publication,Description.note,Date.normalized,Description.caption,Description.abstract,IIIF Manifest URL
Women Against Violence Against Women (WAVAW) Collection,ark:/21198/zz00176nk8,ark:/21198/zz000s2z4b,2,Completed,Work,,1,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00176nms,individuals,,,,text,copyrighted,unpublished,Y,Warner Communications Inc.|~|Women Against Violence Against Women |~|Elektra Entertainment|~|Atlantic Records|~|Warner Bros. Records,Los Angeles (Calif.),Women Against Violence Against Women ,Fact Sheets  - WCI Boycott (WAVAW)|~|Boycotts--California--Los Angeles|~|Boycotts--United States|~|Rape|~|Music and violence|~|Sex in mass media|~|Sex role in advertising|~|Sex in advertising,,eng,,,,,June L. Mazer Lesbian Archives,,,Sex and Sex Violence Against Women On Album Covers and In the Advertising of Albums,Between 1976 and 1977,,,1976/1977,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00176nk8/manifest
Women Against Violence Against Women (WAVAW) Collection,ark:/21198/zz00176nqb,ark:/21198/zz000s2z4b,2,Completed,Work,,2,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00176nrv,individuals,,,,text,copyrighted,unpublished,Y,Warner Communications Inc.|~|Women Against Violence Against Women |~|Elektra Entertainment|~|Atlantic Records|~|Warner Bros. Records,Los Angeles (Calif.),Women Against Violence Against Women ,Fact Sheets  - WCI Boycott (WAVAW)|~|Boycotts--California--Los Angeles|~|Boycotts--United States|~|Rape|~|Music and violence|~|Sex in mass media|~|Sex role in advertising|~|Sex in advertising,,eng,,,,,June L. Mazer Lesbian Archives,,,Basic Facts for Letter Writers,Between 1976 and 1877,,,1976/1977,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00176nqb/manifest
