,,,DLP will supply,DLP will supply,,leave empty,,,,,,,,,,,,,,,,,,,,,,,,,,for collection description,,,,for collection row only,for collection row only,for collection row only,,,,,,,
Key,Title,Object Type,Item ARK,Parent ARK,Rights.copyrightStatus,File Name,Item Sequence,AltIdentifier.local,AltTitle.other,Coverage.geographic,Date.creation,Date.normalized,Description.fundingNote,Description.latitude,Description.longitude,Description.note,Format.dimensions,Format.extent,Format.medium,Language,Name.repository,Name.subject,Opac url,Publisher.publisherName,Rights.rightsHolderContact,Rights.statementLocal,Subject,Type.genre,Type.typeOfResource,Place of origin,AltTitle.uniform,Summary,viewingHint,Illustrations note,Table of Contents,Masthead,Representative image,Featured image,Subject geographic,Subject temporal,Finding Aid URL,Illustrator,Editor,Note,Contents note
,La Fronde,Collection,ark:/21198/z1476482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Work,,ark:/21198/z1476482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7684021_1874-04-05,,Work,ark:/21198/z10g5cgf,ark:/21198/z1476482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,paged,,,,,,,,,,,,
7684021_1874-04-12,,Work,ark:/21198/z1vq4w1m,ark:/21198/z1476482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,paged,,,,,,,,,,,,
7684021_1874-04-19,,Work,ark:/21198/z1qz44c5,ark:/21198/z1476482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,paged,,,,,,,,,,,,
7684021_1874-04-26,,Work,ark:/21198/z1m9230k,ark:/21198/z1476482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,paged,,,,,,,,,,,,
7684021_1874-05-03,,Work,ark:/21198/z1gj1bc6,ark:/21198/z1476482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,paged,,,,,,,,,,,,
7684021_1874-05-10,,Work,ark:/21198/z1bs0kkk,ark:/21198/z1476482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,paged,,,,,,,,,,,,
7684021_1874-05-17,,Work,ark:/21198/z1709tt5,ark:/21198/z1476482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,paged,,,,,,,,,,,,
7684021_1874-05-24,,Work,ark:/21198/z137931b,ark:/21198/z1476482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,paged,,,,,,,,,,,,
7684021_1874-05-31,,Work,ark:/21198/z1zg8kk3,ark:/21198/z1476482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,paged,,,,,,,,,,,,
7684021_1874-06-07,,Work,ark:/21198/z1tq7tzq,ark:/21198/z1476482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,paged,,,,,,,,,,,,
7684021_1874-06-14,,Work,ark:/21198/z1q25smk,ark:/21198/z1476482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,paged,,,,,,,,,,,,
7684021_1874-06-21,,Work,ark:/21198/z1k951z4,ark:/21198/z1476482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,paged,,,,,,,,,,,,
7684021_1874-06-28,,Work,ark:/21198/z1fj497t,ark:/21198/z1476482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,paged,,,,,,,,,,,,
7684021_1874-07-05,,Work,ark:/21198/z19s3jdr,ark:/21198/z1476482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,paged,,,,,,,,,,,,
7684021_1874-07-12,,Work,ark:/21198/z1612snw,ark:/21198/z1476482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,paged,,,,,,,,,,,,
7684021_1874-07-19,,Work,ark:/21198/z12821z0,ark:/21198/z1476482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,paged,,,,,,,,,,,,
7684021_1874-07-26,,Work,ark:/21198/z1xm07w1,ark:/21198/z1476482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,paged,,,,,,,,,,,,
7684021_1874-08-02,,Work,ark:/21198/z1st9h6m,ark:/21198/z1476482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,paged,,,,,,,,,,,,
7684021_1874-08-09,,Work,ark:/21198/z1p28rkj,ark:/21198/z1476482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,paged,,,,,,,,,,,,
7684021_1874-08-16,,Work,ark:/21198/z1j980v6,ark:/21198/z1476482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,paged,,,,,,,,,,,,
7684021_1874-08-30,,Work,ark:/21198/z1dj7820,ark:/21198/z1476482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,paged,,,,,,,,,,,,
7684021_1874-09-06,,Work,ark:/21198/z18s6h8c,ark:/21198/z1476482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,paged,,,,,,,,,,,,
7684021_1874-09-13,,Work,ark:/21198/z1515rmv,ark:/21198/z1476482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,paged,,,,,,,,,,,,
7684021_1874-09-20,,Work,ark:/21198/z11c3q6h,ark:/21198/z1476482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,paged,,,,,,,,,,,,
7684021_1874-09-27,,Work,ark:/21198/z1wm36s3,ark:/21198/z1476482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,paged,,,,,,,,,,,,
7684021_1874-10-04,,Work,ark:/21198/z1j40m0p,ark:/21198/z1476482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7684021_1874-10-11,,Work,ark:/21198/z1rv2g54,ark:/21198/z1476482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,paged,,,,,,,,,,,,
7684021_1874-11-01,,Work,ark:/21198/z1n31qct,ark:/21198/z1476482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,paged,,,,,,,,,,,,
7684021_1874-11-08,,Work,ark:/21198/z1hb0zk6,ark:/21198/z1476482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,paged,,,,,,,,,,,,
7684021_1874-11-15,,Work,ark:/21198/z1ck06td,ark:/21198/z1476482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,paged,,,,,,,,,,,,
7684021_1874-11-22,,Work,ark:/21198/z17s9g40,ark:/21198/z1476482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,paged,,,,,,,,,,,,
7684021_1874-11-29,,Work,ark:/21198/z1447dtw,ark:/21198/z1476482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,paged,,,,,,,,,,,,
7684021_1874-12-06,,Work,ark:/21198/z10c6p5g,ark:/21198/z1476482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,paged,,,,,,,,,,,,
7684021_1874-12-13,,Work,ark:/21198/z1vm65p5,ark:/21198/z1476482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,paged,,,,,,,,,,,,
7684021_1874-12-20,,Work,ark:/21198/z1qv5dzf,ark:/21198/z1476482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,paged,,,,,,,,,,,,
7684021_1874-12-27,,Work,ark:/21198/z1m34p43,ark:/21198/z1476482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,paged,,,,,,,,,,,,
7684021_1875-01-03,,Work,ark:/21198/z1gb3xcx,ark:/21198/z1476482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,paged,,,,,,,,,,,,
7684021_1875-01-10,,Work,ark:/21198/z1bk35qg,ark:/21198/z1476482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,paged,,,,,,,,,,,,
7684021_1875-01-17,,Work,ark:/21198/z16x14fx,ark:/21198/z1476482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,paged,,,,,,,,,,,,
7684021_1875-01-24,,Work,ark:/21198/z1350csd,ark:/21198/z1476482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,paged,,,,,,,,,,,,
7684021_1875-01-31,,Work,ark:/21198/z1zc9wb1,ark:/21198/z1476482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,paged,,,,,,,,,,,,
