File Name,Title,Object Type,Item ARK,Parent ARK,Parent ARK (multi),Item Sequence,Item Sequence (multi),Bucketeer State,IIIF Access URL
Masters/othermasters/dl_lafronde/7684021_1874-04-05_001.tif,,Page,ark:/21198/z1jm4441,,ark:/21198/z10g5cgf,1,1,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1jm4441
Masters/othermasters/dl_lafronde/7684021_1874-04-05_002.tif,,Page,ark:/21198/z1dv3c9z,,ark:/21198/z10g5cgf,2,2,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1dv3c9z
Masters/othermasters/dl_lafronde/7684021_1874-04-05_003.tif,,Page,ark:/21198/z1932mkj,,ark:/21198/z10g5cgf,3,3,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1932mkj
Masters/othermasters/dl_lafronde/7684021_1874-04-05_004.tif,,Page,ark:/21198/z15f0k73,,ark:/21198/z10g5cgf,4,4,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz15f0k73
Masters/othermasters/dl_lafronde/7684021_1874-04-05_005.tif,,Page,ark:/21198/z11n9tht,,ark:/21198/z10g5cgf,5,5,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11n9tht
Masters/othermasters/dl_lafronde/7684021_1874-04-05_006.tif,,Page,ark:/21198/z1ww9b48,,ark:/21198/z10g5cgf,6,6,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ww9b48
Masters/othermasters/dl_lafronde/7684021_1874-04-05_007.tif,,Page,ark:/21198/z1s48kf9,,ark:/21198/z10g5cgf,7,7,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1s48kf9
Masters/othermasters/dl_lafronde/7684021_1874-04-05_008.tif,,Page,ark:/21198/z1nc7tnp,,ark:/21198/z10g5cgf,8,8,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1nc7tnp
Masters/othermasters/dl_lafronde/7684021_1874-04-12_001.tif,,Page,ark:/21198/z1hm72t0,,ark:/21198/z1vq4w1m,9,1,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1hm72t0
Masters/othermasters/dl_lafronde/7684021_1874-04-12_002.tif,,Page,ark:/21198/z1cv6b44,,ark:/21198/z1vq4w1m,10,2,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1cv6b44
Masters/othermasters/dl_lafronde/7684021_1874-04-12_003.tif,,Page,ark:/21198/z18648t1,,ark:/21198/z1vq4w1m,11,3,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz18648t1
Masters/othermasters/dl_lafronde/7684021_1874-04-12_004.tif,,Page,ark:/21198/z14f3j45,,ark:/21198/z1vq4w1m,12,4,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14f3j45
Masters/othermasters/dl_lafronde/7684021_1874-04-12_005.tif,,Page,ark:/21198/z10p2sfw,,ark:/21198/z1vq4w1m,13,5,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10p2sfw
Masters/othermasters/dl_lafronde/7684021_1874-04-12_006.tif,,Page,ark:/21198/z1vx290f,,ark:/21198/z1vq4w1m,14,6,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1vx290f
Masters/othermasters/dl_lafronde/7684021_1874-04-12_007.tif,,Page,ark:/21198/z1r51j64,,ark:/21198/z1vq4w1m,15,7,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1r51j64
Masters/othermasters/dl_lafronde/7684021_1874-04-12_008.tif,,Page,ark:/21198/z1md0sdh,,ark:/21198/z1vq4w1m,16,8,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1md0sdh
Masters/othermasters/dl_lafronde/7684021_1874-04-19_001.tif,,Page,ark:/21198/z1gn01p5,,ark:/21198/z1qz44c5,17,1,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1gn01p5
Masters/othermasters/dl_lafronde/7684021_1874-04-19_002.tif,,Page,ark:/21198/z1bz80fh,,ark:/21198/z1qz44c5,18,2,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1bz80fh
Masters/othermasters/dl_lafronde/7684021_1874-04-19_003.tif,,Page,ark:/21198/z17677rj,,ark:/21198/z1qz44c5,19,3,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz17677rj
Masters/othermasters/dl_lafronde/7684021_1874-04-19_004.tif,,Page,ark:/21198/z13f6h34,,ark:/21198/z1qz44c5,20,4,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz13f6h34
Masters/othermasters/dl_lafronde/7684021_1874-04-19_005.tif,,Page,ark:/21198/z1zp60kc,,ark:/21198/z1qz44c5,21,5,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1zp60kc
Masters/othermasters/dl_lafronde/7684021_1874-04-19_006.tif,,Page,ark:/21198/z1tx57t6,,ark:/21198/z1qz44c5,22,6,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1tx57t6
Masters/othermasters/dl_lafronde/7684021_1874-04-19_007.tif,,Page,ark:/21198/z1q54h0v,,ark:/21198/z1qz44c5,23,7,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1q54h0v
Masters/othermasters/dl_lafronde/7684021_1874-04-19_008.tif,,Page,ark:/21198/z1kd3r9k,,ark:/21198/z1qz44c5,24,8,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1kd3r9k
Masters/othermasters/dl_lafronde/7684021_1874-04-26_001.tif,,Page,ark:/21198/z1fr1q0k,,ark:/21198/z1m9230k,25,1,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1fr1q0k
Masters/othermasters/dl_lafronde/7684021_1874-04-26_002.tif,,Page,ark:/21198/z1b00z9m,,ark:/21198/z1m9230k,26,2,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1b00z9m
Masters/othermasters/dl_lafronde/7684021_1874-04-26_003.tif,,Page,ark:/21198/z16706n5,,ark:/21198/z1m9230k,27,3,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz16706n5
Masters/othermasters/dl_lafronde/7684021_1874-04-26_004.tif,,Page,ark:/21198/z12f9fxw,,ark:/21198/z1m9230k,28,4,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz12f9fxw
Masters/othermasters/dl_lafronde/7684021_1874-04-26_005.tif,,Page,ark:/21198/z1xp8zcq,,ark:/21198/z1m9230k,29,5,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1xp8zcq
Masters/othermasters/dl_lafronde/7684021_1874-04-26_006.tif,,Page,ark:/21198/z1sx86kg,,ark:/21198/z1m9230k,30,6,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1sx86kg
Masters/othermasters/dl_lafronde/7684021_1874-04-26_007.tif,,Page,ark:/21198/z1p57fwh,,ark:/21198/z1m9230k,31,7,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1p57fwh
Masters/othermasters/dl_lafronde/7684021_1874-04-26_008.tif,,Page,ark:/21198/z1jh5dj2,,ark:/21198/z1m9230k,32,8,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1jh5dj2
Masters/othermasters/dl_lafronde/7684021_1874-05-03_001.tif,,Page,ark:/21198/z1dr4nw7,,ark:/21198/z1gj1bc6,33,1,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1dr4nw7
Masters/othermasters/dl_lafronde/7684021_1874-05-03_002.tif,,Page,ark:/21198/z1903x6p,,ark:/21198/z1gj1bc6,34,2,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1903x6p
Masters/othermasters/dl_lafronde/7684021_1874-05-03_003.tif,,Page,ark:/21198/z15735gb,,ark:/21198/z1gj1bc6,35,3,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz15735gb
Masters/othermasters/dl_lafronde/7684021_1874-05-03_004.tif,,Page,ark:/21198/z11g2dpq,,ark:/21198/z1gj1bc6,36,4,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11g2dpq
Masters/othermasters/dl_lafronde/7684021_1874-05-03_005.tif,,Page,ark:/21198/z1wq1x50,,ark:/21198/z1gj1bc6,37,5,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1wq1x50
Masters/othermasters/dl_lafronde/7684021_1874-05-03_006.tif,,Page,ark:/21198/z1rz15g3,,ark:/21198/z1gj1bc6,38,6,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1rz15g3
Masters/othermasters/dl_lafronde/7684021_1874-05-03_007.tif,,Page,ark:/21198/z1n8945v,,ark:/21198/z1gj1bc6,39,7,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1n8945v
Masters/othermasters/dl_lafronde/7684021_1874-05-03_008.tif,,Page,ark:/21198/z1hh8cgk,,ark:/21198/z1gj1bc6,40,8,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1hh8cgk
Masters/othermasters/dl_lafronde/7684021_1874-05-10_001.tif,,Page,ark:/21198/z1cr7mtr,,ark:/21198/z1bs0kkk,41,1,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1cr7mtr
Masters/othermasters/dl_lafronde/7684021_1874-05-10_002.tif,,Page,ark:/21198/z1806w3r,,ark:/21198/z1bs0kkk,42,2,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1806w3r
Masters/othermasters/dl_lafronde/7684021_1874-05-10_003.tif,,Page,ark:/21198/z147649h,,ark:/21198/z1bs0kkk,43,3,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz147649h
Masters/othermasters/dl_lafronde/7684021_1874-05-10_004.tif,,Page,ark:/21198/z10g5cjb,,ark:/21198/z1bs0kkk,44,4,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10g5cjb
,,Page,ark:/21198/z10g5cjbn,,ark:/21198/z1bs0kkk,45,5,missing,
Masters/othermasters/dl_lafronde/7684021_1874-05-10_006.tif,,Page,ark:/21198/z1vq4w3h,,ark:/21198/z1bs0kkk,46,6,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1vq4w3h
Masters/othermasters/dl_lafronde/7684021_1874-05-10_007.tif,,Page,ark:/21198/z1r22trz,,ark:/21198/z1bs0kkk,47,7,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1r22trz
Masters/othermasters/dl_lafronde/7684021_1874-05-10_008.tif,,Page,ark:/21198/z1m9232g,,ark:/21198/z1bs0kkk,48,8,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1m9232g
Masters/othermasters/dl_lafronde/7684021_1874-05-17_001.tif,,Page,ark:/21198/z1gj1bdn,,ark:/21198/z1709tt5,49,1,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1gj1bdn
Masters/othermasters/dl_lafronde/7684021_1874-05-17_002.tif,,Page,ark:/21198/z1bs0km1,,ark:/21198/z1709tt5,50,2,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1bs0km1
Masters/othermasters/dl_lafronde/7684021_1874-05-17_003.tif,,Page,ark:/21198/z1709tvm,,ark:/21198/z1709tt5,51,3,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1709tvm
Masters/othermasters/dl_lafronde/7684021_1874-05-17_004.tif,,Page,ark:/21198/z1379337,,ark:/21198/z1709tt5,52,4,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1379337
Masters/othermasters/dl_lafronde/7684021_1874-05-17_005.tif,,Page,ark:/21198/z1zg8kn0,,ark:/21198/z1709tt5,53,5,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1zg8kn0
Masters/othermasters/dl_lafronde/7684021_1874-05-17_006.tif,,Page,ark:/21198/z1tt6jb0,,ark:/21198/z1709tt5,54,6,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1tt6jb0
Masters/othermasters/dl_lafronde/7684021_1874-05-17_007.tif,,Page,ark:/21198/z1q25spg,,ark:/21198/z1709tt5,55,7,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1q25spg
Masters/othermasters/dl_lafronde/7684021_1874-05-17_008.tif,,Page,ark:/21198/z1k95200,,ark:/21198/z1709tt5,56,8,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1k95200
Masters/othermasters/dl_lafronde/7684021_1874-05-24_001.tif,,Page,ark:/21198/z1fj4988,,ark:/21198/z137931b,57,1,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1fj4988
Masters/othermasters/dl_lafronde/7684021_1874-05-24_002.tif,,Page,ark:/21198/z19s3jf6,,ark:/21198/z137931b,58,2,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19s3jf6
Masters/othermasters/dl_lafronde/7684021_1874-05-24_003.tif,,Page,ark:/21198/z1612sqs,,ark:/21198/z137931b,59,3,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1612sqs
Masters/othermasters/dl_lafronde/7684021_1874-05-24_004.tif,,Page,ark:/21198/z12c0rf7,,ark:/21198/z137931b,60,4,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz12c0rf7
Masters/othermasters/dl_lafronde/7684021_1874-05-24_005.tif,,Page,ark:/21198/z1xm07zx,,ark:/21198/z137931b,61,5,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1xm07zx
Masters/othermasters/dl_lafronde/7684021_1874-05-24_006.tif,,Page,ark:/21198/z1st9h8h,,ark:/21198/z137931b,62,6,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1st9h8h
Masters/othermasters/dl_lafronde/7684021_1874-05-24_007.tif,,Page,ark:/21198/z1p28rm0,,ark:/21198/z137931b,63,7,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1p28rm0
Masters/othermasters/dl_lafronde/7684021_1874-05-24_008.tif,,Page,ark:/21198/z1j980wn,,ark:/21198/z137931b,64,8,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1j980wn
Masters/othermasters/dl_lafronde/7684021_1874-05-31_001.tif,,Page,ark:/21198/z1dj783f,,ark:/21198/z1zg8kk3,65,1,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1dj783f
Masters/othermasters/dl_lafronde/7684021_1874-05-31_002.tif,,Page,ark:/21198/z18s6hb8,,ark:/21198/z1zg8kk3,66,2,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz18s6hb8
Masters/othermasters/dl_lafronde/7684021_1874-05-31_003.tif,,Page,ark:/21198/z1544g04,,ark:/21198/z1zg8kk3,67,3,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1544g04
Masters/othermasters/dl_lafronde/7684021_1874-05-31_004.tif,,Page,ark:/21198/z11c3q8d,,ark:/21198/z1zg8kk3,68,4,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11c3q8d
Masters/othermasters/dl_lafronde/7684021_1874-05-31_005.tif,,Page,ark:/21198/z1wm36v0,,ark:/21198/z1zg8kk3,69,5,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1wm36v0
