Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Author,Name.subject,viewingHint,Thumbnail,Text direction,Visibility,IIIF Range,Title,Description.abstract,Publisher.publisherName,Alt. ID.lccn,Format.dimensions,Place of origin,Alt. ID.oclc,Format.extent,Type.typeOfResource,Language,Date.creation,AltTitle.translated,Description.note,Opac url,IIIF Manifest URL
Historie ofte Iaerlijck Verhael van de Verrichtinghen der Geoctroyeerde West-Indische Compagnie,ark:/21198/zz002kf44z,,2,Completed,Collection,,,,,,,,,,private,,Historie ofte Iaerlijck Verhael van de Verrichtinghen der Geoctroyeerde West-Indische Compagnie Collection,,,,,,,,,,,,,,https://iiif.library.ucla.edu/collections/ark%3A%2F21198%2Fzz002kf44z
Historie ofte Iaerlijck Verhael van de Verrichtinghen der Geoctroyeerde West-Indische Compagnie,ark:/21198/zz0002f6xv,ark:/21198/zz002kf44z,2,Completed,Work,,,,,"Laet, Joannes de, 1593-1649",West-Indische Compagnie (Netherlands) ,paged,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0002f70c,,private,,"Historie ofte Iaerlijck verhael van de verrichtinghen der Geoctroyeerde West-Indische Compagnie, zedert haer begin, tot het eynde van 't jaer sesthien-hondert ses-en-dertich : begrepen in derthien boecken, ende met verscheyden koperen platen verciert / beschreven door Ioannes de Laet, Bewint-hebber der selver Compagnie.","Following the introduction, which includes the charter and a listing of the shareholders, there are 544 pages covering the thirteen annual reports, followed by 31 pages of profit and loss statements and then 13 pages of an index.",Bonaventuer ende Abraham Elsevier,05-33793,33 cm.,Leyden,11834870,"16 p. l., 544, 31, [11] p. 14 double pl. (incl. maps)",text,dut,1644,Annual report of the activities of the incorporated West-Indian Company from its beginning in the year 1623 through the year 1636 in 13 books with illustrations,"Of the thirteen illustrations, which had to be included manually, four are missing.",https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=5741982,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0002f6xv/manifest
