Project Name,Parent ARK,Item ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Type.typeOfResource,Rights.copyrightStatus,Language,Rights.publicationStatus,Subject.conceptTopic,Name.contributor,Type.genre,Title,Date.normalized,Date.creation,AltTitle.uniform,Alt ID.oclc,Description.note,OPAC URL,Place of origin,Publisher.publisherName,Format.extent,Alt ID.lccn,Relation.isPartOf,Bucketeer State,IIIF Access URL
"Organizacion Obrera, La",ark:/21198/zz00292qhm,ark:/21198/zz00292qj4,2,Completed,Page,organ/image/21198-zz00292qj4_1964648_master.tif,1,,,,pd,,published,,,,page 1,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00292qj4
"Organizacion Obrera, La",ark:/21198/zz00292qhm,ark:/21198/zz00292qkn,2,Completed,Page,organ/image/21198-zz00292qkn_1964652_master.tif,2,,,,pd,,published,,,,page 2,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00292qkn
"Organizacion Obrera, La",ark:/21198/zz00292qhm,ark:/21198/zz00292qm5,2,Completed,Page,organ/image/21198-zz00292qm5_1964656_master.tif,3,,,,pd,,published,,,,page 3,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00292qm5
"Organizacion Obrera, La",ark:/21198/zz00292qhm,ark:/21198/zz00292qnp,2,Completed,Page,organ/image/21198-zz00292qnp_1964659_master.tif,4,,,,pd,,published,,,,page 4,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00292qnp
