"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Thumbnail","Visibility","viewingHint","Type.genre","Language","Rights.rightsHolderContact","Subject","Name.subject","Name.creator","Alt ID.local","Title","Date.creation","AltTitle.other","Description.note","Summary","Type.typeOfResource","Relation.isPartOf","Publisher.placeOfOrigin","Publisher.publisherName","AltTitle.descriptive","Opac url","Finding Aid URL","Bucketeer State","IIIF Access URL"
"Naylor (William) Collection","ark:/21198/z1wq1rwb","ark:/21198/zz002hkzn8","","","Page","william_naylor/image/21198-zz002hkzn8-1-master_011.tif","11","","","","","","","","","","","","","Page 11","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1wq1rwb"
"Naylor (William) Collection","ark:/21198/z1rz116v","ark:/21198/zz002hkzn8","","","Page","william_naylor/image/21198-zz002hkzn8-1-master_012.tif","12","","","","","","","","","","","","","Page 12","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1rz116v"
"Naylor (William) Collection","ark:/21198/z1n608jb","ark:/21198/zz002hkzn8","","","Page","william_naylor/image/21198-zz002hkzn8-1-master_013.tif","13","","","","","","","","","","","","","Page 13","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1n608jb"
"Naylor (William) Collection","ark:/21198/z1hd9hvh","ark:/21198/zz002hkzn8","","","Page","william_naylor/image/21198-zz002hkzn8-1-master_014.tif","14","","","","","","","","","","","","","Page 14","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1hd9hvh"
"Naylor (William) Collection","ark:/21198/z1cn8s29","ark:/21198/zz002hkzn8","","","Page","william_naylor/image/21198-zz002hkzn8-1-master_015.tif","15","","","","","","","","","","","","","Page 15","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1cn8s29"
"Naylor (William) Collection","ark:/21198/z17w8182","ark:/21198/zz002hkzn8","","","Page","william_naylor/image/21198-zz002hkzn8-1-master_016.tif","16","","","","","","","","","","","","","Page 16","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz17w8182"
"Naylor (William) Collection","ark:/21198/z14478k3","ark:/21198/zz002hkzn8","","","Page","william_naylor/image/21198-zz002hkzn8-1-master_017.tif","17","","","","","","","","","","","","","Page 17","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14478k3"
"Naylor (William) Collection","ark:/21198/z10g577n","ark:/21198/zz002hkzn8","","","Page","william_naylor/image/21198-zz002hkzn8-1-master_018.tif","18","","","","","","","","","","","","","Page 18","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10g577n"
"Naylor (William) Collection","ark:/21198/z1vq4qsd","ark:/21198/zz002hkzn8","","","Page","william_naylor/image/21198-zz002hkzn8-1-master_019.tif","19","","","","","","","","","","","","","Page 19","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1vq4qsd"
"Naylor (William) Collection","ark:/21198/z1qz403x","ark:/21198/zz002hkzn8","","","Page","william_naylor/image/21198-zz002hkzn8-1-master_020.tif","20","","","","","","","","","","","","","Page 20","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1qz403x"
"Naylor (William) Collection","ark:/21198/z1m637fd","ark:/21198/zz002hkzn8","","","Page","william_naylor/image/21198-zz002hkzn8-1-master_021.tif","21","","","","","","","","","","","","","Page 21","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1m637fd"
"Naylor (William) Collection","ark:/21198/z1gf2gmb","ark:/21198/zz002hkzn8","","","Page","william_naylor/image/21198-zz002hkzn8-1-master_022.tif","22","","","","","","","","","","","","","Page 22","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1gf2gmb"
"Naylor (William) Collection","ark:/21198/z1bp1qv5","ark:/21198/zz002hkzn8","","","Page","william_naylor/image/21198-zz002hkzn8-1-master_023.tif","23","","","","","","","","","","","","","Page 23","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1bp1qv5"
"Naylor (William) Collection","ark:/21198/z16x105p","ark:/21198/zz002hkzn8","","","Page","william_naylor/image/21198-zz002hkzn8-1-master_024.tif","24","","","","","","","","","","","","","Page 24","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz16x105p"
"Naylor (William) Collection","ark:/21198/z1378xt6","ark:/21198/zz002hkzn8","","","Page","william_naylor/image/21198-zz002hkzn8-1-master_025.tif","25","","","","","","","","","","","","","Page 25","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1378xt6"
"Naylor (William) Collection","ark:/21198/z1zg8fcr","ark:/21198/zz002hkzn8","","","Page","william_naylor/image/21198-zz002hkzn8-1-master_026.tif","26","","","","","","","","","","","","","Page 26","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1zg8fcr"
"Naylor (William) Collection","ark:/21198/z1tq7pqx","ark:/21198/zz002hkzn8","","","Page","william_naylor/image/21198-zz002hkzn8-1-master_027.tif","27","","","","","","","","","","","","","Page 27","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1tq7pqx"
