Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Thumbnail,viewingHint,Text direction,Visibility,IIIF Range,Type.typeOfResource,Rights.copyrightStatus,Rights.publicationStatus,Rights.permission,Name.subject,Coverage.geographic,Name.creator,Subject,Rights.publicationNote,Language,Type.genre,Author,Name.contributor,Name.correspondent,Name.repository,Rights.permissionNote,Name.photographer,Title,Date.creation,Date.publication,Description.note,Date.normalized,Description.caption,Description.abstract,IIIF Manifest URL
Women Against Violence Against Women (WAVAW) Collection,ark:/21198/zz00179gn7,ark:/21198/zz000s2z4b,2,Completed,Work,,1,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00179gpr,individuals,,private,,text,copyrighted,unpublished,unknown,Women Against Violence Against Women ,Los Angeles (Calif.),Women Against Violence Against Women ,Correspondence (WAVAW),,eng,letters (correspondence),"Belknap, Joan",,,June L. Mazer Lesbian Archives,Rights.statementLocal: Unsure as to whether or not permission needs to be obtained as author is writing on behalf of the organization.,,Letter to Advisory Board Members Regarding New Title and Letter of Support,"July 14, 1977",,,1977-07-14,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00179gn7/manifest
Women Against Violence Against Women (WAVAW) Collection,ark:/21198/zz00179gq8,ark:/21198/zz000s2z4b,2,Completed,Work,,2,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00179grs,individuals,,private,,text,copyrighted,unpublished,unknown,Women Against Violence Against Women ,Los Angeles (Calif.),Women Against Violence Against Women ,Correspondence (WAVAW),,eng,letters (correspondence),"Bechaud, Susan|~|London, Julia",,,June L. Mazer Lesbian Archives,Rights.statementLocal: Unsure as to whether or not permission needs to be obtained as authors are writing on behalf of organization.,,Letter to East Coast Chapter Regarding Conversations with Warner/Elektra/Atlantic Records,"August 25, 1977",,,1977-08-25,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00179gq8/manifest
Women Against Violence Against Women (WAVAW) Collection,ark:/21198/zz00179gs9,ark:/21198/zz000s2z4b,2,Completed,Work,,3,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00179h4z,individuals,,private,,text,copyrighted,unpublished,unknown,Women Against Violence Against Women ,Los Angeles (Calif.),Women Against Violence Against Women ,Correspondence (WAVAW),,eng,letters (correspondence),"Belknap, Joan",,,June L. Mazer Lesbian Archives,Rights.statementLocal: Unsure as to whether or not permission needs to be obtained as author is writing on behalf of organization.,,Letter Recruiting New Associates to Advisory Board,"October 25, 1977",,,1977-10-25,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00179gs9/manifest
Women Against Violence Against Women (WAVAW) Collection,ark:/21198/zz00179gtt,ark:/21198/zz000s2z4b,2,Completed,Work,,4,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00179h5g,individuals,,private,,text,copyrighted,unpublished,unknown,Women Against Violence Against Women ,Los Angeles (Calif.),Women Against Violence Against Women ,Correspondence (WAVAW),,eng,letters (correspondence),"London, Julia",,,June L. Mazer Lesbian Archives,Rights.statementLocal: Unsure as to whether or not permission needs to be obtained as author is writing on behalf of organization.,,Letter to WAVAW Chapters Regarding Developing a Long-Term Strategy,"May 26, 1978",,,1978-05-26,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00179gtt/manifest
Women Against Violence Against Women (WAVAW) Collection,ark:/21198/zz00179gvb,ark:/21198/zz000s2z4b,2,Completed,Work,,5,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00179hck,individuals,,private,,text,copyrighted,unpublished,unknown,Women Against Violence Against Women ,Los Angeles (Calif.),Women Against Violence Against Women ,Correspondence (WAVAW),,eng,letters (correspondence),"London, Julia",,,June L. Mazer Lesbian Archives,Rights.statementLocal: Unsure as to whether or not permission needs to be obtained as author is writing on behalf of organization.,,Informational Update to Chapters,"December 8, 1978",,,1978-12-08,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00179gvb/manifest
Women Against Violence Against Women (WAVAW) Collection,ark:/21198/zz00179gwv,ark:/21198/zz000s2z4b,2,Completed,Work,,6,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00179hg4,individuals,,private,,text,copyrighted,unpublished,unknown,Women Against Violence Against Women ,Los Angeles (Calif.),Women Against Violence Against Women ,Correspondence (WAVAW),,eng,letters (correspondence),"London, Julia",,,June L. Mazer Lesbian Archives,Rights.statementLocal: Unsure as to whether or not permission needs to be obtained as author is writing on behalf of organization..,,Letter Regarding Slide Show Revision Plans,"January 19, 1979",,,1979-01-19,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00179gwv/manifest
Women Against Violence Against Women (WAVAW) Collection,ark:/21198/zz00179gxc,ark:/21198/zz000s2z4b,2,Completed,Work,,7,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00179hhn,individuals,,private,,text,copyrighted,unpublished,unknown,Women Against Violence Against Women ,Los Angeles (Calif.),Women Against Violence Against Women ,Correspondence (WAVAW),,eng,letters (correspondence),"London, Julia",,,June L. Mazer Lesbian Archives,Rights.statementLocal: Unsure as to whether or not permission needs to be obtained as author is writing on behalf of organization.,,Letter Soliciting News for Upcoming Newsletter,"January 23, 1979",,,1979-01-23,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00179gxc/manifest
Women Against Violence Against Women (WAVAW) Collection,ark:/21198/zz00179gzw,ark:/21198/zz000s2z4b,2,Completed,Work,,8,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00179hkp,individuals,,private,,text,copyrighted,unpublished,unknown,Women Against Violence Against Women ,Los Angeles (Calif.),Women Against Violence Against Women ,Correspondence (WAVAW),,eng,letters (correspondence),,,,June L. Mazer Lesbian Archives,"It appears that there should be additional pages to this letter, but they were not in the files.|~|Original author is unknown but presumed to be Julia London. Rights.statementLocal: Unsure as to whether or not permission needs to be obtained as authors are writing on behalf of organization.",,Letter Regarding Withdrawal of National Coordinator,"May 8, 1979",,,1979-05-08,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00179gzw/manifest
Women Against Violence Against Women (WAVAW) Collection,ark:/21198/zz00179h0w,ark:/21198/zz000s2z4b,2,Completed,Work,,9,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00179hnq,individuals,,private,,text,copyrighted,unpublished,unknown,Women Against Violence Against Women ,Los Angeles (Calif.),Women Against Violence Against Women ,Correspondence (WAVAW),,eng,letters (correspondence),,,,June L. Mazer Lesbian Archives,Item includes personal information: name and address.|~|Rights.statementLocal: Unsure as to whether or not permission needs to be obtained as author is writing on behalf of organization.,,Informational Update to Chapters,"September 7, 1979",,,1979-09-07,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00179h0w/manifest
Women Against Violence Against Women (WAVAW) Collection,ark:/21198/zz00179h1d,ark:/21198/zz000s2z4b,2,Completed,Work,,10,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00179hqr,individuals,,private,,text,copyrighted,unpublished,unknown,Women Against Violence Against Women ,Los Angeles (Calif.),Women Against Violence Against Women ,Correspondence (WAVAW),,eng,letters (correspondence),,,,June L. Mazer Lesbian Archives,Rights.statementLocal: Unsure as to whether or not permission needs to be obtained as author is writing on behalf of organization.|~|Item contains personal information on second page: name and address,,Update on Summer Activities,1979,,,1979,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00179h1d/manifest
Women Against Violence Against Women (WAVAW) Collection,ark:/21198/zz00179h2x,ark:/21198/zz000s2z4b,2,Completed,Work,,11,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00179hss,individuals,,private,,text,copyrighted,unpublished,unknown,Women Against Violence Against Women ,Los Angeles (Calif.),Women Against Violence Against Women ,Correspondence (WAVAW),,eng,letters (correspondence),"Sterchi, Denise",,,June L. Mazer Lesbian Archives,Rights.statementLocal: Unsure as to whether or not permission needs to be obtained as author is writing on behalf of organization.,,Letter Regarding National Meeting,"May 20, 1980",,,1980-05-20,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00179h2x/manifest
