"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Visibility","Item Sequence","Duplicate","Delete in Title","Type.typeOfResource","Rights.servicesContact","Name.creator","Name.repository","Title","Description.note","Format.extent","Opac url","Finding Aid URL","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Davis (Joseph Le Compte) Papers. Collection 477","ark:/21198/z1kd3ghz","ark:/21198/zz000s9bz6","2","Completed","Page","davis/masters/21198-zz000s9bz6-2-master.tif","private","1","","","still image","","","","inside","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1kd3ghz",""
"Davis (Joseph Le Compte) Papers. Collection 478","ark:/21198/z1fn2qtp","ark:/21198/zz000s9bz6","2","Completed","Page","davis/masters/21198-zz000s9bz6-4-master.tif","private","3","","","still image","","","","cover","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1fn2qtp",""
"Davis (Joseph Le Compte) Papers. Collection 479","ark:/21198/z19w205n","ark:/21198/zz000s9bz6","2","Completed","Page","davis/masters/21198-zz000s9bz6-3-master.tif","private","2","","","still image","","","","back","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19w205n",""
