"File Name","Object Type","Title","Item Sequence","Parent ARK","Item ARK","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Masters/othermasters/DEPaccionsocialista/images/ihc_accionsocialista_19371106_001.tif","Page","Page 1","1","ark:/21198/z1d24k0v","ark:/21198/z1qg1fhq","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1qg1fhq",""
"Masters/othermasters/DEPaccionsocialista/images/ihc_accionsocialista_19371106_002.tif","Page","Page 2","2","ark:/21198/z1d24k0v","ark:/21198/z1kq0pq3","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1kq0pq3",""
"Masters/othermasters/DEPaccionsocialista/images/ihc_accionsocialista_19371106_003.tif","Page","Page 3","3","ark:/21198/z1d24k0v","ark:/21198/z1fx9z24","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1fx9z24",""
"Masters/othermasters/DEPaccionsocialista/images/ihc_accionsocialista_19371106_004.tif","Page","Page 4","4","ark:/21198/z1d24k0v","ark:/21198/z1b596b3","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1b596b3",""
"Masters/othermasters/DEPaccionsocialista/images/ihc_accionsocialista_19371106_005.tif","Page","Page 5","5","ark:/21198/z1d24k0v","ark:/21198/z16d8fnt","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz16d8fnt",""
"Masters/othermasters/DEPaccionsocialista/images/ihc_accionsocialista_19371106_006.tif","Page","Page 6","6","ark:/21198/z1d24k0v","ark:/21198/z12r6d9c","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz12r6d9c",""
"Masters/othermasters/DEPaccionsocialista/images/ihc_accionsocialista_19371106_007.tif","Page","Page 7","7","ark:/21198/z1d24k0v","ark:/21198/z1z05wsj","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1z05wsj",""
"Masters/othermasters/DEPaccionsocialista/images/ihc_accionsocialista_19371106_008.tif","Page","Page 8","8","ark:/21198/z1d24k0v","ark:/21198/z1t7552m","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1t7552m",""
