"File Name","Object Type","Title","Item Sequence","Parent ARK","Item ARK","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Masters/othermasters/DEPaccionsocialista/images/ihc_accionsocialista_19251020_001.tif","Page","Page 1","1","ark:/21198/z1893t84","ark:/21198/z1t17r47","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1t17r47",""
"Masters/othermasters/DEPaccionsocialista/images/ihc_accionsocialista_19251020_002.tif","Page","Page 2","2","ark:/21198/z1893t84","ark:/21198/z1p870cf","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1p870cf",""
"Masters/othermasters/DEPaccionsocialista/images/ihc_accionsocialista_19251020_003.tif","Page","Page 3","3","ark:/21198/z1893t84","ark:/21198/z1jh67m8","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1jh67m8",""
"Masters/othermasters/DEPaccionsocialista/images/ihc_accionsocialista_19251020_004.tif","Page","Page 4","4","ark:/21198/z1893t84","ark:/21198/z1dr5gv3","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1dr5gv3",""
"Masters/othermasters/DEPaccionsocialista/images/ihc_accionsocialista_19251020_005.tif","Page","Page 5","5","ark:/21198/z1893t84","ark:/21198/z1904r60","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1904r60",""
"Masters/othermasters/DEPaccionsocialista/images/ihc_accionsocialista_19251020_006.tif","Page","Page 6","6","ark:/21198/z1893t84","ark:/21198/z15b2pv4","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz15b2pv4",""
"Masters/othermasters/DEPaccionsocialista/images/ihc_accionsocialista_19251020_007.tif","Page","Page 7","7","ark:/21198/z1893t84","ark:/21198/z11k1z75","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11k1z75",""
"Masters/othermasters/DEPaccionsocialista/images/ihc_accionsocialista_19251020_008.tif","Page","Page 8","8","ark:/21198/z1893t84","ark:/21198/z1wt1fqd","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1wt1fqd",""
"Masters/othermasters/DEPaccionsocialista/images/ihc_accionsocialista_19251020_009.tif","Page","Page 9","9","ark:/21198/z1893t84","ark:/21198/z1s20q0d","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1s20q0d",""
"Masters/othermasters/DEPaccionsocialista/images/ihc_accionsocialista_19251020_010.tif","Page","Page 10","10","ark:/21198/z1893t84","ark:/21198/z1n89z67","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1n89z67",""
