"Project Name","Parent ARK","Item ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Thumbnail","Type.typeOfResource","Rights.copyrightStatus","Rights.countryCreation","Rights.permission","Language","Name.creator","Name.repository","Name.subject","Rights.rightsHolderContact","Rights.servicesContact","Subject","Date.normalized","Title","Date.creation","Description.note","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"ARPANET Project Notes","ark:/21198/zz002h2f10","ark:/21198/z1sx80vk","","","Page","arpanet/image/pdf_images/21198-zz002h2f10-1-master_001.tif","1","","","","","","","","","","","","","","","","Page 1","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1sx80vk",""
"ARPANET Project Notes","ark:/21198/zz002h2f10","ark:/21198/z1p57851","","","Page","arpanet/image/pdf_images/21198-zz002h2f10-1-master_002.tif","2","","","","","","","","","","","","","","","","Page 2","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1p57851",""
"ARPANET Project Notes","ark:/21198/zz002h2f10","ark:/21198/z1jh56vm","","","Page","arpanet/image/pdf_images/21198-zz002h2f10-1-master_003.tif","3","","","","","","","","","","","","","","","","Page 3","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1jh56vm",""
"ARPANET Project Notes","ark:/21198/zz002h2f10","ark:/21198/z1dr4g66","","","Page","arpanet/image/pdf_images/21198-zz002h2f10-1-master_004.tif","4","","","","","","","","","","","","","","","","Page 4","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1dr4g66",""
"ARPANET Project Notes","ark:/21198/zz002h2f10","ark:/21198/z1903qh7","","","Page","arpanet/image/pdf_images/21198-zz002h2f10-1-master_005.tif","5","","","","","","","","","","","","","","","","Page 5","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1903qh7",""
"ARPANET Project Notes","ark:/21198/zz002h2f10","ark:/21198/z1572zsh","","","Page","arpanet/image/pdf_images/21198-zz002h2f10-1-master_006.tif","6","","","","","","","","","","","","","","","","Page 6","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1572zsh",""
"ARPANET Project Notes","ark:/21198/zz002h2f10","ark:/21198/z11g26zt","","","Page","arpanet/image/pdf_images/21198-zz002h2f10-1-master_007.tif","7","","","","","","","","","","","","","","","","Page 7","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11g26zt",""
"ARPANET Project Notes","ark:/21198/zz002h2f10","ark:/21198/z1wq1qf3","","","Page","arpanet/image/pdf_images/21198-zz002h2f10-1-master_008.tif","8","","","","","","","","","","","","","","","","Page 8","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1wq1qf3",""
"ARPANET Project Notes","ark:/21198/zz002h2f10","ark:/21198/z1rz0zrt","","","Page","arpanet/image/pdf_images/21198-zz002h2f10-1-master_009.tif","9","","","","","","","","","","","","","","","","Page 9","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1rz0zrt",""
"ARPANET Project Notes","ark:/21198/zz002h2f10","ark:/21198/z1n88xfk","","","Page","arpanet/image/pdf_images/21198-zz002h2f10-1-master_010.tif","10","","","","","","","","","","","","","","","","Page 10","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1n88xfk",""
"ARPANET Project Notes","ark:/21198/zz002h2f10","ark:/21198/z1hh85rp","","","Page","arpanet/image/pdf_images/21198-zz002h2f10-1-master_011.tif","11","","","","","","","","","","","","","","","","Page 11","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1hh85rp",""
"ARPANET Project Notes","ark:/21198/zz002h2f10","ark:/21198/z1cr7f38","","","Page","arpanet/image/pdf_images/21198-zz002h2f10-1-master_012.tif","12","","","","","","","","","","","","","","","","Page 12","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1cr7f38",""
"ARPANET Project Notes","ark:/21198/zz002h2f10","ark:/21198/z1806pcv","","","Page","arpanet/image/pdf_images/21198-zz002h2f10-1-master_013.tif","13","","","","","","","","","","","","","","","","Page 13","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1806pcv",""
"ARPANET Project Notes","ark:/21198/zz002h2f10","ark:/21198/z1475xk7","","","Page","arpanet/image/pdf_images/21198-zz002h2f10-1-master_014.tif","14","","","","","","","","","","","","","","","","Page 14","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1475xk7",""
"ARPANET Project Notes","ark:/21198/zz002h2f10","ark:/21198/z10g55s0","","","Page","arpanet/image/pdf_images/21198-zz002h2f10-1-master_015.tif","15","","","","","","","","","","","","","","","","Page 15","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10g55s0",""
