"Project Name","Parent ARK","Item ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Thumbnail","Type.typeOfResource","Rights.copyrightStatus","Rights.countryCreation","Rights.permission","Language","Name.creator","Name.repository","Name.subject","Rights.rightsHolderContact","Rights.servicesContact","Subject","Date.normalized","Title","Date.creation","Description.note","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"ARPANET Project Notes","ark:/21198/zz002h2drc","ark:/21198/z1rf7fr3","","","Page","arpanet/image/pdf_images/21198-zz002h2drc-1-master_001.tif","1","","","","","","","","","","","","","","","","Page 1","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1rf7fr3",""
"ARPANET Project Notes","ark:/21198/zz002h2drc","ark:/21198/z1mp6px1","","","Page","arpanet/image/pdf_images/21198-zz002h2drc-1-master_002.tif","2","","","","","","","","","","","","","","","","Page 2","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1mp6px1",""
"ARPANET Project Notes","ark:/21198/zz002h2drc","ark:/21198/z1gx5z75","","","Page","arpanet/image/pdf_images/21198-zz002h2drc-1-master_003.tif","3","","","","","","","","","","","","","","","","Page 3","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1gx5z75",""
"ARPANET Project Notes","ark:/21198/zz002h2drc","ark:/21198/z1c83wx2","","","Page","arpanet/image/pdf_images/21198-zz002h2drc-1-master_004.tif","4","","","","","","","","","","","","","","","","Page 4","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1c83wx2",""
"ARPANET Project Notes","ark:/21198/zz002h2drc","ark:/21198/z17h357k","","","Page","arpanet/image/pdf_images/21198-zz002h2drc-1-master_005.tif","5","","","","","","","","","","","","","","","","Page 5","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz17h357k",""
"ARPANET Project Notes","ark:/21198/zz002h2drc","ark:/21198/z13r2dkr","","","Page","arpanet/image/pdf_images/21198-zz002h2drc-1-master_006.tif","6","","","","","","","","","","","","","","","","Page 6","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz13r2dkr",""
"ARPANET Project Notes","ark:/21198/zz002h2drc","ark:/21198/z1001nvb","","","Page","arpanet/image/pdf_images/21198-zz002h2drc-1-master_007.tif","7","","","","","","","","","","","","","","","","Page 7","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1001nvb",""
"ARPANET Project Notes","ark:/21198/zz002h2drc","ark:/21198/z1v71583","","","Page","arpanet/image/pdf_images/21198-zz002h2drc-1-master_008.tif","8","","","","","","","","","","","","","","","","Page 8","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1v71583",""
"ARPANET Project Notes","ark:/21198/zz002h2drc","ark:/21198/z1qg0dhx","","","Page","arpanet/image/pdf_images/21198-zz002h2drc-1-master_009.tif","9","","","","","","","","","","","","","","","","Page 9","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1qg0dhx",""
"ARPANET Project Notes","ark:/21198/zz002h2drc","ark:/21198/z1kp9nt3","","","Page","arpanet/image/pdf_images/21198-zz002h2drc-1-master_010.tif","10","","","","","","","","","","","","","","","","Page 10","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1kp9nt3",""
