File name,Item ARK,Parent ARK,Object Type,local ID,Title,Creator,Date.created,Date.created (single),TypeOfResource,Genre,Extent,Dimensions,Insitution/Repository,collection name,Rights.copyrightStatus,Rights.publicationStatus,Rights.servicesContact,Note.content,Subject,Digital Collection Title
lnm_ramakatane_a10_0002_005.tif,ark:/21198/z14q9m3k,ark:/21198/z12r5hwv,Work,A10_Ramakatane_02_05,Ramakatane archive 1195,M.T. Ramakatane,1970,1970,still image,black-and-white photographs,1 negative,6 x 6cm,Lesotho National Museum|~|Photography Legacy Project,Ramakatane Archive (Lesotho National Museum),copyrighted,unpublished,https://www.plparchive.com/contact/,"Miss Butha Buthe dressed in a fancy dress with sash and crown on her head seated with her gloved hands clasped in her lap, photographed in Mr. M.T. Ramakatane's City Centre Studio",Maseru (Lesotho) |~| Portrait photography |~| Vernacular photography |~| Independence |~| Women,Ramakatane Archive
lnm_ramakatane_a10_0002_006.tif,ark:/21198/z10z8vg6,ark:/21198/z12r5hwv,Work,A10_Ramakatane_02_06,Ramakatane archive 1196,M.T. Ramakatane,1970,1970,still image,black-and-white photographs,1 negative,6 x 6cm,Lesotho National Museum|~|Photography Legacy Project,Ramakatane Archive (Lesotho National Museum),copyrighted,unpublished,https://www.plparchive.com/contact/,"Miss Butha Buthe dressed in a fancy dress with sash and crown on her head seated with her gloved hands on her thighs, photographed in Mr. M.T. Ramakatane's City Centre Studio",Maseru (Lesotho) |~| Portrait photography |~| Vernacular photography |~| Independence |~| Women,Ramakatane Archive
lnm_ramakatane_a10_0002_006a.tif,ark:/21198/z1w972b1,ark:/21198/z12r5hwv,Work,A10_Ramakatane_02_06a,Ramakatane archive 1197,M.T. Ramakatane,1970,1970,still image,black-and-white photographs,1 negative,6 x 6cm,Lesotho National Museum|~|Photography Legacy Project,Ramakatane Archive (Lesotho National Museum),copyrighted,unpublished,https://www.plparchive.com/contact/,"Elderly man in a fedora and suit with lace pocket square seated and looking warmly at the camera, photographed in Mr. M.T. Ramakatane's City Centre Studio",Maseru (Lesotho) |~| Portrait photography |~| Vernacular photography |~| Independence |~| Men,Ramakatane Archive
lnm_ramakatane_a10_0002_007.tif,ark:/21198/z1rj69p6,ark:/21198/z12r5hwv,Work,A10_Ramakatane_02_07,Ramakatane archive 1198,M.T. Ramakatane,1970,1970,still image,black-and-white photographs,1 negative,6 x 6cm,Lesotho National Museum|~|Photography Legacy Project,Ramakatane Archive (Lesotho National Museum),copyrighted,unpublished,https://www.plparchive.com/contact/,"Young man in a suit and tie with mokorotlo on his head looking into the camera, photographed in Mr. M.T. Ramakatane's City Centre Studio",Maseru (Lesotho) |~| Portrait photography |~| Vernacular photography |~| Independence |~| Youth,Ramakatane Archive
lnm_ramakatane_a10_0002_009.tif,ark:/21198/z1ms5k0b,ark:/21198/z12r5hwv,Work,A10_Ramakatane_02_09,Ramakatane archive 1199,M.T. Ramakatane,1970,1970,still image,black-and-white photographs,1 negative,6 x 6cm,Lesotho National Museum|~|Photography Legacy Project,Ramakatane Archive (Lesotho National Museum),copyrighted,unpublished,https://www.plparchive.com/contact/,"Young woman with short relaxed hair wearing floral dress and sleeveless turtleneck facing the camera and smiling with hands clasped on her lap, photographed in Mr. M.T. Ramakatane's City Centre Studio",Maseru (Lesotho) |~| Portrait photography |~| Vernacular photography |~| Independence |~| Youth,Ramakatane Archive
lnm_ramakatane_a10_0002_010.tif,ark:/21198/z1h14t5k,ark:/21198/z12r5hwv,Work,A10_Ramakatane_02_10,Ramakatane archive 1200,M.T. Ramakatane,1970,1970,still image,black-and-white photographs,1 negative,6 x 6cm,Lesotho National Museum|~|Photography Legacy Project,Ramakatane Archive (Lesotho National Museum),copyrighted,unpublished,https://www.plparchive.com/contact/,"Young woman with short hair wearing floral dress and sleeveless turtleneck with hands clasped on her left hip, photographed in Mr. M.T. Ramakatane's City Centre Studio",Maseru (Lesotho) |~| Portrait photography |~| Vernacular photography |~| Independence |~| Youth,Ramakatane Archive
lnm_ramakatane_a10_0003_007.tif,ark:/21198/z1c842ds,ark:/21198/z12r5hwv,Work,A10_Ramakatane_03_07,Ramakatane archive 1201,M.T. Ramakatane,1970,1970,still image,black-and-white photographs,1 negative,6 x 6cm,Lesotho National Museum|~|Photography Legacy Project,Ramakatane Archive (Lesotho National Museum),copyrighted,unpublished,https://www.plparchive.com/contact/,"Woman in a fancy dress and cape wearing a small crown on her head and touching the fold of her dress, photographed in Mr. M.T. Ramakatane's City Centre Studio",Maseru (Lesotho) |~| Portrait photography |~| Vernacular photography |~| Independence |~| Women,Ramakatane Archive
lnm_ramakatane_a10_0004_001.tif,ark:/21198/z17h39p2,ark:/21198/z12r5hwv,Work,A10_Ramakatane_04_01,Ramakatane archive 1202,M.T. Ramakatane,1970,1970,still image,black-and-white photographs,1 negative,6 x 6cm,Lesotho National Museum|~|Photography Legacy Project,Ramakatane Archive (Lesotho National Museum),copyrighted,unpublished,https://www.plparchive.com/contact/,"Man with pipe in his mouth gazing into the distance with right hand over left hand, photographed in Mr. M.T. Ramakatane's City Centre Studio",Maseru (Lesotho) |~| Portrait photography |~| Vernacular photography |~| Independence |~| Men,Ramakatane Archive
lnm_ramakatane_a10_0004_008.tif,ark:/21198/z13r2k1n,ark:/21198/z12r5hwv,Work,A10_Ramakatane_04_08,Ramakatane archive 1203,M.T. Ramakatane,1970,1970,still image,black-and-white photographs,1 negative,6 x 6cm,Lesotho National Museum|~|Photography Legacy Project,Ramakatane Archive (Lesotho National Museum),copyrighted,unpublished,https://www.plparchive.com/contact/,"Young man in checked jacket and battersby hat seated with one hand on the temple of his face with elbow on his thigh, photographed in Mr. M.T. Ramakatane's City Centre Studio",Maseru (Lesotho) |~| Portrait photography |~| Vernacular photography |~| Independence |~| Youth,Ramakatane Archive
lnm_ramakatane_a10_0010_001.tif,ark:/21198/z1030hp3,ark:/21198/z12r5hwv,Work,A10_Ramakatane_10_01,Ramakatane archive 1204,M.T. Ramakatane,1970,1970,still image,black-and-white photographs,1 negative,6 x 6cm,Lesotho National Museum|~|Photography Legacy Project,Ramakatane Archive (Lesotho National Museum),copyrighted,unpublished,https://www.plparchive.com/contact/,"Smiling woman in a headwrap wearing a blazer and seated with her hands clasped on her lap, photographed in Mr. M.T. Ramakatane's City Centre Studio",Maseru (Lesotho) |~| Portrait photography |~| Vernacular photography |~| Independence |~| Women,Ramakatane Archive
