Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Thumbnail,Type.genre,Rights.copyrightStatus,Rights.countryCreation,Language,Rights.permission,Name.repository,Relation.isPartOf,Name.creator,Rights.rightsHolderContact,Subject,Date.normalized,Date.creation,Title
Roberts (Larry) Collection,,,,,Page,21198-zz002d3hdv-1-master_001.tif,1,,,,,,,,,,,,,,,,Page 1
Roberts (Larry) Collection,,,,,Page,21198-zz002d3hdv-1-master_002.tif,2,,,,,,,,,,,,,,,,Page 2
Roberts (Larry) Collection,,,,,Page,21198-zz002d3hdv-1-master_003.tif,3,,,,,,,,,,,,,,,,Page 3
Roberts (Larry) Collection,,,,,Page,21198-zz002d3hdv-1-master_004.tif,4,,,,,,,,,,,,,,,,Page 4
Roberts (Larry) Collection,,,,,Page,21198-zz002d3hdv-1-master_005.tif,5,,,,,,,,,,,,,,,,Page 5
Roberts (Larry) Collection,,,,,Page,21198-zz002d3hdv-1-master_006.tif,6,,,,,,,,,,,,,,,,Page 6
Roberts (Larry) Collection,,,,,Page,21198-zz002d3hdv-1-master_007.tif,7,,,,,,,,,,,,,,,,Page 7
Roberts (Larry) Collection,,,,,Page,21198-zz002d3hdv-1-master_008.tif,8,,,,,,,,,,,,,,,,Page 8
Roberts (Larry) Collection,,,,,Page,21198-zz002d3hfc-1-master_001.tif,1,,,,,,,,,,,,,,,,Page 1
Roberts (Larry) Collection,,,,,Page,21198-zz002d3hfc-1-master_002.tif,2,,,,,,,,,,,,,,,,Page 2
Roberts (Larry) Collection,,,,,Page,21198-zz002d3hfc-1-master_003.tif,3,,,,,,,,,,,,,,,,Page 3
Roberts (Larry) Collection,,,,,Page,21198-zz002d3hfc-1-master_004.tif,4,,,,,,,,,,,,,,,,Page 4
Roberts (Larry) Collection,,,,,Page,21198-zz002d3hfc-1-master_005.tif,5,,,,,,,,,,,,,,,,Page 5
Roberts (Larry) Collection,,,,,Page,21198-zz002d3hfc-1-master_006.tif,6,,,,,,,,,,,,,,,,Page 6
