Manuscript Number,ARK,Batch,CSV filename,Date Ingested Stage,Date Ingested Prod,Date originally ingested,Notes
30,ark:/21198/zz000sr04s,Batch 01,minasian_mss30_work.csv,7/24/20,6/20/20,,
12,ark:/21198/zz000sq41q,Batch 02,minasian_mss12_work.csv,7/24/20,,2/4/2020,
314,ark:/21198/zz000svzmw,Batch 03,minasian_batch3_works.csv,7/24/20,,2/6/2020,
457,ark:/21198/zz000srp91,Batch 03,minasian_batch3_works.csv,7/24/20,,2/6/2020,
551,ark:/21198/zz000srw9x,Batch 03,minasian_batch3_works.csv,7/24/20,,2/6/2020,
631,ark:/21198/zz000sz4f2,Batch 03,minasian_batch3_works.csv,7/24/20,,2/6/2020,
764,ark:/21198/zz000szj9s,Batch 03,minasian_batch3_works.csv,7/24/20,,2/6/2020,
399,ark:/21198/zz000srk40,Batch 04,minasian_mss399_work.csv,7/24/20,,4/16/20,
336,ark:/21198/zz000sw0gr,Batch 05,minasian_batch5_works.csv,7/24/20,,,
561,ark:/21198/zz000srx2s,Batch 05,minasian_batch5_works.csv,7/24/20,,,
1440,ark:/21198/zz000wrbz8,Batch 05,minasian_batch5_works.csv,7/24/20,,,
1475,ark:/21198/zz000wrgm1,Batch 05,minasian_batch5_works.csv,7/24/20,,,
1486,ark:/21198/zz000wrh7t,Batch 05,minasian_batch5_works.csv,7/24/20,,,
183,ark:/21198/zz000stp3t,Batch 06,minasian_batch6_works.csv,7/24/20,,5/14/20,
396,ark:/21198/zz000srk1f,Batch 06,minasian_batch6_works.csv,7/24/20,,,
582,ark:/21198/zz000srzk1,Batch 06,minasian_batch6_works.csv, 7/24/20,,5/14/20,
732,ark:/21198/zz000szg47,Batch 06,minasian_batch6_works.csv,7/24/20,,5/14/20,
1447,ark:/21198/zz000wrck2,Batch 06,minasian_batch6_works.csv,7/24/20,,5/14/20,
13,ark:/21198/zz000sq427,Batch 07,minasian_batch7_works.csv,7/24/20,6/20/20,6/20/20,
23,ark:/21198/zz000sqzfh,Batch 07,minasian_batch7_works.csv,7/24/20,6/20/20,6/20/20,
31,ark:/21198/zz000spg55,Batch 08,minasian_batch8_works.csv,7/24/20,6/20/20,6/20/20,
32,ark:/21198/zz000spggt,Batch 08,minasian_batch8_works.csv,7/24/20,6/20/20,6/20/20,
33,ark:/21198/zz000spnwf,Batch 08,minasian_batch8_works.csv,7/24/20,6/20/20,6/20/20,
34,ark:/21198/zz000sq0zr,Batch 08,minasian_batch8_works.csv,7/24/20,6/20/20,6/20/20,
35,ark:/21198/zz000sq1g0,Batch 08,minasian_batch8_works.csv,7/24/20,6/20/20,6/20/20,
37,ark:/21198/zz000sq36t,Batch 09,minasian_batch9_works.csv,7/24/20,,7/18/20,
58,ark:/21198/zz000st6vf,Batch 09,minasian_batch9_works.csv,7/24/20,,7/18/20,
62,ark:/21198/zz000st721,Batch 09,minasian_batch9_works.csv,7/24/20,,7/18/20,
113,ark:/21198/zz000stc82,Batch 09,minasian_batch9_works.csv,7/24/20,,7/18/20,
121,ark:/21198/zz000std8j,Batch 09,minasian_batch9_works.csv,7/24/20,,7/18/20,
133,ark:/21198/zz000stdvb,Batch 10,minasian_batch10_works.csv,,,,
136,ark:/21198/zz000stf60,Batch 10,minasian_batch10_works.csv,,,,
152,ark:/21198/zz000stfvt,Batch 10,minasian_batch10_works.csv,,,,
160,ark:/21198/zz000stg4f,Batch 10,minasian_batch10_works.csv,,,,
184,ark:/21198/zz000stp4b,Batch 10,minasian_batch10_works.csv,,,,
201,ark:/21198/zz000stw1p,Batch 11,minasian_batch11_works.csv,,,,
212,ark:/21198/zz000stwgd,Batch 11,minasian_batch11_works.csv,,,,
214,ark:/21198/zz000svt6r,Batch 11,minasian_batch11_works.csv,,,,
225,ark:/21198/zz000svv9s,Batch 11,minasian_batch11_works.csv,,,,
242,ark:/21198/zz000svvwk,Batch 11,minasian_batch11_works.csv,,,,
248,ark:/21198/zz000svw6q,Batch 11,minasian_batch11_works.csv,,,,
251,ark:/21198/zz000svwc9,Batch 11,minasian_batch11_works.csv,,,,
263,ark:/21198/zz000svwsh,Batch 11,minasian_batch11_works.csv,,,,
279,ark:/21198/zz000svxd9,Batch 11,minasian_batch11_works.csv,,,,
307,ark:/21198/zz000svzbr,Batch 11,minasian_batch11_works.csv,,,,
577,ark:/21198/zz000srzdf,Removed,minasian_batch5_works.csv,,,,Images not on Masters. Thumbnails are also missing. Need to assume the files were lost. Removed from batch 5.
139,ark:/21198/zz000stfd3,Removed,minasian_batch10_works.csv,,,,Item contained no digitized pages or other children. Was a mistake in the minasian_processing output.
180,ark:/21198/zz000stp08,Removed,minasian_batch10_works.csv,,,,Found a single child page item (cover) in DLCS but it did not have any image data associated with it. Deleted. 
