Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Thumbnail,Type.typeOfResource,Rights.copyrightStatus,Rights.permission,Rights.publicationStatus,Coverage.geographic,Name.photographer,Author,Name.creator,Name.subject,Name.contributor,Rights.servicesContact,Language,Type.genre,Subject,Rights.notice,Name.repository,viewingHint,Text direction,Visibility,IIIF Range,Title,Date.creation,Date.normalized,Description.caption,Description.note,Description.abstract,Date.publication,IIIF Manifest URL
Faderman (Lillian) Collection,ark:/21198/zz0017q3sc,ark:/21198/zz000s2z7w,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017q4ns,text,copyrighted,N,unpublished,Philadelphia (Pa.)|~|Fresno (Calif.),,"Stein, Judith E.",,"Faderman, Lillian",,,eng,letters (correspondence),Correspondence - Other (Faderman)|~|Lesbians--History|~|Lesbians in literature--History,,June L. Mazer Lesbian Archives,individuals,,private,,Letter Regarding Conference,"June 4, 1981",1981-06-04,,Rights.statementLocal: Need to obtain permission to publish from original author.|~|Rights.statementLocal: Item includes personal information (author's address).,,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0017q3sc/manifest
Faderman (Lillian) Collection,ark:/21198/zz0017q3tw,ark:/21198/zz000s2z7w,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017q4qt,text,copyrighted,N,unpublished,California|~|Edinburgh (Scotland)|~|Canada,,"Rule, Jane",,"Faderman, Lillian",,,eng,letters (correspondence),Correspondence - Other (Faderman)|~|Lesbians--History|~|Lesbians in literature--History,,June L. Mazer Lesbian Archives,individuals,,private,,Letter Regarding Manuscript and Review,"June 22, 1981",1981-06-22,,Rights.statementLocal: Need to obtain permission to publish from original author.|~|Rights.statementLocal: Item contains personal information (author's address).,,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0017q3tw/manifest
Faderman (Lillian) Collection,ark:/21198/zz0017q3vd,ark:/21198/zz000s2z7w,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017q4wd,text,copyrighted,N,unpublished,,,Unknown,,"Faderman, Lillian|~|Colette, 1873-1954",,,eng,letters (correspondence),Correspondence - Other (Faderman)|~|Lesbians--History,,June L. Mazer Lesbian Archives,individuals,,private,,Letter Regarding Colette,"August 19, 1981",1981-08-19,,Rights.statementLocal: Need to obtain permission to publish from original author.|~|Rights.statementLocal: Original author unknown.,,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0017q3vd/manifest
Faderman (Lillian) Collection,ark:/21198/zz0017q3wx,ark:/21198/zz000s2z7w,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017q50f,text,copyrighted,Y,unpublished,England,,"Faderman, Lillian",,,,,eng,letters (correspondence),Correspondence - Other (Faderman)|~|Lesbians--History|~|Lesbians in literature--History,,June L. Mazer Lesbian Archives,individuals,,,,Letter Regarding Check for Royalties,"August 20, 1981",1981-08-20,,,,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0017q3wx/manifest
Faderman (Lillian) Collection,ark:/21198/zz0017q3xf,ark:/21198/zz000s2z7w,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017q52g,text,copyrighted,N,unpublished,United States,,"Taylor, Sheila Ortiz",,"Faderman, Lillian|~|National Women's Studies Association",,,eng,letters (correspondence),Correspondence - Other (Faderman)|~|Lesbians--History,,June L. Mazer Lesbian Archives,individuals,,private,,Letter Regarding Presentation at Conference,"September 10, 1981",1981-09-10,,Rights.statementLocal: Need to obtain permission to publish from original author.,,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0017q3xf/manifest
Faderman (Lillian) Collection,ark:/21198/zz0017q3zz,ark:/21198/zz000s2z7w,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017q54h,text,copyrighted,N,unpublished,,,Unknown,,"Faderman, Lillian",,,eng,letters (correspondence),Correspondence - Other (Faderman)|~|Lesbians--History|~|Lesbians in literature--History,,June L. Mazer Lesbian Archives,individuals,,private,,Letter Regarding Book Review,"September 20, 1981",1981-09-20,,Rights.statementLocal: Original author unknown.|~|Rights.statementLocal: Need to obtain permission to publish from original author.,,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0017q3zz/manifest
Faderman (Lillian) Collection,ark:/21198/zz0017q40z,ark:/21198/zz000s2z7w,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017q572,text,copyrighted,N,unpublished,,,"Becker, Robin",,"Faderman, Lillian",,,eng,letters (correspondence),Correspondence - Other (Faderman),,June L. Mazer Lesbian Archives,individuals,,private,,Letter Regarding Letter of Recommendation,"October 22, 1981",1981-10-22,,Rights.statementLocal: Need to obtain permission to publish from original author.,,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0017q40z/manifest
Faderman (Lillian) Collection,ark:/21198/zz0017q41g,ark:/21198/zz000s2z7w,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017q58k,text,copyrighted,N,unpublished,,,Unknown,,"Faderman, Lillian|~|Colette, 1873-1954",,,eng,letters (correspondence),Correspondence - Other (Faderman),,June L. Mazer Lesbian Archives,individuals,,private,,Letter Regarding Lesbian Relationships,"October 27, 1981",1981-10-27,,Rights.statementLocal: Need to obtain permission to publish from original author.|~|Rights.statementLocal: Original author unknown.,,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0017q41g/manifest
Faderman (Lillian) Collection,ark:/21198/zz0017q420,ark:/21198/zz000s2z7w,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017q5bm,text,copyrighted,N,unpublished,Los Angeles (Calif.)|~|United States,,"Loveland, Kay",,"Faderman, Lillian|~|Gay Academic Union, Inc.",,,eng,letters (correspondence),Correspondence - Other (Faderman)|~|Lesbians--History|~|Lesbians in literature--History,,June L. Mazer Lesbian Archives,individuals,,private,,Letter of Thanks for Presentation at Lesbian Gay Academic Union,"October 27, 1981",1981-10-27,,Rights.statementLocal: Need to obtain permission to publish from original author.,,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0017q420/manifest
Faderman (Lillian) Collection,ark:/21198/zz0017q43h,ark:/21198/zz000s2z7w,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017q5c4,text,copyrighted,N,unpublished,Los Angeles (Calif.),,Unknown,,"Faderman, Lillian|~|Dijkstra, Sandra",,,eng,letters (correspondence),Correspondence - Other (Faderman)|~|Lesbians--History|~|Lesbians in literature--History,,June L. Mazer Lesbian Archives,individuals,,private,,Letter Regarding Recommendation of Publishing Agent,"October 28, 1981",1981-10-28,,Rights.statementLocal: Original author unknown.|~|Rights.statementLocal: Need to obtain permission to publish from original author.,,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0017q43h/manifest
