"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","iiif_access_url","Type.typeOfResource","Rights.copyrightStatus","Language","Description.note","Date.normalized","Date.creation","Title","Alt ID.local","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s","ark:/21198/zz002gccrh/hf36m285","ark:/21198/zz002gccrh","","","Page","satellite/image/Jiaodong_DS1103-2183DF017_17_c.tif","3","","","","","","","","","","Page 3","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002gccrh%2Fhf36m285",""
"UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s","ark:/21198/zz002gccrh/jf71rq87","ark:/21198/zz002gccrh","","","Page","satellite/image/Jiaodong_DS1103-2183DF017_17_b.tif","2","","","","","","","","","","Page 2","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002gccrh%2Fjf71rq87",""
"UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s","ark:/21198/zz002gccrh/jm36tn01","ark:/21198/zz002gccrh","","","Page","satellite/image/Jiaodong_DS1103-2183DF017_17_d.tif","4","","","","","","","","","","Page 4","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002gccrh%2Fjm36tn01",""
"UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s","ark:/21198/zz002gccrh/qb82hq8q","ark:/21198/zz002gccrh","","","Page","satellite/image/Jiaodong_DS1103-2183DF017_17_a.tif","1","","","","","","","","","","Page 1","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002gccrh%2Fqb82hq8q",""
