Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,viewingHint,Duplicate,Delete in Title,Rights.copyrightStatus,Rights.publicationStatus,Language,Type.typeOfResource,Type.genre,Subject.conceptTopic,Subject geographic,Name.creator,Name.repository,Note,Thumbnail,Title,Alt ID.local,Date.creation,Date.normalized,Description.fundingNote,Publisher.publisherName,Format.extent,Publisher.placeOfOrigin,Description.note,Coverage.geographic,AltTitle.translated,AltTitle.descriptive,Alt ID.lccn,Alt ID.oclc,Alt ID.url,IIIF Manifest URL
East Asian Maps in the Bruman Collection,ark:/21198/zz002hf36p,ark:/21198/zz002hc63p,10,Completed with minimal metadata,Work,,659,individuals,,,pd_usfed,,eng,cartographic,map|~|bibliography,Church buildings--Massachusetts--Medford|~|Social surveys--Massachusetts--Medford|~|Medford (Mass.)--Churches,Korea--Maps,"Carper, Eugene G.|~|Bissett, Elisabeth.|~|Massachusetts Council of Churches. Department of Research.","University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",northernmost:N0373500|~|westernmost:E1265500|~|easternmost:E1270200|~|southernmost:N0373100,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hf36p%2F9f918h7k,Medford study,G7904s_KYONGSONG_12_5_AMS_1946_ED1_A|~|Monograph_Maps,1946|~|1965,1946,Access to this collection is generously supported by Sammy Yukuan Lee Foundation.,"Dept. of Research, Massachusetts Council of Churches","iii, 27 [i.e. 28] leaves : illustrations, maps ; 28 cm",Boston|~|mau,"Eugene G. Carper, Elisabeth Bissett.|~|Includes bibliographical references.|~|1st ed.",Medford (Mass.)|~|Korea|~|Massachusetts,,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hf36p/manifest
East Asian Maps in the Bruman Collection,ark:/21198/zz002hf397,ark:/21198/zz002hc63p,10,Completed with minimal metadata,Work,,662,individuals,,,pd_usfed,,jpn,cartographic,map,,Korea--Maps,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hf397%2F5h098n8s,New Seoul,G7904_25_KS_1954_A|~|Monograph_Maps,1954-06-15,1954-06-15,Access to this collection is generously supported by Sammy Yukuan Lee Foundation.,,,,,Korea,,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hf397/manifest
East Asian Maps in the Bruman Collection,ark:/21198/zz002hf4jb,ark:/21198/zz002hc63p,10,Completed with minimal metadata,Work,,698,individuals,,,pd_usfed,,eng,cartographic,map,,Japan--Maps,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",westernmost:E1300000|~|easternmost:E1460000|~|northernmost:N0440000|~|southernmost:N0320000,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hf4jb%2Frs98656q,Physiographic Diagram Of Japan By Guy-Harold Smith,G7961_C2_4M_AGS_ND_A|~|Monograph_Maps,,,Access to this collection is generously supported by Sammy Yukuan Lee Foundation.,,,,,Japan|~|4000000,,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hf4jb/manifest
East Asian Maps in the Bruman Collection,ark:/21198/zz002hf50j,ark:/21198/zz002hc63p,1,In progress,Work,,711,individuals,,,pd,,,cartographic,map,,Japan--Maps,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hf50j%2Ft687vj8g,G7961_E2_1M_NP_ND_Sheet1,G7961_E2_1M_NP_ND_Sheet1|~|Monograph_Maps,,,Access to this collection is generously supported by Sammy Yukuan Lee Foundation.,,,,,Japan,,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hf50j/manifest
East Asian Maps in the Bruman Collection,ark:/21198/zz002hf5xh,ark:/21198/zz002hc63p,10,Completed with minimal metadata,Work,,738,individuals,,,pd_usfed,,eng,cartographic,map|~|Tourist maps.,Japan--Maps,Japan--Maps,Japan. Kokusai Kankōkyoku.|~|Nihon Kokuyū Tetsudō.,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",northernmost:N0410000|~|westernmost:E1300000|~|easternmost:E1420000|~|southernmost:N0310000,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hf5xh%2Fpx00xt86,"Travellers' map of Japan, 1939",G7961_P3_1939_A|~|Monograph_Maps,[1939],1939,Access to this collection is generously supported by Sammy Yukuan Lee Foundation.,Board of Tourist Industry,"1 map : col. ; 61 x 89 cm., folded to 21 x 12 cm.",[Tokyo?]|~|ja,"On panel: Japanese Government Railways.|~|Panel title.|~|Title on map: Honsyū, Sikoku & Kyūsyū.|~|Tourist information and descriptive index on verso.|~|Ancillary maps: Tyōsen -- Taiwan -- General map of Japan -- Hokkaido -- Karahuto -- Okinawa -- Ōsaka -- Tōkyō.",Japan|~|1750000,,"Honsyū, Sikoku & Kyūshū",93684154,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hf5xh/manifest
East Asian Maps in the Bruman Collection,ark:/21198/zz002hf6hs,ark:/21198/zz002hc63p,10,Completed with minimal metadata,Work,,755,individuals,,,pd,,eng,cartographic,map,,Japan--Maps,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hf6hs%2Fzf63420h,AAF TARGET CHART JAPAN NO. 1386,G7962_200_AAF_1944_ED2_A|~|Monograph_Maps,January 1944,1944-01,Access to this collection is generously supported by Sammy Yukuan Lee Foundation.,,,,2nd ed.,Japan,,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hf6hs/manifest
East Asian Maps in the Bruman Collection,ark:/21198/zz002hfb83,ark:/21198/zz002hc63p,10,Completed with minimal metadata,Work,,864,individuals,,,pd_usfed,,eng,cartographic,map,Japan--Administrative and political divisions--Maps,Tokyo Region (Japan)--Maps,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",easternmost:E1393400|~|northernmost:N0354100|~|southernmost:N0353700|~|westernmost:E1392700,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hfb83%2Fp942ps9m,Tokyo And Environs - Sheet 11: Chofu,G7964_12_5_AMS_1945_EDProv_SHEET11_A|~|Monograph_Maps,September 1945,1945-09,Access to this collection is generously supported by Sammy Yukuan Lee Foundation.,,,,Provisional ed.,Tokyo Region (Japan),,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hfb83/manifest
East Asian Maps in the Bruman Collection,ark:/21198/zz002hfb9m,ark:/21198/zz002hc63p,10,Completed with minimal metadata,Work,,865,individuals,,,pd_usfed,,eng,cartographic,map,Japan--Administrative and political divisions--Maps,Tokyo Region (Japan)--Maps,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",westernmost:E1393400|~|northernmost:N0353200|~|easternmost:E1394100|~|southernmost:N0352800,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hfb9m%2Fm5369n69,Tokyo And Environs - Sheet 17 Tsurumi,G7964_12_5_AMS_1945_EDProv_SHEET17_A|~|Monograph_Maps,September 1945,1945-09,Access to this collection is generously supported by Sammy Yukuan Lee Foundation.,,,,Provisional ed.,Tokyo Region (Japan),,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hfb9m/manifest
East Asian Maps in the Bruman Collection,ark:/21198/zz002hfbb4,ark:/21198/zz002hc63p,10,Completed with minimal metadata,Work,,866,individuals,,,pd_usfed,,eng,cartographic,map,Japan--Administrative and political divisions--Maps,Tokyo Region (Japan)--Maps,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",easternmost:E1395500|~|northernmost:N0355000|~|southernmost:N0354600|~|westernmost:E1394800,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hfbb4%2Fwr64h24s,Tokyo And Environs - Sheet 5 Matsudo,G7964_12_5_AMS_1945_EDProv_SHEET5_A|~|Monograph_Maps,September 1945,1945-09,Access to this collection is generously supported by Sammy Yukuan Lee Foundation.,,,,Provisional ed.,Tokyo Region (Japan),,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hfbb4/manifest
East Asian Maps in the Bruman Collection,ark:/21198/zz002hfbqt,ark:/21198/zz002hc63p,10,Completed with minimal metadata,Work,,877,individuals,,,pd_usfed,,,cartographic,map,,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hfbqt%2F7x088p27,Tokyo,G7964_E635_NP_c_1945_A|~|Monograph_Maps,,,Access to this collection is generously supported by Sammy Yukuan Lee Foundation.,,,,,,,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hfbqt/manifest
East Asian Maps in the Bruman Collection,ark:/21198/zz002hgdrr,ark:/21198/zz002hc63p,10,Completed with minimal metadata,Work,,925,individuals,,,pd,,eng,cartographic,map,,China--Maps,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",southernmost:N0180000|~|westernmost:E1000000|~|northernmost:N0420000|~|easternmost:E1200000,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hgdrr%2Fjx58z594,A Map Of China Prepared For The China Inland Mission 1928,G7820_3M_CIM_ESL_1928_A|~|Monograph_Maps,1928,1928,Access to this collection is generously supported by Sammy Yukuan Lee Foundation.,,,,,China|~|3000000,,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hgdrr/manifest
East Asian Maps in the Bruman Collection,ark:/21198/zz002hgf0v,ark:/21198/zz002hc63p,10,Completed with minimal metadata,Work,,932,individuals,,,pd,,,cartographic,map,,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hgf0v%2F5354h59j,War_Map The Pacific Theater,G7801_S7_10_4M_GDC_ND_SHEET1|~|Monograph_Maps,,,Access to this collection is generously supported by Sammy Yukuan Lee Foundation.,,,,,,,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hgf0v/manifest
East Asian Maps in the Bruman Collection,ark:/21198/zz002hgf3d,ark:/21198/zz002hc63p,10,Completed with minimal metadata,Work,,935,individuals,,,pd,,eng,cartographic,map,,China--Maps|~|Korea--Maps|~|Manchuria (China)--Maps,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",northernmost:N0500000|~|westernmost:E1180000|~|southernmost:N0360000|~|easternmost:E1360000,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hgf3d%2Ffr21fx9r,"Manchuria , East-China And Korea",G7802_2_5M_NP_1905_A|~|Monograph_Maps,1902,1902,Access to this collection is generously supported by Sammy Yukuan Lee Foundation.,,,,,Manchuria (China)|~|Korea|~|2500000,,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hgf3d/manifest
