Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Rights.copyrightStatus,Rights.publicationStatus,Language,Type.typeOfResource,Type.genre,Subject.conceptTopic,Subject geographic,Name.creator,Name.repository,Note,Title,Alt ID.local,Date.creation,Date.normalized,Description.fundingNote,Publisher.publisherName,Format.extent,Publisher.placeOfOrigin,Description.note,Coverage.geographic,AltTitle.translated,AltTitle.descriptive,Alt ID.lccn,Alt ID.oclc,Alt ID.url,Bucketeer State,IIIF Access URL,IIIF Manifest URL
East Asian Maps in the Bruman Collection,ark:/21198/zz002hgd70,ark:/21198/zz002hc63p,10,Completed with minimal metadata,Work,,910,,,pd,,eng,cartographic,map,,China--Maps,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",westernmost:E0750000|~|easternmost:E1250000|~|northernmost:N0400000|~|southernmost:N0200000,China,G7820_12M_NP_c_1910_A|~|Monograph_Maps,1910,1910,Access to this collection is generously supported by Sammy Yukuan Lee Foundation.,,,,,China|~|12000000,,,,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hgd70/manifest
East Asian Maps in the Bruman Collection,ark:/21198/zz002hgd70/mq14982v,ark:/21198/zz002hgd70,,,Page,Masters/Maps/east_asian_maps/image/Monograph_Maps/srgb/G7820_12M_NP_c_1910_A.tif,1,,,,,,,,,,,,,Page 1,,,,,,,,,,,,,,,failed,,
East Asian Maps in the Bruman Collection,ark:/21198/zz002hgd70/n461ht6z,ark:/21198/zz002hgd70,,,Page,Masters/Maps/east_asian_maps/image/Monograph_Maps/srgb/G7820_12M_NP_c_1910_B.tif,2,,,,,,,,,,,,,Page 2,,,,,,,,,,,,,,,failed,,
East Asian Maps in the Bruman Collection,ark:/21198/zz002hgdc2,ark:/21198/zz002hc63p,10,Completed with minimal metadata,Work,,914,,,pd,,eng,cartographic,map,,China--Maps,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",northernmost:N0450000|~|westernmost:E0650000|~|easternmost:E1400000|~|southernmost:N0200000,The New Map Of China Prepared For Missionaries Travellers,G7820_9_5M_NP_1936_A|~|Monograph_Maps,July 1936,1936-07,Access to this collection is generously supported by Sammy Yukuan Lee Foundation.,,,,,China,,,,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hgdc2/manifest
East Asian Maps in the Bruman Collection,ark:/21198/zz002hgdc2/g308110h,ark:/21198/zz002hgdc2,,,Page,Masters/Maps/east_asian_maps/image/Monograph_Maps/srgb/G7820_9_5M_NP_1936_A.tif,1,,,,,,,,,,,,,Page 1,,,,,,,,,,,,,,,failed,,
East Asian Maps in the Bruman Collection,ark:/21198/zz002hgdc2/m8676c6m,ark:/21198/zz002hgdc2,,,Page,Masters/Maps/east_asian_maps/image/Monograph_Maps/srgb/G7820_9_5M_NP_1936_B.tif,2,,,,,,,,,,,,,Page 2,,,,,,,,,,,,,,,failed,,
East Asian Maps in the Bruman Collection,ark:/21198/zz002hgdq7,ark:/21198/zz002hc63p,10,Completed with minimal metadata,Work,,924,,,pd,,eng,cartographic,map,,China--Maps,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,Phillips' Commercial Map Of China,G7821_Q1_3M_LGI_c_1927_SHEET1|~|Monograph_Maps,1927,1927,Access to this collection is generously supported by Sammy Yukuan Lee Foundation.,,,,,China|~|3000000,,,,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hgdq7/manifest
East Asian Maps in the Bruman Collection,ark:/21198/zz002hgdq7/sd52929x,ark:/21198/zz002hgdq7,,,Page,Masters/Maps/east_asian_maps/image/Monograph_Maps/srgb/G7821_Q1_3M_LGI_c_1927_SHEET1.tif,1,,,,,,,,,,,,,Page 1,,,,,,,,,,,,,,,failed,,
East Asian Maps in the Bruman Collection,ark:/21198/zz002hgdq7/hz57x59t,ark:/21198/zz002hgdq7,,,Page,Masters/Maps/east_asian_maps/image/Monograph_Maps/srgb/G7821_Q1_3M_LGI_c_1927_SHEET2.tif,2,,,,,,,,,,,,,Page 2,,,,,,,,,,,,,,,failed,,
East Asian Maps in the Bruman Collection,ark:/21198/zz002hghxs,ark:/21198/zz002hc63p,10,Completed with minimal metadata,Work,,1017,,,pd,,eng,cartographic,map,,Shanghai (China)--Maps,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,Map Of Shanghai Showing Places Of Interest,G7824_Shanghai_P2_NS_NYMCA_1920S_A|~|Monograph_Maps,1920,1920,Access to this collection is generously supported by Sammy Yukuan Lee Foundation.,,,,,Shanghai (China),,,,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hghxs/manifest
East Asian Maps in the Bruman Collection,ark:/21198/zz002hghxs/0b77035f,ark:/21198/zz002hghxs,,,Page,Masters/Maps/east_asian_maps/image/Monograph_Maps/srgb/G7824_Shanghai_P2_NS_NYMCA_1920S_A.tif,1,,,,,,,,,,,,,Page 1,,,,,,,,,,,,,,,failed,,
East Asian Maps in the Bruman Collection,ark:/21198/zz002hghxs/kn20q15d,ark:/21198/zz002hghxs,,,Page,Masters/Maps/east_asian_maps/image/Monograph_Maps/srgb/G7824_Shanghai_P2_NS_NYMCA_1920S_B.tif,2,,,,,,,,,,,,,Page 2,,,,,,,,,,,,,,,failed,,
East Asian Maps in the Bruman Collection,ark:/21198/zz002hghvr,ark:/21198/zz002hc63p,2,Completed,Work,,1015,,,pd,,eng,cartographic,map|~|Tourist maps.,Shanghai (China)--Maps,,"Hu, Minshan.|~|Chang, Y. C.","University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,Illustrative map of Shanghai,G7824_S2E635_1948_H8_A|~|Monograph_Maps,1945|~|[1945],,Access to this collection is generously supported by Sammy Yukuan Lee Foundation.,Y.C. Chang,"1 map : col. ; 22 x 33 cm., on sheet 25 x 36 cm., folded in cover 9 x 7 cm.",[Shanghai]|~|cc,"prepared by Mr. Minshan Hu.|~|""Allied forces and internees are cordially welcomed & received gratis with boarding at the following places. Weida Hotel, 933 Avenue Joffre; Johnson Hotel, 219 Rue de Aubert; Y.C. Chang Residence, 74 Avenue Victor Emmanuel III""--P. [4] of cover.|~|On verso: ""List of billets in the Shanghai area,"" indexes of buildings, food, lodging, entertainment and services; ""Some useful Shanghai dialects,"" and ""Chinese delicous [sic] dishes.""|~|""At long last, we Allies have attained--what we all so much long for--the ultimate glorious victory over our common enemy, the ruthless invaders. Much of our success is undeniably attributed to the substantial assistance of our Allied nations, in addition to the versatile leadership of our Generalissimo Chiang Kai-shek. I citizen of Shanghai industrial sector greet with tears of joys the triumphant return of our Allied Forces, following eight years' Ordeal. Y.C. Chang. August 24, 1945""--P. [2] of cover.|~|""Specially mapped for Allied Forces, with the compliments of Mr. Y.C. Chang's Allies Reception Houses.""",Shanghai (China)|~|24000,,"Shanghai, city of kaleidoscope, the leading metropolis of the Orient|~|Map of Shanghai",,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hghvr/manifest
East Asian Maps in the Bruman Collection,ark:/21198/zz002hghvr/ch72s451,ark:/21198/zz002hghvr,,,Page,Masters/Maps/east_asian_maps/image/Monograph_Maps/srgb/G7824_S2E635_1948_H8_A.tif,1,,,,,,,,,,,,,Page 1,,,,,,,,,,,,,,,failed,,
East Asian Maps in the Bruman Collection,ark:/21198/zz002hghvr/q641dj1j,ark:/21198/zz002hghvr,,,Page,Masters/Maps/east_asian_maps/image/Monograph_Maps/srgb/G7824_S2E635_1948_H8_B.tif,2,,,,,,,,,,,,,Page 2,,,,,,,,,,,,,,,failed,,
