"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Thumbnail","Type.typeOfResource","Rights.servicesContact","Language","Type.genre","Name.creator","Format.extent","Subject","Relation.isPartOf","Description.note","Summary","Local identifier","AltIdentifier.local","AltTitle.uniform","Title","Finding Aid URL","Opac url","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Bentley (Richard) and Son Papers. Collection 830","ark:/21198/zz0014sd31/5v66ns4k","ark:/21198/zz0014sd31","","","Page","bentley/masters/21198-zz0014sd31-7-master.tif","7","","","","","","","","","","","","","","","","","Page 7","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0014sd31%2F5v66ns4k",""
"Bentley (Richard) and Son Papers. Collection 830","ark:/21198/zz0014sd31/8q90pd0m","ark:/21198/zz0014sd31","","","Page","bentley/masters/21198-zz0014sd31-5-master.tif","5","","","","","","","","","","","","","","","","","Page 5","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0014sd31%2F8q90pd0m",""
"Bentley (Richard) and Son Papers. Collection 830","ark:/21198/zz0014sd31/c8952458","ark:/21198/zz0014sd31","","","Page","bentley/masters/21198-zz0014sd31-2-master.tif","2","","","","","","","","","","","","","","","","","Page 2","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0014sd31%2Fc8952458",""
"Bentley (Richard) and Son Papers. Collection 830","ark:/21198/zz0014sd31/p598kc4m","ark:/21198/zz0014sd31","","","Page","bentley/masters/21198-zz0014sd31-1-master.tif","1","","","","","","","","","","","","","","","","","Page 1","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0014sd31%2Fp598kc4m",""
"Bentley (Richard) and Son Papers. Collection 830","ark:/21198/zz0014sd31/q445q772","ark:/21198/zz0014sd31","","","Page","bentley/masters/21198-zz0014sd31-6-master.tif","6","","","","","","","","","","","","","","","","","Page 6","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0014sd31%2Fq445q772",""
"Bentley (Richard) and Son Papers. Collection 830","ark:/21198/zz0014sd31/r595b092","ark:/21198/zz0014sd31","","","Page","bentley/masters/21198-zz0014sd31-3-master.tif","3","","","","","","","","","","","","","","","","","Page 3","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0014sd31%2Fr595b092",""
"Bentley (Richard) and Son Papers. Collection 830","ark:/21198/zz0014sd31/s004mq25","ark:/21198/zz0014sd31","","","Page","bentley/masters/21198-zz0014sd31-8-master.tif","8","","","","","","","","","","","","","","","","","Page 8","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0014sd31%2Fs004mq25",""
"Bentley (Richard) and Son Papers. Collection 830","ark:/21198/zz0014sd31/x516td85","ark:/21198/zz0014sd31","","","Page","bentley/masters/21198-zz0014sd31-4-master.tif","4","","","","","","","","","","","","","","","","","Page 4","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0014sd31%2Fx516td85",""
