"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Visibility","Delete in Title","Name.subject","Rights.servicesContact","Subject","Name.repository","Title","Description.note","Date.creation","Opac url","Finding Aid URL","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Committee for Simon Rodia's Towers in Watts Records. Collection 1389","ark:/21198/z1zk7183","ark:/21198/zz0015s5sd","1","In progress","Page","simonrodia/masters/21198-zz0015s5sd-3-master.tif","3","","private","","","","","","Page 06","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1zk7183",""
"Committee for Simon Rodia's Towers in Watts Records. Collection 1390","ark:/21198/z1tx5010","ark:/21198/zz0015s5sd","1","In progress","Page","simonrodia/masters/21198-zz0015s5sd-2-master.tif","2","","private","","","","","","Page 03","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1tx5010",""
"Committee for Simon Rodia's Towers in Watts Records. Collection 1391","ark:/21198/z1q5477p","ark:/21198/zz0015s5sd","1","In progress","Page","simonrodia/masters/21198-zz0015s5sd-1-master.tif","1","","private","","","","","","Page 02","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1q5477p",""
