"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Thumbnail","Type.typeOfResource","Rights.copyrightStatus","Rights.countryCreation","Rights.permission","Language","Name.creator","Name.repository","Rights.rightsHolderContact","Title","Subject","AltTitle.other","Description.note","Summary","Alt ID.local","Date.creation","Date.normalized","Opac url","Finding Aid URL","Bucketeer State","IIIF Access URL"
"Wingfield (Michael) Collection","ark:/21198/z1rj653x","ark:/21198/zz002gw1mb","","","Page","wingfield/image/pdf_images/21198-zz002gw1mb-1-master_001.tif","1","","","","","","","","","","","","Page 1","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1rj653x"
"Wingfield (Michael) Collection","ark:/21198/z1ms5df3","ark:/21198/zz002gw1mb","","","Page","wingfield/image/pdf_images/21198-zz002gw1mb-1-master_002.tif","2","","","","","","","","","","","","Page 2","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ms5df3"
"Wingfield (Michael) Collection","ark:/21198/z1h14nmb","ark:/21198/zz002gw1mb","","","Page","wingfield/image/pdf_images/21198-zz002gw1mb-1-master_003.tif","3","","","","","","","","","","","","Page 3","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1h14nmb"
"Wingfield (Michael) Collection","ark:/21198/z1c83wv5","ark:/21198/zz002gw1mb","","","Page","wingfield/image/pdf_images/21198-zz002gw1mb-1-master_004.tif","4","","","","","","","","","","","","Page 4","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1c83wv5"
"Wingfield (Michael) Collection","ark:/21198/z17h3547","ark:/21198/zz002gw1mb","","","Page","wingfield/image/pdf_images/21198-zz002gw1mb-1-master_005.tif","5","","","","","","","","","","","","Page 5","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz17h3547"
"Wingfield (Michael) Collection","ark:/21198/z13r2dgd","ark:/21198/zz002gw1mb","","","Page","wingfield/image/pdf_images/21198-zz002gw1mb-1-master_006.tif","6","","","","","","","","","","","","Page 6","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz13r2dgd"
"Wingfield (Michael) Collection","ark:/21198/z1001nsf","ark:/21198/zz002gw1mb","","","Page","wingfield/image/pdf_images/21198-zz002gw1mb-1-master_007.tif","7","","","","","","","","","","","","Page 7","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1001nsf"
"Wingfield (Michael) Collection","ark:/21198/z1v99vqx","ark:/21198/zz002gw1mb","","","Page","wingfield/image/pdf_images/21198-zz002gw1mb-1-master_008.tif","8","","","","","","","","","","","","Page 8","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1v99vqx"
"Wingfield (Michael) Collection","ark:/21198/z1qj93z4","ark:/21198/zz002gw1mb","","","Page","wingfield/image/pdf_images/21198-zz002gw1mb-1-master_009.tif","9","","","","","","","","","","","","Page 9","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1qj93z4"
"Wingfield (Michael) Collection","ark:/21198/z1ks8c5x","ark:/21198/zz002gw1mb","","","Page","wingfield/image/pdf_images/21198-zz002gw1mb-1-master_010.tif","10","","","","","","","","","","","","Page 10","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ks8c5x"
