Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Visibility,Duplicate,Delete in Title,Type.typeOfResource,Type.genre,Rights.servicesContact,Name.subject,Name.architect,Name.creator,Subject,AltTitle.uniform,Relation.isPartOf,Name.repository,Format.dimensions,Title,Date.creation,Format.extent,Alt ID.local,Date.normalized,Description.note,Coverage.geographic,Format.medium,Description.contents,Opac url,Finding Aid URL,Bucketeer State,IIIF Access URL
"Jones, A. Quincy (Archie Quincy).  Collection 1692",ark:/21198/zz000946dz,ark:/21198/zz000945v6,2,Completed,Work,jones/masters/21198-zz000946dz-1-master.tif,,,,,still image,Renderings|~|Architectural drawings,,,"Jones, A. Quincy (Archie Quincy), 1913-1979|~|Emmons, Frederick E., 1907-",,Church buildings,"St. Aidan's Church (Malibu, Calif.)","A. Quincy Jones Papers, 1942-1979 (Collection 1692).  Department of Special Collections, Charles E. Young Research Library, UCLA","University of California, Los Angeles. $b Library Special Collections",109 x 81 cm. (43 x 32 in.),"St. Aidan's Chapel, rendering, chapel interior looking toward sanctuary",1965,1 drawing,clus_1692_of3447_001,1965,,,,,,,failed,
"Jones, A. Quincy (Archie Quincy).  Collection 1692",ark:/21198/zz000946fg,ark:/21198/zz000945v6,2,Completed,Work,jones/masters/21198-zz000946fg-1-master.tif,,,,,still image,Site plans|~|Architectural drawings,,,"Jones, A. Quincy (Archie Quincy), 1913-1979|~|Emmons, Frederick E., 1907-",,Church buildings,"St. Aidan's Church (Malibu, Calif.)","A. Quincy Jones Papers, 1942-1979 (Collection 1692).  Department of Special Collections, Charles E. Young Research Library, UCLA","University of California, Los Angeles. $b Library Special Collections",109 x 79 cm. (43 x 31 in.),"St. Aidan's Church, master site plan",1965,1 drawing,clus_1692_of3446_003,1965,,,,,,,failed,
"Jones, A. Quincy (Archie Quincy).  Collection 1692",ark:/21198/zz000946g0,ark:/21198/zz000945v6,2,Completed,Work,jones/masters/21198-zz000946g0-1-master.tif,,,,,still image,Renderings|~|Perspective projections|~|Architectural drawings,,,"Jones, A. Quincy (Archie Quincy), 1913-1979|~|Emmons, Frederick E., 1907-",,Church buildings,"St. Aidan's Church (Malibu, Calif.)","A. Quincy Jones Papers, 1942-1979 (Collection 1692).  Department of Special Collections, Charles E. Young Research Library, UCLA","University of California, Los Angeles. $b Library Special Collections",107 x 81 cm. (107 x 81 in.),"St. Aidan's Chapel, perspective",1965,1 drawing,clus_1692_of3447_004,1965,,,,,,,failed,
"Jones, A. Quincy (Archie Quincy).  Collection 1692",ark:/21198/zz000946hh,ark:/21198/zz000945v6,2,Completed,Work,jones/masters/21198-zz000946hh-1-master.tif,,,,,still image,Site plans|~|Architectural drawings,,,"Jones, A. Quincy (Archie Quincy), 1913-1979|~|Emmons, Frederick E., 1907-",,Church buildings,"St. Aidan's Church (Malibu, Calif.)","A. Quincy Jones Papers, 1942-1979 (Collection 1692).  Department of Special Collections, Charles E. Young Research Library, UCLA","University of California, Los Angeles. $b Library Special Collections",109 x 79 cm. (43 x 31 in.),"St. Aidan's Church, site plan with topography",1965,1 drawing,clus_1692_of3446_004,1965,,,,,,,failed,
"Jones, A. Quincy (Archie Quincy).  Collection 1692",ark:/21198/zz000946kj,ark:/21198/zz000945v6,2,Completed,Work,jones/masters/21198-zz000946kj-1-master.tif,,,,,still image,Site plans|~|Elevations|~|Architectural drawings,,,"Jones, A. Quincy (Archie Quincy), 1913-1979|~|Emmons, Frederick E., 1907-",,Church buildings,"St. Aidan's Church (Malibu, Calif.)","A. Quincy Jones Papers, 1942-1979 (Collection 1692).  Department of Special Collections, Charles E. Young Research Library, UCLA","University of California, Los Angeles. $b Library Special Collections",109 x 81 cm. (43 x 32 in.),"St. Aidan's Church, elevations from master site plan",1965,1 drawing,clus_1692_of3446_002,1965,,,,,,,failed,
"Jones, A. Quincy (Archie Quincy).  Collection 1692",ark:/21198/zz000947rm,ark:/21198/zz000945v6,2,Completed,Work,jones/masters/21198-zz000947rm-1-master.tif,,,,,still image,Elevations|~|Architectural drawings,,,"Jones, A. Quincy (Archie Quincy), 1913-1979|~|Emmons, Frederick E., 1907-",,Church buildings,"St. Aidan's Church (Malibu, Calif.)","A. Quincy Jones Papers, 1942-1979 (Collection 1692).  Department of Special Collections, Charles E. Young Research Library, UCLA","University of California, Los Angeles. $b Library Special Collections",109 x 84 cm. (43 x 33 in.),"St. Aidan's Chapel, elevations",1965,1 drawing,clus_1692_of3447_002,1965,,,,,,,failed,
"Jones, A. Quincy (Archie Quincy).  Collection 1692",ark:/21198/zz000947tn,ark:/21198/zz000945v6,2,Completed,Work,jones/masters/21198-zz000947tn-1-master.tif,,,,,still image,Floor plans|~|Architectural drawings,,,"Jones, A. Quincy (Archie Quincy), 1913-1979|~|Emmons, Frederick E., 1907-",,Church buildings,"St. Aidan's Church (Malibu, Calif.)","A. Quincy Jones Papers, 1942-1979 (Collection 1692).  Department of Special Collections, Charles E. Young Research Library, UCLA","University of California, Los Angeles. $b Library Special Collections",109 x 84 cm. (43 x 33 in.),"St. Aidan's Chapel, floor plan stage 1",1965,1 drawing,clus_1692_of3447_003,1965,,,,,,,failed,
"Jones, A. Quincy (Archie Quincy).  Collection 1692",ark:/21198/zz000947v5,ark:/21198/zz000945v6,2,Completed,Work,jones/masters/21198-zz000947v5-1-master.tif,,,,,still image,Elevations|~|Floor plans|~|Architectural drawings,,,"Jones, A. Quincy (Archie Quincy), 1913-1979|~|Emmons, Frederick E., 1907-",,Church buildings,"St. Aidan's Church (Malibu, Calif.)","A. Quincy Jones Papers, 1942-1979 (Collection 1692).  Department of Special Collections, Charles E. Young Research Library, UCLA","University of California, Los Angeles. $b Library Special Collections",107 x 81 cm. (107 x 81 in.),"St. Aidan's Church, Day Nursery and Kindergarten building, elevations and floor plan",1965,1 drawing,clus_1692_of3448_001,1965,,,,,,,failed,
"Jones, A. Quincy (Archie Quincy).  Collection 1692",ark:/21198/zz001d54t8,ark:/21198/zz000945v6,1,In progress,Work,jones/masters/21198-zz001d54t8_766194_master.tif,,private,,,still image,Architectural drawings,,,,"Jones, A. Quincy (Archie Quincy), 1913-1979","Sunnylands (Rancho Mirage, Calif.)",,"A. Quincy Jones Papers, 1942-1979 (Collection 1692).  Department of Special Collections, Charles E. Young Research Library, UCLA",,,Annenberg Residence Site Plans - Landscaping,"August 15, 1963",,Maps_0002,1963-8-15,,,ink on paper,,,,failed,
"Jones, A. Quincy (Archie Quincy).  Collection 1692",ark:/21198/zz001d55c1,ark:/21198/zz000945v6,1,In progress,Work,jones/masters/21198-zz001d55c1_766221_master.tif,,private,,,still image,Architectural drawings,,,,"Jones, A. Quincy (Archie Quincy), 1913-1979","Sunnylands (Rancho Mirage, Calif.)",,"A. Quincy Jones Papers, 1942-1979 (Collection 1692).  Department of Special Collections, Charles E. Young Research Library, UCLA",,,Annenberg Residence Site Plans - Foundation Details,"August 5, 1964",,Maps_0007,1964-8-5,,,ink on paper,,,,failed,
