"File Name","Item Sequence","Title","IIIF Range","viewingHint","Parent ARK","Item ARK","Object Type","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"picart/masters/fre_aju/fre_aju_v5/aju_picart_v05_015.tif","15","15","","","ark:/21198/z11g2dn8","ark:/21198/z11g2dn8/zq12hq98","Page","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11g2dn8%2Fzq12hq98",""
"picart/masters/fre_aju/fre_aju_v5/aju_picart_v05_016.tif","16","16","","","ark:/21198/z11g2dn8","ark:/21198/z11g2dn8/5c072v0v","Page","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11g2dn8%2F5c072v0v",""
"picart/masters/fre_aju/fre_aju_v5/aju_picart_v05_017.tif","17","17","","","ark:/21198/z11g2dn8","ark:/21198/z11g2dn8/rf63pv27","Page","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11g2dn8%2Frf63pv27",""
"picart/masters/fre_aju/fre_aju_v5/aju_picart_v05_018.tif","18","18","","","ark:/21198/z11g2dn8","ark:/21198/z11g2dn8/z361dk5q","Page","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11g2dn8%2Fz361dk5q",""
"picart/masters/fre_aju/fre_aju_v5/aju_picart_v05_019.tif","19","19","","","ark:/21198/z11g2dn8","ark:/21198/z11g2dn8/k366wj5c","Page","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11g2dn8%2Fk366wj5c",""
"picart/masters/fre_aju/fre_aju_v5/aju_picart_v05_020.tif","20","20","","","ark:/21198/z11g2dn8","ark:/21198/z11g2dn8/m8574s4q","Page","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11g2dn8%2Fm8574s4q",""
"picart/masters/fre_aju/fre_aju_v5/aju_picart_v05_021.tif","21","21","","","ark:/21198/z11g2dn8","ark:/21198/z11g2dn8/kw38b18z","Page","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11g2dn8%2Fkw38b18z",""
"picart/masters/fre_aju/fre_aju_v5/aju_picart_v05_022.tif","22","22","","","ark:/21198/z11g2dn8","ark:/21198/z11g2dn8/b6006w3s","Page","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11g2dn8%2Fb6006w3s",""
"picart/masters/fre_aju/fre_aju_v5/aju_picart_v05_023.tif","23","23","","","ark:/21198/z11g2dn8","ark:/21198/z11g2dn8/s771nv2w","Page","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11g2dn8%2Fs771nv2w",""
"picart/masters/fre_aju/fre_aju_v5/aju_picart_v05_024.tif","24","24","","","ark:/21198/z11g2dn8","ark:/21198/z11g2dn8/wc64p29k","Page","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11g2dn8%2Fwc64p29k",""
"picart/masters/fre_aju/fre_aju_v5/aju_picart_v05_025.tif","25","25","","","ark:/21198/z11g2dn8","ark:/21198/z11g2dn8/ck25d84d","Page","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11g2dn8%2Fck25d84d",""
"picart/masters/fre_aju/fre_aju_v5/aju_picart_v05_026.tif","26","26","","","ark:/21198/z11g2dn8","ark:/21198/z11g2dn8/bd72978m","Page","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11g2dn8%2Fbd72978m",""
"picart/masters/fre_aju/fre_aju_v5/aju_picart_v05_027.tif","27","27","","","ark:/21198/z11g2dn8","ark:/21198/z11g2dn8/pv76649b","Page","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11g2dn8%2Fpv76649b",""
"picart/masters/fre_aju/fre_aju_v5/aju_picart_v05_028.tif","28","28","","","ark:/21198/z11g2dn8","ark:/21198/z11g2dn8/sm345887","Page","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11g2dn8%2Fsm345887",""
"picart/masters/fre_aju/fre_aju_v5/aju_picart_v05_029.tif","29","29","","","ark:/21198/z11g2dn8","ark:/21198/z11g2dn8/6322kf8x","Page","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11g2dn8%2F6322kf8x",""
"picart/masters/fre_aju/fre_aju_v5/aju_picart_v05_030.tif","30","30","","","ark:/21198/z11g2dn8","ark:/21198/z11g2dn8/wk08jp29","Page","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11g2dn8%2Fwk08jp29",""
"picart/masters/fre_aju/fre_aju_v5/aju_picart_v05_031.tif","31","31","","","ark:/21198/z11g2dn8","ark:/21198/z11g2dn8/s443cg78","Page","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11g2dn8%2Fs443cg78",""
"picart/masters/fre_aju/fre_aju_v5/aju_picart_v05_032.tif","32","32","","","ark:/21198/z11g2dn8","ark:/21198/z11g2dn8/9061d66n","Page","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11g2dn8%2F9061d66n",""
"picart/masters/fre_aju/fre_aju_v5/aju_picart_v05_033.tif","33","33","","","ark:/21198/z11g2dn8","ark:/21198/z11g2dn8/bj85m03b","Page","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11g2dn8%2Fbj85m03b",""
"picart/masters/fre_aju/fre_aju_v5/aju_picart_v05_034.tif","34","34","","","ark:/21198/z11g2dn8","ark:/21198/z11g2dn8/sm99jb61","Page","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11g2dn8%2Fsm99jb61",""
"picart/masters/fre_aju/fre_aju_v5/aju_picart_v05_035.tif","35","35","","","ark:/21198/z11g2dn8","ark:/21198/z11g2dn8/zf11hg76","Page","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11g2dn8%2Fzf11hg76",""
"picart/masters/fre_aju/fre_aju_v5/aju_picart_v05_036.tif","36","36","","","ark:/21198/z11g2dn8","ark:/21198/z11g2dn8/sc574f15","Page","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11g2dn8%2Fsc574f15",""
"picart/masters/fre_aju/fre_aju_v5/aju_picart_v05_037.tif","37","37","","","ark:/21198/z11g2dn8","ark:/21198/z11g2dn8/h882m226","Page","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11g2dn8%2Fh882m226",""
"picart/masters/fre_aju/fre_aju_v5/aju_picart_v05_038.tif","38","38","","","ark:/21198/z11g2dn8","ark:/21198/z11g2dn8/jm63x35t","Page","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11g2dn8%2Fjm63x35t",""
"picart/masters/fre_aju/fre_aju_v5/aju_picart_v05_039.tif","39","39","","","ark:/21198/z11g2dn8","ark:/21198/z11g2dn8/pw77w43t","Page","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11g2dn8%2Fpw77w43t",""
"picart/masters/fre_aju/fre_aju_v5/aju_picart_v05_040.tif","40","40","","","ark:/21198/z11g2dn8","ark:/21198/z11g2dn8/p2610p18","Page","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11g2dn8%2Fp2610p18",""
"picart/masters/fre_aju/fre_aju_v5/aju_picart_v05_041.tif","41","41","","","ark:/21198/z11g2dn8","ark:/21198/z11g2dn8/md08cv5d","Page","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11g2dn8%2Fmd08cv5d",""
"picart/masters/fre_aju/fre_aju_v5/aju_picart_v05_042.tif","42","42","","","ark:/21198/z11g2dn8","ark:/21198/z11g2dn8/g614hp1z","Page","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11g2dn8%2Fg614hp1z",""
"picart/masters/fre_aju/fre_aju_v5/aju_picart_v05_043.tif","43","43","","","ark:/21198/z11g2dn8","ark:/21198/z11g2dn8/r9598n03","Page","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11g2dn8%2Fr9598n03",""
"picart/masters/fre_aju/fre_aju_v5/aju_picart_v05_044.tif","44","44","","","ark:/21198/z11g2dn8","ark:/21198/z11g2dn8/k545md98","Page","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11g2dn8%2Fk545md98",""
"picart/masters/fre_aju/fre_aju_v5/aju_picart_v05_045.tif","45","45","","","ark:/21198/z11g2dn8","ark:/21198/z11g2dn8/x5593c59","Page","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11g2dn8%2Fx5593c59",""
"picart/masters/fre_aju/fre_aju_v5/aju_picart_v05_046.tif","46","46","","","ark:/21198/z11g2dn8","ark:/21198/z11g2dn8/c9031r31","Page","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11g2dn8%2Fc9031r31",""
"picart/masters/fre_aju/fre_aju_v5/aju_picart_v05_047.tif","47","47","","","ark:/21198/z11g2dn8","ark:/21198/z11g2dn8/zj87847s","Page","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11g2dn8%2Fzj87847s",""
"picart/masters/fre_aju/fre_aju_v5/aju_picart_v05_048.tif","48","48","","","ark:/21198/z11g2dn8","ark:/21198/z11g2dn8/6300vb66","Page","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11g2dn8%2F6300vb66",""
"picart/masters/fre_aju/fre_aju_v5/aju_picart_v05_049.tif","49","49","","","ark:/21198/z11g2dn8","ark:/21198/z11g2dn8/0884z11z","Page","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11g2dn8%2F0884z11z",""
