"File Name","Item Sequence","Title","IIIF Range","viewingHint","Parent ARK","Item ARK","Object Type","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"picart/masters/fre_aju/fre_aju_v6/aju_picart_v06_001.tif","1","Front cover","","","ark:/21198/z1wq1x4j","ark:/21198/z1wq1x4j/sw43zc5x","Page","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1wq1x4j%2Fsw43zc5x",""
"picart/masters/fre_aju/fre_aju_v6/aju_picart_v06_002.tif","2","Inside front cover","","","ark:/21198/z1wq1x4j","ark:/21198/z1wq1x4j/h008p740","Page","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1wq1x4j%2Fh008p740",""
"picart/masters/fre_aju/fre_aju_v6/aju_picart_v06_003.tif","3","Flyleaf 1r","","","ark:/21198/z1wq1x4j","ark:/21198/z1wq1x4j/hq11sf52","Page","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1wq1x4j%2Fhq11sf52",""
"picart/masters/fre_aju/fre_aju_v6/aju_picart_v06_004.tif","4","Flyleaf 1v","","","ark:/21198/z1wq1x4j","ark:/21198/z1wq1x4j/pp08t512","Page","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1wq1x4j%2Fpp08t512",""
"picart/masters/fre_aju/fre_aju_v6/aju_picart_v06_005.tif","5","Flyleaf 2r","","","ark:/21198/z1wq1x4j","ark:/21198/z1wq1x4j/r561km34","Page","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1wq1x4j%2Fr561km34",""
"picart/masters/fre_aju/fre_aju_v6/aju_picart_v06_006.tif","6","Flyleaf 2v","","","ark:/21198/z1wq1x4j","ark:/21198/z1wq1x4j/m130cp0d","Page","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1wq1x4j%2Fm130cp0d",""
"picart/masters/fre_aju/fre_aju_v6/aju_picart_v06_007.tif","7","Half-title","","","ark:/21198/z1wq1x4j","ark:/21198/z1wq1x4j/t782tc9s","Page","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1wq1x4j%2Ft782tc9s",""
"picart/masters/fre_aju/fre_aju_v6/aju_picart_v06_008.tif","8","[blank]","","","ark:/21198/z1wq1x4j","ark:/21198/z1wq1x4j/sp936f14","Page","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1wq1x4j%2Fsp936f14",""
"picart/masters/fre_aju/fre_aju_v6/aju_picart_v06_009.tif","9","Title page","","","ark:/21198/z1wq1x4j","ark:/21198/z1wq1x4j/sm13n143","Page","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1wq1x4j%2Fsm13n143",""
"picart/masters/fre_aju/fre_aju_v6/aju_picart_v06_010.tif","10","[blank]","","","ark:/21198/z1wq1x4j","ark:/21198/z1wq1x4j/cp48h463","Page","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1wq1x4j%2Fcp48h463",""
"picart/masters/fre_aju/fre_aju_v6/aju_picart_v06_011.tif","11","Lettre d'un philosophe sur les miracles de L'abb paris et les convulsions","","","ark:/21198/z1wq1x4j","ark:/21198/z1wq1x4j/nr369p11","Page","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1wq1x4j%2Fnr369p11",""
"picart/masters/fre_aju/fre_aju_v6/aju_picart_v06_012.tif","12","[blank]","","","ark:/21198/z1wq1x4j","ark:/21198/z1wq1x4j/rr78jz2d","Page","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1wq1x4j%2Frr78jz2d",""
"picart/masters/fre_aju/fre_aju_v6/aju_picart_v06_013.tif","13","iii","","","ark:/21198/z1wq1x4j","ark:/21198/z1wq1x4j/dx14801w","Page","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1wq1x4j%2Fdx14801w",""
"picart/masters/fre_aju/fre_aju_v6/aju_picart_v06_014.tif","14","iv","","","ark:/21198/z1wq1x4j","ark:/21198/z1wq1x4j/zb31w08j","Page","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1wq1x4j%2Fzb31w08j",""
"picart/masters/fre_aju/fre_aju_v6/aju_picart_v06_015.tif","15","v","","","ark:/21198/z1wq1x4j","ark:/21198/z1wq1x4j/zq12hq98","Page","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1wq1x4j%2Fzq12hq98",""
"picart/masters/fre_aju/fre_aju_v6/aju_picart_v06_016.tif","16","vi","","","ark:/21198/z1wq1x4j","ark:/21198/z1wq1x4j/5c072v0v","Page","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1wq1x4j%2F5c072v0v",""
