"File Name","Item Sequence","Title","IIIF Range","viewingHint","Parent ARK","Item ARK","Object Type","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"picart/masters/fre_aju/fre_aju_v4/aju_picart_v04_001.tif","1","Front cover","","","ark:/21198/z15735fw","ark:/21198/z15735fw/sw43zc5x","Page","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz15735fw%2Fsw43zc5x",""
"picart/masters/fre_aju/fre_aju_v4/aju_picart_v04_002.tif","2","Inside front cover","","","ark:/21198/z15735fw","ark:/21198/z15735fw/h008p740","Page","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz15735fw%2Fh008p740",""
"picart/masters/fre_aju/fre_aju_v4/aju_picart_v04_003.tif","3","Flyleaf 1r","","","ark:/21198/z15735fw","ark:/21198/z15735fw/hq11sf52","Page","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz15735fw%2Fhq11sf52",""
"picart/masters/fre_aju/fre_aju_v4/aju_picart_v04_004.tif","4","Flyleaf 1v","","","ark:/21198/z15735fw","ark:/21198/z15735fw/pp08t512","Page","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz15735fw%2Fpp08t512",""
"picart/masters/fre_aju/fre_aju_v4/aju_picart_v04_005.tif","5","Flyleaf 2r","","","ark:/21198/z15735fw","ark:/21198/z15735fw/r561km34","Page","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz15735fw%2Fr561km34",""
"picart/masters/fre_aju/fre_aju_v4/aju_picart_v04_006.tif","6","Flyleaf 2v","","","ark:/21198/z15735fw","ark:/21198/z15735fw/m130cp0d","Page","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz15735fw%2Fm130cp0d",""
"picart/masters/fre_aju/fre_aju_v4/aju_picart_v04_007.tif","7","Title page","","","ark:/21198/z15735fw","ark:/21198/z15735fw/t782tc9s","Page","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz15735fw%2Ft782tc9s",""
"picart/masters/fre_aju/fre_aju_v4/aju_picart_v04_008.tif","8","[blank]","","","ark:/21198/z15735fw","ark:/21198/z15735fw/sp936f14","Page","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz15735fw%2Fsp936f14",""
"picart/masters/fre_aju/fre_aju_v4/aju_picart_v04_009.tif","9","Suplement aux dissertations sur la religion banians","","","ark:/21198/z15735fw","ark:/21198/z15735fw/sm13n143","Page","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz15735fw%2Fsm13n143",""
"picart/masters/fre_aju/fre_aju_v4/aju_picart_v04_010.tif","10","Page 2","","","ark:/21198/z15735fw","ark:/21198/z15735fw/cp48h463","Page","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz15735fw%2Fcp48h463",""
