"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Thumbnail","Type.typeOfResource","viewingHint","Text direction","Visibility","IIIF Range","Rights.copyrightStatus","Rights.servicesContact","Name.subject","Relation.isPartOf","Subject","Name.collector","Name.repository","Description.contents","Relation.box","Relation.subseries","Relation.file","Relation.series","Alt ID.local","Title","Date.creation","Description.note","Description.condition","Format.extent","Language","AltTitle.other","Description.abstract","Date.normalized","Opac url","Finding Aid URL","Bucketeer State","IIIF Access URL"
"Holtzman (Howard) Collection on Isadora Duncan. Collection 1729","ark:/21198/zz002hcm3g","ark:/21198/zz002hcm0x","2","Completed","Page","holtzman/image/uclamss_1729_002-029_02_01.tif","1","","","","","","","","","","","","","","","","","","","","","uclamss_1729_b01_f06|~|002-029-02","Page 1","4/13/1904","","","","","","","","https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=5343812","https://oac.cdlib.org/findaid/ark:/13030/kt400025fn/","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hcm3g"
"Holtzman (Howard) Collection on Isadora Duncan. Collection 1729","ark:/21198/zz002hcm40","ark:/21198/zz002hcksb","2","Completed","Page","holtzman/image/uclamss_1729_002-008_01_01.tif","1","","","","","","","","","","","","","","","","","","","","","uclamss_1729_b01_f06|~|002-008","Page 1","","","","","","","","","https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=5343812","https://oac.cdlib.org/findaid/ark:/13030/kt400025fn/","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hcm40"
"Holtzman (Howard) Collection on Isadora Duncan. Collection 1729","ark:/21198/zz002hcm5h","ark:/21198/zz002hcm1f","2","Completed","Page","holtzman/image/uclamss_1729_002-010_01_01.tif","1","","","","","","","","","","","","","","","","6","1","","","","uclamss_1729_b01_f06|~|002-010","Page 1","","","","","","","","","https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=5343812","https://oac.cdlib.org/findaid/ark:/13030/kt400025fn/","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hcm5h"
"Holtzman (Howard) Collection on Isadora Duncan. Collection 1729","ark:/21198/zz002hcm61","ark:/21198/zz002hcm1f","2","Completed","Page","holtzman/image/uclamss_1729_002-010_01_02.tif","2","","","","","","","","","","","","","","","","6","1","","","","uclamss_1729_b01_f06|~|002-010","Page 2","","","","","","","","","https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=5343812","https://oac.cdlib.org/findaid/ark:/13030/kt400025fn/","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hcm61"
"Holtzman (Howard) Collection on Isadora Duncan. Collection 1729","ark:/21198/zz002hcm7j","ark:/21198/zz002hcm2z","2","Completed","Page","holtzman/image/uclamss_1729_002-016_01_01.tif","1","","","","","","","","","","","","","","","","7","1","","","","uclamss_1729_b01_f07|~|002-016","Page 1","","","","","","","","","https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=5343812","https://oac.cdlib.org/findaid/ark:/13030/kt400025fn/","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hcm7j"
"Holtzman (Howard) Collection on Isadora Duncan. Collection 1729","ark:/21198/zz002hcm82","ark:/21198/zz002hckjq","2","Completed","Page","holtzman/image/uclamss_1729_002-026_01_01.tif","1","","","","","","","","","","","","","","","","7","1","","","","uclamss_1729_b01_f07|~|002-027-01","Page 1","","","","","","","","","https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=5343812","https://oac.cdlib.org/findaid/ark:/13030/kt400025fn/","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hcm82"
"Holtzman (Howard) Collection on Isadora Duncan. Collection 1729","ark:/21198/zz002hcm9k","ark:/21198/zz002hcktv","2","Completed","Page","holtzman/image/uclamss_1729_002-018_01_01.tif","1","","","","","","","","","","","","","","","","7","1","","","","uclamss_1729_b01_f07|~|002-018","Page 1","","","","","","","","","https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=5343812","https://oac.cdlib.org/findaid/ark:/13030/kt400025fn/","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hcm9k"
"Holtzman (Howard) Collection on Isadora Duncan. Collection 1729","ark:/21198/zz002hcmb3","ark:/21198/zz002hckk7","2","Completed","Page","holtzman/image/uclamss_1729_002-031_02_01.tif","1","","","","","","","","","","","","","","","","8","1","","","","uclamss_1729_b01_f08|~|002-031-02","Page 1","","","","","","","","","https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=5343812","https://oac.cdlib.org/findaid/ark:/13030/kt400025fn/","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hcmb3"
"Holtzman (Howard) Collection on Isadora Duncan. Collection 1729","ark:/21198/zz002hcmcm","ark:/21198/zz002hckvc","2","Completed","Page","holtzman/image/uclamss_1729_002-022_01_01.tif","1","","","","","","","","","","","","","","","","8","1","","","","uclamss_1729_b01_f08|~|002-022","Page 1","","","","","","","","","https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=5343812","https://oac.cdlib.org/findaid/ark:/13030/kt400025fn/","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hcmcm"
"Holtzman (Howard) Collection on Isadora Duncan. Collection 1729","ark:/21198/zz002hcmd4","ark:/21198/zz002hckww","2","Completed","Page","holtzman/image/uclamss_1729_002-039_05_01.tif","1","","","","","","","","","","","","","","","","8","1","","","","uclamss_1729_b01_f08|~|002-039-05","Page 1","","","","","","","","","https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=5343812","https://oac.cdlib.org/findaid/ark:/13030/kt400025fn/","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hcmd4"
